item_text,provider,farm,category_code
T3 LOTE (S),COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,YUTRECO,EXP-12.2
T3 RCS,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,YUTRECO,EXP-12.2
BIOLACT ANTILLANCA R GRANEL,AGROCOMERCIAL IANSA S.A.,YUTRECO,EXP-5.1
TRASLADO DE BOLOS,SERGIO FABIAN RODRIGUEZ DELGADO,YUTRECO,EXP-4.2
ARRIENDO OCTUBRE 25,ADDVISE SPA,MAITEN,ADM-1.3
ARRIENDO OCTUBRE 25,ADDVISE SPA,TINEO,ADM-1.3
ARRIENDO OCTUBRE 25,ADDVISE SPA,BRAMADERO,ADM-1.3
ARRIENDO OCTUBRE 25,ADDVISE SPA,RAICES,ADM-1.3
ARRIENDO OCTUBRE 25,ADDVISE SPA,YUTRECO,ADM-1.3
FULLDIP 5000 PROMOCION 230 kg,GEA Farm Technologies Osorno Ltda.,RAICES,EXP-10.2
SOLUTION 60 lts,GEA Farm Technologies Osorno Ltda.,RAICES,EXP-10.3
ZINICIN 70 kgs,GEA Farm Technologies Osorno Ltda.,RAICES,EXP-10.3
MUES.SUELO FDO. PELLECO,JAVIER ARIEL SILVA VERA,PELLECO,EXP-12.1
ASESORIA CONTABLE PERIDO OCTUBRE 2025,AUDITAX SPA,MAITEN,ADM-1.8
ASESORIA CONTABLE PERIDO OCTUBRE 2025,AUDITAX SPA,TINEO,ADM-1.8
ASESORIA CONTABLE PERIDO OCTUBRE 2025,AUDITAX SPA,RAICES,ADM-1.8
ASESORIA CONTABLE PERIDO OCTUBRE 2025,AUDITAX SPA,BRAMADERO,ADM-1.8
ASESORIA CONTABLE PERIDO OCTUBRE 2025,AUDITAX SPA,YUTRECO,ADM-1.8
BLUEMAX,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,YUTRECO,EXP-13.3
MARCA FORD MODELO RANGER XLT PATENTE TJXS63,DIFOR CHILE S.A.,MAITEN,EXP-13.3
MARCA FORD MODELO RANGER XLT PATENTE TJXS63,DIFOR CHILE S.A.,TINEO,EXP-13.3
MARCA FORD MODELO RANGER XLT PATENTE TJXS63,DIFOR CHILE S.A.,BRAMADERO,EXP-13.3
SEM.RAPS FORR.SPITFIRE DES. CTE,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,BRAMADERO,EXP-8.4
BILIFAR * 120 grs,COLUN,MAITEN,EXP-2.4
PINTURA CELO TELL TAIL SPRAY ROJ 500 cc,COLUN,MAITEN,EXP-2.6
GUANTE LARGO NITRILO L SHOOF 204627,COLUN,MAITEN,EXP-16.1
CABLE POLY BLA 6SS 500M (G62007),COLUN,MAITEN,EXP-14.2
GASOLINA 93,COLUN,TINEO,EXP-11.4
GASOLINA 93,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,MAITEN,ADM-1.4
GASOLINA 93,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,TINEO,ADM-1.4
GASOLINA 93,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,RAICES,ADM-1.4
GASOLINA 93,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,BRAMADERO,ADM-1.4
GASOLINA 93,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL,YUTRECO,ADM-1.4
RESIDENTIAL,STARLINK CHILE SPA,MAITEN,ADM-1.2
RESIDENTIAL,STARLINK CHILE SPA,TINEO,ADM-1.2
RESIDENTIAL,STARLINK CHILE SPA,RAICES,ADM-1.2
RESIDENTIAL,STARLINK CHILE SPA,BRAMADERO,ADM-1.2
RESIDENTIAL,STARLINK CHILE SPA,YUTRECO,ADM-1.2
INSTALACION ELECTRICA BODEGA - INSTALACION BOMBA TRITURADORA,ALBERTO JESUS LARA GUZMAN,MAITEN,EXP-14.4
"POLIZA 6615118,",Cia de Seguros Generales Consorcio Nacional de Seg,MAITEN,ADM-2.1
"POLIZA 6615118,",Cia de Seguros Generales Consorcio Nacional de Seg,TINEO,ADM-2.1
"POLIZA 6615118,",Cia de Seguros Generales Consorcio Nacional de Seg,YUTRECO,ADM-2.1
SUSTITUTO LACTEO COLUN (SPT) 25 kg,COLUN,BRAMADERO,EXP-5.5
BIOLACT TERNERO INICIAL,AGROCOMERCIAL IANSA S.A.,MAITEN,EXP-5.2
SERVICIO DE RETIRO Y DISPOSICION FINAL DE RESIDUOS PLASTICOS,SOCIEDAD COMERCIAL VITACYCLE LIMITADA,YUTRECO,EXP-16.2
SERVICIO ELECTRICO SALA YUTRECO,CIA ELECTRICA OSORNO S A,YUTRECO,EXP-11.1
SERVICIO DE MANTENCION SERVICIO MANTENIMIENTO PREVENTIVO 1BM6115JCRD601743,SALINAS Y FABRES S.A.,MAITEN,EXP-13.1
CONCEPTAL_FACTOR LIBERA.HORMONAL * 50 ml,COLUN,MAITEN,EXP-2.5
UREA GRANULADA FUNDO,COLUN,MAITEN,EXP-6.2
UREA GRANULADA FUNDO,COLUN,RAICES,EXP-6.2
UREA GRANULADA FUNDO,COLUN,YUTRECO,EXP-6.2
HORAS RETRO,GUARDA SPA,TINEO,EXP-14.1
GAS 45 kg,JULIA IGNACIA FUENTES FLORES,MAITEN,EXP-11.5
ALMUERZO,CANAL BAJO SPA,MAITEN,ADM-1.5
ALMUERZO,CANAL BAJO SPA,TINEO,ADM-1.5
ALMUERZO,CANAL BAJO SPA,RAICES,ADM-1.5
ALMUERZO,CANAL BAJO SPA,BRAMADERO,ADM-1.5
ALMUERZO,CANAL BAJO SPA,YUTRECO,ADM-1.5
BOTA BEKINA STE PLITE ESPACIO NORMAL N°40,COLUN,TINEO,EXP-16.1
"SERVICIOS DE INTERNET RURAL TITAN 15Mnbps/10Mbps,MES DE NOVIEMBRE 2025",NETSKY SPA,MAITEN,ADM-1.2
SERVICIO TECNICO LIMPIEZA DE POZO,SONDAJE PERFOMAQ S.A.,YUTRECO,EXP-14.3
SEMEN BOVINO LECHE CONVENCIONAL EMERALD,ABS CHILE LIMITADA,MAITEN,EXP-3.1
IMPLEMENTOS PARA INSEMINACION INYECTOR CLASICO,ABS CHILE LIMITADA,MAITEN,EXP-3.1
ASESORIA AGROPECUARIA,SOCIEDAD ROBERTO AICHELE Y CIA LTDA.,MAITEN,EXP-15.1
ASESORIA AGROPECUARIA,SOCIEDAD ROBERTO AICHELE Y CIA LTDA.,TINEO,EXP-15.1
ASESORIA AGROPECUARIA,SOCIEDAD ROBERTO AICHELE Y CIA LTDA.,RAICES,EXP-15.1
ASESORIA AGROPECUARIA,SOCIEDAD ROBERTO AICHELE Y CIA LTDA.,BRAMADERO,EXP-15.1
ASESORIA AGROPECUARIA,SOCIEDAD ROBERTO AICHELE Y CIA LTDA.,YUTRECO,EXP-15.1
REGARGA AGUA PURIFICADA,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.,RAICES,ADM-1.6
VIAJE TECNICO,GEA Farm Technologies Osorno Ltda.,MAITEN,EXP-10.1
HORA TECNICA AM,GEA Farm Technologies Osorno Ltda.,MAITEN,EXP-10.1
PETROLEO DIESEL,FEROSOR AGRICOLA S.A.,YUTRECO,EXP-11.3
ALAMBRE GALV.#14 * KILOS,COLUN,BRAMADERO,EXP-14.2
BLOQUEADOR SOLAR,COLUN,MAITEN,EXP-16.1
PATHOZONE,COLUN,MAITEN,EXP-2.2
TOCOPER,COLUN,MAITEN,EXP-2.6
KET 10,COLUN,MAITEN,EXP-2.5
PRESIDE 80 WP * 300 grs,COLUN,MAITEN,EXP-7.0
SEMILLA BALLICA COLUN 4*5*25 kg,COLUN,MAITEN,EXP-8.1
VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,RAICES,EXP-2.3
VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,YUTRECO,EXP-2.3
VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,MAITEN,EXP-2.3
VACUNA CATTLEMASTER GOLD 25 DOSIS,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.,BRAMADERO,EXP-2.3
ORBENIN X 36 JER,COLUN,YUTRECO,EXP-2.1
SILO PARVA,AGRO SERVICIOS NAVARRETE SPA,YUTRECO,EXP-4.1
PLASTICOS PARVA,COLUN,YUTRECO,EXP-4.1
FLETE TRASLADO DE BOLOS DE SILO,"SERVICIOS, COMERCIAL, AGRICOLA Y FORESTAL MORALES OPITZ SPA",MAITEN,EXP-4.2
CONFECCION BOLOS PRADERA,SERVICIOS AGRICOLA CORPAL SPA,,EXP-4.2
BOLOS PAJA PLASTIFICADOS,SERVICIOS AGRICOLA CORPAL SPA,YUTRECO,EXP-4.3
HONORARIOS VETERINARIOS LDS,LECHERIAS DEL SUR,MAITEN,EXP-15.2
HONORARIOS VETERINARIOS LDS,LECHERIAS DEL SUR,YUTRECO,EXP-15.2
HONORARIOS VETERINARIOS LDS,LECHERIAS DEL SUR,BRAMADERO,EXP-15.2
HONORARIOS VETERINARIOS LDS,LECHERIAS DEL SUR,RAICES,EXP-15.2
HONORARIOS VETERINARIOS LDS,LECHERIAS DEL SUR,TINEO,EXP-15.2
ARRIENDO TRACTOR AGOSTO,JORGE HECTOR KIESSLING PINUER,TINEO,EXP-15.4
PERRO FIT FORMULA ADULTO X 20 KG,COLUN,RAICES,EXP-5.3
COLMILLO BLANCO X 20KG (ADULTO&CACHORRO),COLUN,MAITEN,EXP-5.3
MAIZ HOJUELA COLUN X 25 KG,COLUN,MAITEN,EXP-5.3
