RG-01112,EXP-1.1,Otros Gastos RRHH,file_audit,"MUSICA DE LAS MONTAÃAS, LA",,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01113,EXP-1.1,Otros Gastos RRHH,file_audit,NÃMEROS MUNDO DE CARTON,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01114,EXP-1.1,Otros Gastos RRHH,file_audit,"NIÃA DE LA CALAVERA,LA",,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01115,EXP-1.1,Otros Gastos RRHH,file_audit,NINA TORBELLINA 2,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01116,EXP-1.1,Otros Gastos RRHH,file_audit,NINA TORBELLINA1 EL PLAN DEL CAMPAMENTO,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01117,EXP-1.1,Otros Gastos RRHH,file_audit,PAPELUCHO MI HERMANA JI,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01118,EXP-1.1,Otros Gastos RRHH,file_audit,PILLA PANDILLAS,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01119,EXP-1.1,Otros Gastos RRHH,file_audit,RATITA MARITA,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01120,EXP-1.1,Otros Gastos RRHH,file_audit,STINK. EL INCREÃBLE NIÃO MENGUANTE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01121,EXP-1.1,Otros Gastos RRHH,file_audit,STINK Y LA MARCHA ZOMBI A LA MEDIANOCHE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
RG-01122,EXP-1.1,Otros Gastos RRHH,file_audit,UNA SONRISA RELUCENTE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,
