gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,split
RG-00027,EXP-2.3,Vacunas,client_product_rule,VACUNA CLOSTRIBAC-8 GOLD 50 DOSIS,10000956,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00028,EXP-2.3,Vacunas,client_product_rule,VACUNA FORTRESS 50 DS BORGPETERSENIL HAR,10000969,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00029,EXP-2.3,Vacunas,client_product_rule,VACUNA VISION-8 100 ML. (50 DOSIS),10001000,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00030,EXP-2.5,Otros Medicamentos,client_product_rule,VITAMINA E + SELENIO 100 CC.,10001028,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00031,EXP-2.5,Otros Medicamentos,client_product_rule,KET-10 50 CC. BOVINO (KETOPROFENO),10001118,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00032,EXP-3.1,Inseminacion Artificial,client_product_rule,CIPIOSYN 50 CC (CIPIONATO ESTRADIOL),10001184,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00033,EXP-2.3,Vacunas,client_product_rule,VACUNA LEPTOFERM 5 50 DOSIS,10001558,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00034,EXP-2.3,Vacunas,client_product_rule,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,10001598,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00035,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 18 G x 1,11000046,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00036,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALLFLEX MAXI(H)-BOTON(M) ESTAMPADO,11000085,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00037,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALLFLEX MAXI(H)-BOTON(M) S/EST AMARILLO,11000086,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00038,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BANDA MARCADORA ADHESIVA 50MMx10M ROJO,11000229,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00039,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BANDA PATA O COLA 10 MTS ROJA 204273,11000244,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00040,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#42,11000355,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00041,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#43,11000356,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00042,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,CORTA PEZUNAS D-ACCION ECONOMI 203641,11000726,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00043,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL GRUESO LARGO-XL 50U 209080,11001011,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00044,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-L 100UN 204631,11001016,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00045,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-M 100UN 204632,11001017,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00046,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-XL 100U 204634,11001019,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00047,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,INYECTORAS CALCIO DESECHABLE,11001109,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00048,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 3 CC.,11001172,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00049,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 5 CC.,11001173,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00050,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 10 CC.,11001174,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00051,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,LAZOS OBSTETRICOS,11001211,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00052,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA ORDENO VERDE,11001274,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00053,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINTURA FIL C/APLICADOR LT AZUL 213868,11001459,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00054,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,TIJERA CORTADORA COLAS 205606,11002094,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00055,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,VENOJECT VIDRIO 10 CC TAPA ROJA VT*100,11002247,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00056,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA S,11002577,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00057,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 18 G x 1 1/2,11002648,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00058,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 26 G x 1/2,11002651,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00059,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 21 G x 1,11002652,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00060,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 16 G x 1/2,11002654,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00061,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 16 G x 1 1/2,11002655,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00062,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 25 G x 5/8,11002656,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00063,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,RUBBER BLOCK UNIDAD,11003304,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00064,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,VENDA PRODETECT,11003348,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00065,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINT DETECTAR CELOS DONAGHYS LT AZUL,11003349,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00066,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINT DETECTAR CELOS DONAGHYS LT AMARILLA,11003350,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00067,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINT DETECTAR CELOS DONAGHYS LT VERDE,11003352,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00068,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,TACO MADERA NATIVA 10 UNIDADES,11003424,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00069,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINTURA SPRAY 500 CC DONAGHYS AZUL,11003493,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00070,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BOVIBOND 210 ML C/10 BOQUILLAS,11003662,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00071,EXP-5.2,Concentrado Crianza,client_product_rule,C-B SURALIM TERNERO INICIAL 25 KG,12000541,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00072,EXP-5.5,Sustituto Lacteo,client_product_rule,SUST. EUROLAC BLUE 25 KGS. SCHILS,13000232,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00073,EXP-5.5,Sustituto Lacteo,client_product_rule,SUST. KALMILAC PLUS 25 KGS SCHILS,13000237,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00074,EXP-8.4,Otros Cultivos,client_product_rule,SEMILLA ARVEJA PERFECT FREEZER ( 1 KG.,22000183,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00075,EXP-8.4,Otros Cultivos,client_product_rule,SEM.AVENA URANO CERT.,22000374,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00076,EXP-14.2,Mantencion Cercos,client_product_rule,CORDON BUNGY ROLLO 50M - GAL,23000447,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00077,EXP-14.2,Mantencion Cercos,client_product_rule,"ALAMBRE SUBTE. AGRI-FENCE 2,5 MM 50 MT",23000554,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00078,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#38,25001457,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00079,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#44,25001463,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00080,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 37-38 (-40 C),25001464,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00081,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 39-40 (-40 C),25001465,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00082,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 41 (-40 C),25001466,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00083,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 42 (-40 C),25001467,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00084,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 43 (-40 C),25001468,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00085,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 44-45 (-40 C),25001469,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00086,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA XXL,25001470,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00087,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,FILTRO (PAR) 3M # 6003 VAP.ORGANIC/GASES,25001473,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00088,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,"TRAJE AGUA POLIURETANO 0,55MM T-L",25001501,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00089,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,"TRAJE AGUA POLIURETANO 0,55MM T-XL",25001502,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00090,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA XL,25001533,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00091,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 50,25001537,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00092,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 52,25001538,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00093,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 56,25001539,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00094,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO CANVAS AZUL 240 GRS X M2 TALLA M,25001571,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00095,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO CANVAS AZUL 240 GRS X M2 TALLA XL,25001573,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00096,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO CANVAS AZUL 240 GRS X M2 TALLA XXL,25001574,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00097,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTA DUNLOP PUROFORT + FULLSAFETY # 36,25001623,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00098,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 54,25001718,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00099,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,ESCOBILLON # 101 MUNIC MAD ESPERANZA-OSO,25001767,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00100,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,ESCOBILLON # 103 MUNICIPAL CHICO MADERA,25001769,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00101,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MASCARILLA SILICONA 3M MOD # 7503 T-L,25001884,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00102,EXP-3.1,Inseminacion Artificial,client_product_rule,HORM. CIDR BOVINO APLICADOR,30000579,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00103,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA DESECHABLE GIA POLYSEM,30001646,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00104,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA DESECHABLE INSEM. SUPER SENSITIVE,30001648,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00105,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA ORDENO AZUL,43000072,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00106,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PM ESCOBILLA ESTANQUE,43000323,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00107,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PM ESCOBILLA MANGO P/ EST.,43000326,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00108,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PM ESCOB. MANGO LAR. 410MM,43001116,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00109,EXP-2.2,Medicamentos Mastitis,client_product_rule,PM CMT REACTIVO 1 LT.,43001521,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00110,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PM CMT PALETA,43001678,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00111,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,CAJA TOALLA PAPEL INTERFOLIADA 20720,43001802,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00112,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PECHERA AJUSTABLE AZUL REVERSIBLE,43003710,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00113,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,COMBO ORDEï¾‘ADOR (PECHERA MANGAS),43004493,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00114,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PECHERA ORDENO AZUL 2150021187,43004596,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00115,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,RESMA HOJA CARTA PARA IMPRESORA,60000801,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00116,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,BATERIA HP ORIGINAL HT03XL,60001018,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00117,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,CABLE TIPO-C A HDMI 1.8M TM-100539,60003677,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00118,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,SERVICIOS + OFFICE,61000020,COOPRINSEM,,Client-confirmed product-to-category mapping.,,,
RG-00119,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGA DESECHABLE 3 ML C/AGUJA (L.L.),7600833,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00120,EXP-11.3,Petroleo,client_product_rule,PETROLEO DIESEL ULTRA (DISTRIBUCION),7602487,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00121,EXP-5.2,Concentrado Crianza,client_product_rule,T. COLUN CRECIMIENTO X 25 KG,7607641,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00122,EXP-5.3,Concentrado Otros Animales,client_product_rule,MAIZ HOJUELA COLUN X 25 KG,7607738,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00123,EXP-5.3,Concentrado Otros Animales,client_product_rule,COLMILLO BLANCO X 20KG (ADULTO&CACHORRO),7612709,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00124,EXP-5.3,Concentrado Otros Animales,client_product_rule,PERRO FIT FORMULA ADULTO X 20 KG,7603663,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00125,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJAS TUBERCULINA METALICA,7600137,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00126,EXP-4.2,Bolos Silo,client_product_rule,PARCHE SILO BOLO,7604183,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00127,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,TACO DE MADERA X 10 UNID.,7601725,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00128,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PEGAMENTO BOVIBOND X 210 ML,7610215,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00129,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,VENDAS COADHESIVAS MOO WARP,7612043,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00130,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,FORMALINA X 22 LTS,7615484,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00131,EXP-14.2,Mantencion Cercos,client_product_rule,CORDON BUNGY ROLLO 50 MT (G89106),7606335,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00132,EXP-2.4,Sales Minerales,client_product_rule,SALFORT PASTOREO X 25 KG,7605684,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00133,EXP-14.2,Mantencion Cercos,client_product_rule,CABLE POLY BLA 6SS 500M (G62007),7606133,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00134,EXP-5.5,Sustituto Lacteo,client_product_rule,SUSTITUTO LACTEO COLUN (SPT) 25 KG,7603359,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00135,EXP-14.2,Mantencion Cercos,client_product_rule,CLAVOS TERRANO 1 1/2 !¡,7056294,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00136,EXP-14.2,Mantencion Cercos,client_product_rule,CLAVOS 2 1/2 X 11,7004936,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00137,EXP-14.2,Mantencion Cercos,client_product_rule,AISLA. ESQUINERO TIPO S1031B,7055140,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00138,EXP-3.1,Inseminacion Artificial,client_product_rule,CIDR BOVINOS X 10 DISP,7613751,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00139,EXP-16.2,Otros Gastos Campo,client_product_rule,TERMOMETRO DIGITAL PARA SUELOS SHOOF,7603873,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00140,EXP-14.2,Mantencion Cercos,client_product_rule,ALAMBRE GALV. # 14 POR KILOS,7003972,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00141,EXP-2.2,Medicamentos Mastitis,client_product_rule,PATHOZONE X 10 JER,7613741,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00142,EXP-2.5,Otros Medicamentos,client_product_rule,LIQUAMICINA LA 250 CC.,7023574,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00143,EXP-2.5,Otros Medicamentos,client_product_rule,AZOVETRIL X 5 LT.,7056871,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00144,EXP-2.5,Otros Medicamentos,client_product_rule,TERRACORTRIL 125 CC SPRAY QUERATITIS,7027693,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00145,EXP-2.5,Otros Medicamentos,client_product_rule,VIGANTOL ADE 100 CC.,7028177,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00146,EXP-2.5,Otros Medicamentos,client_product_rule,PEDEROL SPRAY 250 ML,7602242,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00147,EXP-14.2,Mantencion Cercos,client_product_rule,ALAMBRE PUAS MOTTO GANADERO X 500 MTS.,7051110,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00148,EXP-14.2,Mantencion Cercos,client_product_rule,GRAPAS 11/4 X 10 X 1 KG,7601066,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00149,EXP-2.3,Vacunas,client_product_rule,VACUNA FORTRESS X 50 DOSIS,7600834,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00150,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,"AGUJA DESECHABLE 16G X 1/2""",7605412,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00151,EXP-2.4,Sales Minerales,client_product_rule,COLUBLOCK SUPERCRIANZA COX X 18 KG,7611084,COLUN,,Client-confirmed product-to-category mapping.,,,
RG-00152,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINTURA CELO TELL TAIL SPRAY AZU 500CC,7607585,COLUN,,Client-confirmed product-to-category mapping.,,,
