check,key,gold_id,category_code,leaf,source,item_text,description,provider
A_item_text,DETALLE,SP-00215,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 31.646|L,COPEC S.A.
A_item_text,DETALLE,SP-00216,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 68.715|L,COPEC S.A.
A_item_text,DETALLE,SP-00217,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 72.470|L,COPEC S.A.
A_item_text,DETALLE,SP-00219,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 58.726|L,COPEC S.A.
A_item_text,DETALLE,SP-00220,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 29.764|L,COPEC S.A.
A_item_text,DETALLE,SP-00221,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 65.833|L,COPEC S.A.
A_item_text,DETALLE,SP-00222,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 56.228|L,COPEC S.A.
A_item_text,DETALLE,SP-00223,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 42.750|L,COPEC S.A.
A_item_text,DETALLE,SP-00224,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 72.829|L,COPEC S.A.
A_item_text,DETALLE,SP-00225,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 43.831|L,COPEC S.A.
A_item_text,DETALLE,SP-00226,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 44.663|L,COPEC S.A.
A_item_text,DETALLE,SP-00227,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 85.416|L,COPEC S.A.
A_item_text,DETALLE,SP-00228,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 86.927|L,COPEC S.A.
A_item_text,DETALLE,SP-00229,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 64.527|L,COPEC S.A.
A_item_text,DETALLE,SP-00230,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 70.867|L,COPEC S.A.
A_item_text,DETALLE,SP-00231,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 100.812|L,COPEC S.A.
A_item_text,DETALLE,SP-00232,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 105.329|L,COPEC S.A.
A_item_text,DETALLE,SP-00233,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 77.292|L,COPEC S.A.
A_item_text,DETALLE,SP-00234,EXP-11.4,Bencina,silver_audit_v2,DETALLE,GASOLINA NU 1203| 86.851|L,COPEC S.A.
A_item_text,DIFERENCIA BOLOS TINEO,SA-00504,EXP-4.2,Bolos Silo,file_audit,Diferencia bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,DIFERENCIA BOLOS TINEO,SP-00440,EXP-15.3,Fletes,silver_audit_v2,Diferencia bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES
A_item_text,ELECTRICIDAD CONSUMIDA 115 KWH,SP-00050,EXP-11.2,Electricidad Casas e Instalaciones,silver_audit_v2,Electricidad consumida ( 115 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA
A_item_text,ELECTRICIDAD CONSUMIDA 115 KWH,SP-00085,EXP-11.1,Electricidad Lecheria,silver_audit_v2,Electricidad consumida 115 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 153 KWH,SA-00957,EXP-9.1,Energia Electrica Riego,silver_audit,Electricidad consumida ( 153 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA
A_item_text,ELECTRICIDAD CONSUMIDA 153 KWH,SP-00060,EXP-11.2,Electricidad Casas e Instalaciones,silver_audit_v2,Electricidad consumida ( 153 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA
A_item_text,ELECTRICIDAD CONSUMIDA 456 KWH,SA-00948,EXP-9.1,Energia Electrica Riego,silver_audit,Electricidad consumida 456 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 456 KWH,SP-00128,EXP-11.1,Electricidad Lecheria,silver_audit_v2,Electricidad consumida 456 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 5400 KWH,SA-00910,EXP-9.1,Energia Electrica Riego,silver_audit,Electricidad consumida 5400 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 5400 KWH,SP-00118,EXP-11.1,Electricidad Lecheria,silver_audit_v2,Electricidad consumida 5400 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 6240 KWH,SA-00855,EXP-9.1,Energia Electrica Riego,silver_audit,Electricidad consumida 6240 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 6240 KWH,SP-00147,EXP-11.1,Electricidad Lecheria,silver_audit_v2,Electricidad consumida 6240 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 7620 KWH,SA-00882,EXP-9.1,Energia Electrica Riego,silver_audit,Electricidad consumida 7620 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 7620 KWH,SP-00126,EXP-11.1,Electricidad Lecheria,silver_audit_v2,Electricidad consumida 7620 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 923 KWH,SA-00869,EXP-9.1,Energia Electrica Riego,silver_audit,Electricidad consumida 923 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,ELECTRICIDAD CONSUMIDA 923 KWH,SP-00143,EXP-11.1,Electricidad Lecheria,silver_audit_v2,Electricidad consumida 923 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.
A_item_text,GASOLINA 93,RG-00583,EXP-11.4,Bencina,direct_client_example,GASOLINA 93,,COLUN
A_item_text,GASOLINA 93,RG-00584,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL
A_item_text,GASOLINA 93,RG-00585,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL
A_item_text,GASOLINA 93,RG-00586,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL
A_item_text,GASOLINA 93,RG-00587,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL
A_item_text,GASOLINA 93,RG-00588,ADM-1.4,Movilizacion,direct_client_example,GASOLINA 93,,ESTACION DE SERVICIOS PAOLA USLAR MOLINA EIRL
A_item_text,GASOLINA 93,RG-01036,EXP-11.4,Bencina,file_audit,GASOLINA 93,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNI
A_item_text,GASOLINA 93,SP-00151,EXP-11.4,Bencina,silver_audit_v2,Gasolina 93,Gasolina 93,SOC DE TRANSPORTES STEUER HOLMGREN Y COM
A_item_text,GASOLINA 93,SP-00159,EXP-11.4,Bencina,silver_audit_v2,GASOLINA 93,Retira: ANTILLANCA SPA{Impuesto base combustible: 27429{Impuesto variable combustible: 885,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.
A_item_text,GASOLINA 93,SP-00160,EXP-11.4,Bencina,silver_audit_v2,GASOLINA 93,Retira: ANTILLANCA SPA{Impuesto base combustible: 30128{Impuesto variable combustible: -897,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.
A_item_text,GASOLINA 93,SP-00161,EXP-11.4,Bencina,silver_audit_v2,GASOLINA 93,Retira: ANTILLANCA SPA{Impuesto base combustible: 12381{Impuesto variable combustible: -369,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.
A_item_text,GASOLINA 93,SP-00162,EXP-11.4,Bencina,silver_audit_v2,GASOLINA 93,Retira: ANTILLANCA SPA{Impuesto base combustible: 40527{Impuesto variable combustible: 596,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.
A_item_text,GASTOS COBRANZA,SA-00047,ADM-1.4,Movilizacion,silver_audit,Gastos Cobranza,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A."
A_item_text,GASTOS COBRANZA,SP-00019,ADM-1.7,Otros Gastos Administracion,silver_audit_v2,Gastos Cobranza,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A."
A_item_text,GASTOS GESTION COBRANZAS,SA-00167,ADM-1.4,Movilizacion,silver_audit,Gastos Gestión Cobranzas,,Sociedad Concesionaria Costanera Norte S.A.
A_item_text,GASTOS GESTION COBRANZAS,SP-00018,ADM-1.7,Otros Gastos Administracion,silver_audit_v2,Gastos Gestión Cobranzas,,Sociedad Concesionaria Costanera Norte S.A.
A_item_text,INTERES POR MORA ENERGIA,SA-00857,EXP-9.1,Energia Electrica Riego,silver_audit,Interés por mora Energía,,CIA ELECTRICA OSORNO S A
A_item_text,INTERES POR MORA ENERGIA,SP-00469,EXP-11.1,Electricidad Lecheria,silver_audit_v2,Interés por mora Energía,,CIA ELECTRICA OSORNO S A
A_item_text,ITEM,RG-01039,EXP-13.1,Mantencion Maquinaria,file_audit,Item,Servicios de MantenciÃ³n~SERVICIO DE MANTENIMIENTO PREVENTIVO 1BM6115JCRD601743,SALINAS Y FABRES S.A.
A_item_text,ITEM,SP-00260,EXP-10.4,Otros Gastos Lecheria,silver_audit_v2,Item,Servicios de Mantención~SERVICIO DE MANTENIMIENTO PREVENTIVO 1P06110ETN6000696,Salinas y Fabres S.A.
A_item_text,KILOS PAJA DE TRIGO,SA-00836,EXP-4.3,Bolos Heno,silver_audit,KILOS PAJA DE TRIGO,CANTIDAD: 39 MAXIFARDOS ACOPLADO: JF-2403,AGRICOLA LAS LOMAS LIMITADA
A_item_text,KILOS PAJA DE TRIGO,SP-00433,EXP-5.4,Bolos,silver_audit_v2,KILOS PAJA DE TRIGO,CANTIDAD: 39 MAXIFARDOS ACOPLADO: JF-2403,AGRICOLA LAS LOMAS LIMITADA
A_item_text,LEVANTADOR DE VACAS STANDARD 201613,RG-01078,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,LEVANTADOR DE VACAS STANDARD      201613,11001215,COOPRINSEM
A_item_text,LEVANTADOR DE VACAS STANDARD 201613,SP-00408,EXP-14.4,Mantencion Instalaciones,silver_audit_v2,LEVANTADOR DE VACAS STANDARD 201613,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA
A_item_text,LIMPIEZA SILO 33 T,SA-00828,EXP-10.4,Otros Gastos Lecheria,silver_audit,Limpieza silo 33 T,,MANTENCION INDUSTRIAL DEL SUR LIMITADA
A_item_text,LIMPIEZA SILO 33 T,SP-00309,EXP-14.1,Mantencion Caminos,silver_audit_v2,Limpieza silo 33 T,,MANTENCION INDUSTRIAL DEL SUR LIMITADA
A_item_text,MANTENCION Y REPARACION,SA-00007,EXP-13.1,Mantencion Maquinaria,silver_audit,MANTENCION Y REPARACION,SE ADJUNTA DETALLE,JOHN MARCELO CARRILLO SOLDAN
A_item_text,MANTENCION Y REPARACION,SA-00602,EXP-13.2,Mantencion Motos,file_audit,MANTENCION Y REPARACION,"MOTO HONDA TRX 420, SEGUN OT 1049",MULTIMOTOS OSORNO SPA
A_item_text,MAXXIFARDOS,SA-00940,EXP-5.4,Bolos,silver_audit,Maxxifardos,,SERVICIOS AGRICOLAS MECANIZADOS SPA
A_item_text,MAXXIFARDOS,SP-00416,EXP-4.2,Bolos Silo,silver_audit_v2,Maxxifardos,,SERVICIOS AGRICOLAS MECANIZADOS SPA
A_item_text,MIPRO PASTOREO SKYLINE,SA-00405,EXP-2.4,Sales Minerales,file_audit,Mipro Pastoreo Skyline,//FUNDO BRAMADEROS,SANO - NUTRICION ANIMAL MODERNA SPA
A_item_text,MIPRO PASTOREO SKYLINE,SP-00430,EXP-5.3,Concentrado Otros Animales,silver_audit_v2,Mipro Pastoreo Skyline,//FUNDO BRAMADEROS,SANO - NUTRICION ANIMAL MODERNA SPA
A_item_text,MOVIMIENTOS DE BOLOS,SA-00763,EXP-5.4,Bolos,silver_audit,MOVIMIENTOS DE BOLOS,,AGRÍCOLA J-S-E LIMITADA
A_item_text,MOVIMIENTOS DE BOLOS,SP-00315,EXP-4.2,Bolos Silo,silver_audit_v2,MOVIMIENTOS DE BOLOS,,AGRÍCOLA J-S-E LIMITADA
A_item_text,ORBENIN E D C CAJA 36 JER SECADO,RG-00018,EXP-2.1,Terapias Secado,client_product_rule,ORBENIN E.D.C CAJA 36 JER SECADO,10000601,COOPRINSEM
A_item_text,ORBENIN E D C CAJA 36 JER SECADO,SP-00411,EXP-2.5,Otros Medicamentos,silver_audit_v2,ORBENIN E.D.C CAJA 36 JER SECADO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA
A_item_text,ORBENIN X 36 JER,RG-00414,EXP-2.1,Terapias Secado,client_product_rule,ORBENIN X 36 JER,7613746,COLUN
A_item_text,ORBENIN X 36 JER,RG-00639,EXP-2.1,Terapias Secado,direct_client_example,ORBENIN X 36 JER,,COLUN
A_item_text,ORBENIN X 36 JER,RG-01052,EXP-2.1,Terapias Secado,file_audit,ORBENIN X 36 JER,ORBENIN X 36 JER,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.
A_item_text,ORBENIN X 36 JER,SP-00412,EXP-2.5,Otros Medicamentos,silver_audit_v2,ORBENIN X 36 JER,ORBENIN X 36 JER,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.
A_item_text,PERIODO DE COBERTURA AGOSTO 2025,SA-00933,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura agosto 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA AGOSTO 2025,SP-00028,ADM-2.1,Seguros Vehiculos,silver_audit_v2,Periodo de Cobertura agosto 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA ENERO 2026,SA-00985,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura enero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA ENERO 2026,SP-00036,ADM-2.1,Seguros Vehiculos,silver_audit_v2,Periodo de Cobertura enero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA FEBRERO 2026,SA-00990,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura febrero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA FEBRERO 2026,SP-00034,ADM-2.1,Seguros Vehiculos,silver_audit_v2,Periodo de Cobertura febrero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA JULIO 2025,SA-00920,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura julio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA JULIO 2025,SP-00032,ADM-2.1,Seguros Vehiculos,silver_audit_v2,Periodo de Cobertura julio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA JUNIO 2025,SA-00909,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura junio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA JUNIO 2025,SP-00030,ADM-2.1,Seguros Vehiculos,silver_audit_v2,Periodo de Cobertura junio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA OCTUBRE 2025,SA-00752,ADM-2.2,Seguros Trabajadores,file_audit,Periodo de Cobertura octubre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERIODO DE COBERTURA OCTUBRE 2025,SP-00026,ADM-2.1,Seguros Vehiculos,silver_audit_v2,Periodo de Cobertura octubre 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA
A_item_text,PERNO COLECTOR SIN CIERRE,SA-00830,EXP-10.4,Otros Gastos Lecheria,silver_audit,PERNO COLECTOR SIN CIERRE,,GEA Farm Technologies Osorno Ltda.
A_item_text,PERNO COLECTOR SIN CIERRE,SP-00343,EXP-14.1,Mantencion Caminos,silver_audit_v2,PERNO COLECTOR SIN CIERRE,,GEA Farm Technologies Osorno Ltda.
A_item_text,PIOLA PERLON RETIRADOR NEGRA MT,SA-00472,EXP-10.3,Detergentes e higenizantes,file_audit,PIOLA PERLON RETIRADOR (NEGRA)/ MT,,GEA Farm Technologies Osorno Ltda.
A_item_text,PIOLA PERLON RETIRADOR NEGRA MT,SP-00253,EXP-14.4,Mantencion Instalaciones,silver_audit_v2,PIOLA PERLON RETIRADOR (NEGRA)/ MT,,HGS DAIRY SOLUTIONS SPA
A_item_text,PIRIMOR,SA-00863,EXP-7.0,AGROQUIMICOS,silver_audit,PIRIMOR,BOLSA 1 KG|,Tattersall AgroInsumos S.A.
A_item_text,PIRIMOR,SP-00464,EXP-6.5,Otros Fertilizantes,silver_audit_v2,PIRIMOR,BOLSA 1 KG|,Tattersall AgroInsumos S.A.
A_item_text,RECARGA AGUA PURIFICADA,SA-00754,ADM-1.6,Utiles y gastos de oficina.,file_audit,Recarga Agua Purificada,Fundo Raices,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.
A_item_text,RECARGA AGUA PURIFICADA,SP-00335,EXP-9.2,Otros Gastos Riego,silver_audit_v2,Recarga Agua Purificada,Fundo Raices,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.
A_item_text,SEM RAPS FORR PILLAR IMP CTE DES,SA-00951,EXP-8.4,Otros Cultivos,silver_audit,SEM. RAPS FORR. PILLAR IMP.CTE. DES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA
A_item_text,SEM RAPS FORR PILLAR IMP CTE DES,RG-00660,EXP-8.4,Otros Cultivos,client_product_rule,SEM. RAPS FORR. PILLAR IMP.CTE. DES,22000793,COOPRINSEM
A_item_text,SEM RAPS FORR PILLAR IMP CTE DES,SP-00463,EXP-8.2,Pradera Rotacion Corta,silver_audit_v2,SEM. RAPS FORR. PILLAR IMP.CTE. DES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA
A_item_text,SEM RAPS FORR SPITFIRE DES CTE,RG-00578,EXP-8.4,Otros Cultivos,direct_client_example,SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIO LTDA.
A_item_text,SEM RAPS FORR SPITFIRE DES CTE,SA-00499,EXP-8.4,Otros Cultivos,file_audit,SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA
A_item_text,SEM RAPS FORR SPITFIRE DES CTE,RG-00659,EXP-8.4,Otros Cultivos,client_product_rule,SEM.RAPS FORR.SPITFIRE DES.     CTE,22000536,COOPRINSEM
A_item_text,SEM RAPS FORR SPITFIRE DES CTE,SP-00462,EXP-8.2,Pradera Rotacion Corta,silver_audit_v2,SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA
A_item_text,SIEMBRA GUTTLER,SA-00967,EXP-8.2,Pradera Rotacion Corta,silver_audit,SIEMBRA GUTTLER,,GUILLERMO ENRIQUE RIEDEL MARTINEZ
A_item_text,SIEMBRA GUTTLER,SP-00459,EXP-8.1,Pradera Perenne,silver_audit_v2,SIEMBRA GUTTLER,,GUILLERMO ENRIQUE RIEDEL MARTINEZ
A_item_text,SOLUTION 60 LTS,RG-00566,EXP-10.3,Detergentes e higenizantes,direct_client_example,SOLUTION 60 lts,,GEA Farm Technologies Osorno Ltda.
A_item_text,SOLUTION 60 LTS,CF-00004,EXP-10.3,Detergentes e higenizantes,file_audit_corrected,SOLUTION 60 LTS,,HGS DAIRY SOLUTIONS SPA
A_item_text,SOLUTION 60 LTS,SP-00339,EXP-10.1,Mantencion Sala,silver_audit_v2,SOLUTION 60 LTS,,GEA Farm Technologies Osorno Ltda.
A_item_text,TAPA COLECTOR 300 CC SIN CIERRE,SA-00466,EXP-10.4,Otros Gastos Lecheria,file_audit,TAPA COLECTOR 300 CC. SIN CIERRE,,GEA Farm Technologies Osorno Ltda.
A_item_text,TAPA COLECTOR 300 CC SIN CIERRE,SP-00321,EXP-10.1,Mantencion Sala,silver_audit_v2,TAPA COLECTOR 300 CC. SIN CIERRE,,GEA Farm Technologies Osorno Ltda.
