item_text,description,provider,established_gold_code,silver_verdict_code,audit_reason
BOLOS SILO CHAPILCAHUIN,20 bolos silo empastadas arriendo,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.3,EXP-4.2,wave2_review
BOLOS SILO RAICES F2,Bolos silo f2 22 bolos en 6 ha total,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.2,EXP-5.4,2step_review
Bolos Paja de Trigo,"Según Guía Despacho 573, 574, 575,579, 580",SERVICIOS AGRICOLAS OSORNO SPA,EXP-4.3,EXP-5.3,2step_review
BOLOS DE PAJA,Según guía de despacho N° 2145 48 Bolos equivalentes a 8.770 kg.,SOC COMERCIAL AGRO-TRUST LTDA,EXP-5.4,EXP-4.2,2step_review
Conf. Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES,EXP-4.2,EXP-5.4,wave2_review
Conf.. bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,EXP-4.2,EXP-15.3,wave2_review
Diferencia bolos tineo,,HECTOR ADRIAN VALENZUELA PAREDES,EXP-4.2,EXP-15.3,wave2_review
Bolos bramadero,,HECTOR ADRIAN VALENZUELA PAREDES,EXP-4.2,EXP-15.3,wave2_review
MOVIMIENTOS DE BOLOS,,AGRÍCOLA J-S-E LIMITADA,EXP-5.4,EXP-4.2,2step_review
TRASLADO DE BOLOS,BRAMADERO AL MAITEN,SERVICIOS VITAP SPA,EXP-4.2,EXP-15.3,wave2_review
YUTRECO FERTILIZANTE,RIEGO FERTILIZANTE UREA S-MART BLUE 50 K/HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.2,wave2_review
VITRAMAG-BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-6.5,EXP-7.0,2step_review
TRAS.FERTILIZANT VITRAMAG,DESDE MAITEN A TINEO,LUIS ANTONIO TORRES JARAMILLO,EXP-6.5,EXP-15.3,2step_review
CHAPILCAHUIN FERTILIZANTE,APLICACION DE FERTILIZANTE TRIPLE 97 HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-7.0,2step_review
SIEMBRA GUTTLER,,GUILLERMO ENRIQUE RIEDEL MARTINEZ,EXP-8.2,EXP-8.1,Siembra Guttler (precision seeder); EXP-15.5 excludes siembras; perennial default
SEM.RAPS FORR.SPITFIRE DES. CTE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-8.4,EXP-8.2,2step_review
SEM. RAPS FORR. PILLAR IMP.CTE. DES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-8.4,EXP-8.2,2step_review
PIRIMOR,BOLSA 1 KG|,Tattersall AgroInsumos S.A.,EXP-7.0,EXP-6.5,wave2_review
MOVIMIENTOS DE BOLOS,,AGRÍCOLA J-S-E LIMITADA,EXP-5.4,EXP-4.2,wave2_review
Recarga Agua Purificada,Fundo Raices,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,ADM-1.6,EXP-9.2,wave2_review
Transporte de Electricidad,,CIA ELECTRICA OSORNO S A,EXP-11.1,EXP-9.1,wave2_review
Interés por mora Energía,,CIA ELECTRICA OSORNO S A,EXP-9.1,EXP-11.1,wave2_review
