item,was_code,now_code,proof,amount
HDPE-TERMINAL HI 63MM X 2 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",29574
HDPE-TERMINAL HI COMPRESION 25MM X 3/4 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2704
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4252
HDPE-TERMINAL HE 40MMX1 1 4 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",3828
HDPE-CODO 25MM - PN16 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4948
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2126
HDPE-TERMINAL HI COMPRESION 25MM X 3/4 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",676
HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",3792
HDPE-CODO 25MM - PN16 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",6185
HDPE-TERMINAL HI COMPRESION 25MM X 3/4 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1352
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",10630
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4345
HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",9480
HDPE-TERMINAL HI COMPRESION 32MM X 1-@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4252
HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",6636
HDPE-TERMINAL HI 63MM X 2 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4929
HDPE-TERMINAL HE 50MM X 1 1 2 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2706
HDPE-TERMINAL HE 63 X 2 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",27138
HDPE-TERMINAL HE 63 X 2 -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",15731
HDPE-TERMINAL HE 50MM X 1 1 2 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2706
HDPE-TERMINAL HI 63MM X 2 COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4929
HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",8690
"Tubería HDPE 63mm PN6 DIN 3,6mm de Esp-PE 80 150 Mt",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",445200
"Tubo Corrugado HDPE 300 mm (12"") ASTM F2306 ASTM F667 SS L.6,0M",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1179000
TERMINAL HI 32 MM HDPE,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",81900
"Tubería HDPE 63mm PN6 DIN 3,6mm de Esp-PE 80",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1484
Tubería HDPE 63mm PN4 Rollo 200 Mts,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1080000
SMART BLUE - BRAMADERO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,216000
SMART BLUE -BRAMADERO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,568000
SMART BLUE - TINEO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,200000
SMART BLUE - TINEO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,269600
SMART BLUE - BRAMADERO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,272000
SMART BLUE - BRAMADERO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,616000
SMART BLUE - TINEO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,168000
SMART BLUE - BRAMADERO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,656000
SMART BLUE - BRAMADERO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,176000
SMART BLUE - TINEO,EXP-6.2,EXP-6.2,SMARTBLUE FUNDO,400000
TUBO HDPE 30CM X6MT,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",235294
TUBO HDPE 40CM X6MT,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",739496
TUBO CORRUGADO HDPE,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",159580
MOSKIMIC FORTE - 3 LT,EXP-10.3,EXP-2.5,MOSKIMIC FORTE X 3 LT.,2140000
"UNION HDPE 50 X 1,1/2HE",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",24106
TEE HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",25343
UNION HDPE 32 X 1HI,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",11606
UNION HDPE 50MM.,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",38607
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",22041
UNION HDPE 50MM.,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",19718
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",33062
"UNION HDPE 50 X 1,1/2HE",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",39062
TEE HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2547
UNION HDPE 50MM.,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",59754
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",11097
"UNION HDPE 40 X 1,1/4HE",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",6291
"UNION HDPE 50 X 1,1/2HI",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",5326
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",22193
UNION HDPE 32 X 1HE,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",15807
UNION HDPE 20 X 1/2HE,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2682
UNION HDPE 32 X 1HE,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",7903
TEE HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",10187
UNION HDPE 25 MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1083
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",11256
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1110
UNION HDPE 32 X 1HI,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1022
REDUCCION HDPE 32 X 25,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",1541
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",11097
TEE HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",4770
UNION HDPE 50MM.,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",36308
UNION HDPE 32MM,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",16645
"TEE HDPE 50 X 1,1/2HI",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",31853
UNION HDPE 32 X 1HI,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",5109
UNION HDPE 32 X 1HI,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",8175
UNION HDPE 32 X 1HE,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",15807
UNION HDPE 32 X 1HI,EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",20437
"UNION HDPE 50 X 1,1/2HE",EXP-14.3,EXP-14.3,"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",2548
