input_id,item,was_code,now_code,proof,amount
COMPRAS|769148779|3572|1,Manga Palpación Roja Soflo VPRO 945mm,ADM-1.6,EXP-16.1,MANGA PALPACION ECOGAN SHOOF 219511,84000
COMPRAS|769148779|3662|2,Manga Palpación Roja Soflo VPRO,EXP-1.1,EXP-16.1,MANGA PALPACION ECOGAN SHOOF 219511,84000
COMPRAS|769148779|3671|1,Manga Palpación Roja Soflo VPRO,EXP-1.1,EXP-16.1,MANGA PALPACION ECOGAN SHOOF 219511,33600
COMPRAS|769148779|3850|2,Manga Palpación Roja Soflo VPRO,EXP-1.1,EXP-16.1,MANGA PALPACION ECOGAN SHOOF 219511,84000
COMPRAS|769148779|3872|1,Manga Palpación Roja Soflo VPRO,EXP-1.1,EXP-16.1,MANGA PALPACION ECOGAN SHOOF 219511,84000
COMPRAS|769148779|3873|1,Manga Palpación Roja Soflo VPRO,EXP-1.1,EXP-16.1,MANGA PALPACION ECOGAN SHOOF 219511,33600
COMPRAS|773493200|672620|1,PAPEL HIGIENICO ULTRA DH 25MTS ELITE PAQUETE 24 UND,EXP-14.3,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,10000
COMPRAS|777413627|573|1,Copla Compresión 63mm Arangül,EXP-14.2,EXP-14.3,COPLA COMPRESION 32MM PN16 ARANGUL,21705
COMPRAS|810941006|29585440|7,"LIMA MOTOSIERRA 7/32""",EXP-16.2,EXP-16.2,"LIMA MOTOSIERRA 3/16""",8016
COMPRAS|81201000K|25216391|1,PAPEL HIGIENICO SCOTT PROTECT 8UN 65MT,ADM-1.6,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,11990
COMPRAS|81201000K|25516286|1,PAPEL HIGIENICO F C DH 50MT 8UN,ADM-1.6,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,7690
COMPRAS|81201000K|25525695|2,PAPEL HIGIENICO F C DH 50MT 8UN,ADM-1.6,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,7690
COMPRAS|81201000K|25738365|3,PAPEL HIGIENICO F C DH 50MT 8UN,ADM-1.6,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,7690
COMPRAS|81201000K|25941724|1,PAPEL HIGIENICO ELITE DH 50MT 18UN,ADM-1.6,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,18390
COMPRAS|966683201|61145|1,ESPUMA CLORADA 2.0 20 KG.,EXP-10.3,EXP-10.3,ESPUMA CLORADA DA X 20 LT,34020
COMPRAS|966683201|63460|1,ESPUMA CLORADA 2.0 20 KG.,EXP-10.3,EXP-10.3,ESPUMA CLORADA DA X 20 LT,68040
COMPRAS|966683201|64901|1,ESPUMA CLORADA 2.0 20 KG.,EXP-10.3,EXP-10.3,ESPUMA CLORADA DA X 20 LT,68040
COMPRAS|966683201|65715|1,ESPUMA CLORADA 2.0 20 KG.,EXP-10.3,EXP-10.3,ESPUMA CLORADA DA X 20 LT,68040
COMPRAS|966683201|67217|1,ESPUMA CLORADA 2.0 20 KG.,EXP-10.3,EXP-10.3,ESPUMA CLORADA DA X 20 LT,68040
COMPRAS|96792430K|137865458|2,"CLAVO TERRANO 11/2 1,0KG.CUN06",EXP-14.2,EXP-14.2,"CLAVO TERRANO 1 1/2"" X 1 KG",4001
COMPRAS|96792430K|139761061|1,"CLAVO TERRANO 11/2 1,0KG.CUN06",EXP-14.2,EXP-14.2,"CLAVO TERRANO 1 1/2"" X 1 KG",8455
COMPRAS|96792430K|139938055|2,"CLAVO TERRANO 11/2 1,0KG.CUN06",EXP-14.2,EXP-14.2,"CLAVO TERRANO 1 1/2"" X 1 KG",12683
COMPRAS|96792430K|141970330|1,PAPEL HIGIENICO 50M PACK 24U,ADM-1.6,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,29563
COMPRAS|96792430K|142512401|5,CLAVO TERRANO 1 1/2KG CUN06C,EXP-14.2,EXP-14.2,"CLAVO TERRANO 1 1/2"" X 1 KG",9970
COMPRAS|96792430K|143925925|3,PAPEL HIGIENICO 50M PACK 24U,ADM-1.6,ADM-1.6,PAPEL HIGIENICO ECONOMICO 500 M ELITE,14782
