row_id,item_text,description,provider,giro,source,source_file,folio,siblings
48,Inyectores (4),,HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS,COMPRAS,DTE_033_000000000454_113968990.xml,454,Kit empaque; Kit rodillos; Kit Carbones; Mano de Obra Bomba; Sacar e instalar; Kit Anillos
49,Mano de Obra Bomba,,HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS,COMPRAS,DTE_033_000000000454_113968990.xml,454,Kit empaque; Kit rodillos; Kit Carbones; Inyectores (4); Sacar e instalar; Kit Anillos
50,Sacar e instalar,,HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS,COMPRAS,DTE_033_000000000454_113968990.xml,454,Kit empaque; Kit rodillos; Kit Carbones; Inyectores (4); Mano de Obra Bomba; Kit Anillos
51,Kit Anillos,,HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS,COMPRAS,DTE_033_000000000454_113968990.xml,454,Kit empaque; Kit rodillos; Kit Carbones; Inyectores (4); Mano de Obra Bomba; Sacar e instalar
52,DICIEMBRE LAS RAICES,SERVICIO DE CARO PURINERO CORRESPONDIENTE A (19 CARROS X 10.000 LT Y 11 CARROS X 10.400),AGRÍCOLA RIBERAS DEL SAUCE SPA,AGRICOLA Y PRESTACION SERVICIOS AGRICOLAS,COMPRAS,DTE_033_000000000468_773568596.xml,468,DICIEMBRE LAS RAICES SERVICIO DE CARO PURINERO CORRESPONDIENTE A (19 CARROS X 10.000 LT Y 11 CARROS 
54,Confección de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000479_119206855.xml,479,Bolos
55,Bolos,,HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS,COMPRAS,DTE_033_000000000479_119206855.xml,479,Confección de bolos
57,VIAJE 36 VACAS,De Vista Hermosa a Yutreco,RAFAEL ANDRES BERTIN DELGADO,COMP. Y VTA. DE GANADO TRANSPORTE DE CARGA ING. CIVIL EN OBRAS CIVIL,COMPRAS,DTE_033_000000000516_185494640.xml,516,VIAJE 36 VACAS De Vista Hermosa a Yutreco
58,Botellón 20 litros,,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,"VENTA, ENVASADO Y DISTRIBUCIÓN DE AGUA PURIFICADA",COMPRAS,DTE_033_000000000662_776655848.xml,662,
59,FUNDAS ASIENTO,,COMERCIALIZADORA DE REPUESTOS ALEJANDRA XIMENA MUÑOZ BALTRA E.I.R.L.,COMPRA Y VENTAS DE INSUMOS Y REPUESTOS DE VEHICULOS MOTORIZADOS,COMPRAS,DTE_033_000000000944_772265336.xml,944,
60,PRESUPUESTO N° 2287/2024,"SUMINISTRO Y MONTAJE CANALIZACIONES Y CABLEADO TABLERO DE TRANSFERENCIA GENERADOR OFICINAS , FUNDO EL MAITEN",ROBERTO RENÉ RODRIGUEZ ARANCIBIA MONTAJES ELECTRICOS E INDUSTRIALES.,Instalaciones Electricas,COMPRAS,DTE_033_000000001040_764295218.xml,1040,PRESUPUESTO N° 2287/2024 SUMINISTRO Y MONTAJE CANALIZACIONES Y CABLEADO TABLERO DE TRANSFERENCIA GEN
61,Consumo,,CUADRIL SPA,"RESTAURANT, BAR, PROCESAMIENTO DE ALIMENTOS",COMPRAS,DTE_033_000000001105_777728083.xml,1105,
62,mantencion trx 520,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001125_770334063.xml,1125,aceite motul; filtro de aceite; aceite corona
63,aceite motul,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001125_770334063.xml,1125,mantencion trx 520; filtro de aceite; aceite corona
64,filtro de aceite,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001125_770334063.xml,1125,mantencion trx 520; aceite motul; aceite corona
65,aceite corona,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001125_770334063.xml,1125,mantencion trx 520; aceite motul; filtro de aceite
66,SEGUN OT 103,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001126_770334063.xml,1126,SEGUN OT 104
67,SEGUN OT 104,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001126_770334063.xml,1126,SEGUN OT 103
68,SEGUN OT 107,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001127_770334063.xml,1127,SEGUN OT 108
69,SEGUN OT 108,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001127_770334063.xml,1127,SEGUN OT 107
70,SEGUN OT 106,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001128_770334063.xml,1128,SEGUN OT 82
71,SEGUN OT 82,,MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS,COMPRAS,DTE_033_000000001128_770334063.xml,1128,SEGUN OT 106
73,CONTROL DE ROEDORES,"PROGRAMA DE CONTROL DE ROEDORES AL PREDIO RAICES, VISITAS REALIZADAS 7/01/2025 HT6415; 21/01/2025 HT6440.",H2 ASESORIAS Y SERVICIOS SPA,ASESORIAS AGRICOLAS,COMPRAS,DTE_033_000000002367_760726559.xml,2367,"CONTROL DE ROEDORES PROGRAMA DE CONTROL DE ROEDORES AL PREDIO RAICES, VISITAS REALIZADAS 7/01/2025 H"
79,Revisión motor,,CARLOS JOAQUIN CAMPOS GONZALEZ,"VENTAS DE ARTICULOS DE FERRETERIA, MAQUINARIAS, MOTORES Y REPUESTOS.-",COMPRAS,DTE_033_000000002517_134047739.xml,2517,Servicio de reparación Desbrozadora 143RII.-
80,huinchas 11/2x4.20,,VENTAS DE REPUESTOS DAVID BASTIAS CHAMORRO E.I.R.L.,"VENTAS DE REPUESTOS PARA LA INDUSTRIA, ROPA Y ZAPATOS",COMPRAS,DTE_033_000000003073_772226098.xml,3073,
83,Arriendo enero 25,,ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES",COMPRAS,DTE_033_000000003867_764503287.xml,3867,
84,STIHL BUJIA NGK BPMR7A,STIHL BUJIA NGK BPMR7A,INVERSIONES DEL RANCO LIMITADA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL,COMPRAS,DTE_033_000000005995_767828098.xml,5995,STIHL BUJIA NGK BPMR7A STIHL BUJIA NGK BPMR7A; LIMA 5 5 MM 7 32 LIMA 5 5 MM 7 32
85,LIMA 5 5 MM 7 32,LIMA 5 5 MM 7 32,INVERSIONES DEL RANCO LIMITADA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL,COMPRAS,DTE_033_000000005995_767828098.xml,5995,STIHL BUJIA NGK BPMR7A STIHL BUJIA NGK BPMR7A; LIMA 5 5 MM 7 32 LIMA 5 5 MM 7 32
86,MANO DE OBRA PEDRO,MANO DE OBRA PEDRO,INVERSIONES DEL RANCO LIMITADA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL,COMPRAS,DTE_033_000000006047_767828098.xml,6047,MANO DE OBRA PEDRO MANO DE OBRA PEDRO; BOBINA MS360 MS390 BOBINA MS360 MS390; RESORTE BUJIA MS 192T 250 390 RESORTE BUJIA MS 192T 250 390; MATERIALES MATERIALES
87,BOBINA MS360 MS390,BOBINA MS360 MS390,INVERSIONES DEL RANCO LIMITADA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL,COMPRAS,DTE_033_000000006047_767828098.xml,6047,MANO DE OBRA PEDRO MANO DE OBRA PEDRO; BOBINA MS360 MS390 BOBINA MS360 MS390; RESORTE BUJIA MS 192T 250 390 RESORTE BUJIA MS 192T 250 390; MATERIALES MATERIALES
88,RESORTE BUJIA MS 192T 250 390,RESORTE BUJIA MS 192T 250 390,INVERSIONES DEL RANCO LIMITADA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL,COMPRAS,DTE_033_000000006047_767828098.xml,6047,MANO DE OBRA PEDRO MANO DE OBRA PEDRO; BOBINA MS360 MS390 BOBINA MS360 MS390; RESORTE BUJIA MS 192T 250 390 RESORTE BUJIA MS 192T 250 390; MATERIALES MATERIALES
89,MATERIALES,MATERIALES,INVERSIONES DEL RANCO LIMITADA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL,COMPRAS,DTE_033_000000006047_767828098.xml,6047,MANO DE OBRA PEDRO MANO DE OBRA PEDRO; BOBINA MS360 MS390 BOBINA MS360 MS390; RESORTE BUJIA MS 192T 250 390 RESORTE BUJIA MS 192T 250 390; MATERIALES MATERIALES
90,Abrazadera Cremallera 16-25mm,,COMERCIALIZADORA RIEGO BUENO LIMITADA,VENTA Y SERVICIOS DE INSTALACION RIEGO CLIMATIZACION CALEFACCION ERNC,COMPRAS,DTE_033_000000006289_766263747.xml,6289,Terminal Compresión 40mm HE; Terminal Compresión 40mm HI
91,Terminal Compresión 40mm HE,,COMERCIALIZADORA RIEGO BUENO LIMITADA,VENTA Y SERVICIOS DE INSTALACION RIEGO CLIMATIZACION CALEFACCION ERNC,COMPRAS,DTE_033_000000006289_766263747.xml,6289,Abrazadera Cremallera 16-25mm; Terminal Compresión 40mm HI
92,Terminal Compresión 40mm HI,,COMERCIALIZADORA RIEGO BUENO LIMITADA,VENTA Y SERVICIOS DE INSTALACION RIEGO CLIMATIZACION CALEFACCION ERNC,COMPRAS,DTE_033_000000006289_766263747.xml,6289,Abrazadera Cremallera 16-25mm; Terminal Compresión 40mm HE
96,Comentarios:,Comentarios:,AUTOMOTRIZ TECNOCID LIMITADA,COMPRA VENTA VEHÍCULOS NUEVOS Y USADOS,COMPRAS,DTE_033_000000006480_768318301.xml,6480,GRABADO DE PATENTE; Comentarios: Comentarios:
97,TAPA TORNILLO PVC HIDR HE 34,,TODO CONSTRUCCION SUR SPA,VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION,COMPRAS,DTE_033_000000011577_770691567.xml,11577,TAPA GORRO PVC HIDR HI 25X34
98,TAPA GORRO PVC HIDR HI 25X34,,TODO CONSTRUCCION SUR SPA,VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION,COMPRAS,DTE_033_000000011577_770691567.xml,11577,TAPA TORNILLO PVC HIDR HE 34
100,TERMINAL HI 32 MM HDPE,,TODO CONSTRUCCION SUR SPA,VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION,COMPRAS,DTE_033_000000011578_770691567.xml,11578,COPLA 32 MM HDPE
101,MANTENCION EXTINTOR PQS,,EXTINT0RES ALFA VALDIVIA SPA,VENTA Y RECARGA DE EXTINTORES - CAPACITACION,COMPRAS,DTE_033_000000012355_763563634.xml,12355,MANTENCION EXTINTOR CO2; RECARGA EXTINTOR PQS; EXTINTOR CERTIFICADO PQS
104,MANTENCION EXTINTOR CO2,,EXTINT0RES ALFA VALDIVIA SPA,VENTA Y RECARGA DE EXTINTORES - CAPACITACION,COMPRAS,DTE_033_000000012355_763563634.xml,12355,MANTENCION EXTINTOR PQS; RECARGA EXTINTOR PQS; EXTINTOR CERTIFICADO PQS
106,RECARGA EXTINTOR PQS,,EXTINT0RES ALFA VALDIVIA SPA,VENTA Y RECARGA DE EXTINTORES - CAPACITACION,COMPRAS,DTE_033_000000012355_763563634.xml,12355,MANTENCION EXTINTOR PQS; MANTENCION EXTINTOR CO2; EXTINTOR CERTIFICADO PQS
108,EXTINTOR CERTIFICADO PQS,,EXTINT0RES ALFA VALDIVIA SPA,VENTA Y RECARGA DE EXTINTORES - CAPACITACION,COMPRAS,DTE_033_000000012355_763563634.xml,12355,MANTENCION EXTINTOR PQS; MANTENCION EXTINTOR CO2; RECARGA EXTINTOR PQS
109,BOMBA ROVATTI F33K100&#47;3H,,ENTRE RIEGOS DEL SUR SPA,"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.",COMPRAS,DTE_033_000000017084_766379990.xml,17084,ENTREGA INMEDIATA&#46; SALVO VENTA PREVIA &#45;&#45;&#45;&#45; CANCELADA TRANSFERENCIA 23&#45;01&#45
110,ENTREGA INMEDIATA&#46; SALVO VENTA PREVIA,&#45;&#45;&#45;&#45; CANCELADA TRANSFERENCIA 23&#45;01&#45;2025,ENTRE RIEGOS DEL SUR SPA,"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.",COMPRAS,DTE_033_000000017084_766379990.xml,17084,BOMBA ROVATTI F33K100&#47;3H; ENTREGA INMEDIATA&#46; SALVO VENTA PREVIA &#45;&#45;&#45;&#45; CANCELADA TRANSFERENCIA 23&#45;01&#45
111,GOMA ACOPLAMIENTO VALVOLINE MOTOBOMBA,,ENTRE RIEGOS DEL SUR SPA,"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.",COMPRAS,DTE_033_000000017185_766379990.xml,17185,EMPAQUETADURA PLANA 100MM 4&quot; BRIDA&#47;FLANGE; MANO DE OBRA RETIRO DE BOMBA VIEJA E; INSTALACION DE BOMBA ROVATTI NUEVA &#45;&#45;&#45;&#45; RETIRA SR JAVIER MU&deg;OZ
112,EMPAQUETADURA PLANA 100MM 4&quot; BRIDA&#47;FLANGE,,ENTRE RIEGOS DEL SUR SPA,"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.",COMPRAS,DTE_033_000000017185_766379990.xml,17185,GOMA ACOPLAMIENTO VALVOLINE MOTOBOMBA; MANO DE OBRA RETIRO DE BOMBA VIEJA E; INSTALACION DE BOMBA ROVATTI NUEVA &#45;&#45;&#45;&#45; RETIRA SR JAVIER MU&deg;OZ
113,MANO DE OBRA RETIRO DE BOMBA VIEJA E,,ENTRE RIEGOS DEL SUR SPA,"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.",COMPRAS,DTE_033_000000017185_766379990.xml,17185,GOMA ACOPLAMIENTO VALVOLINE MOTOBOMBA; EMPAQUETADURA PLANA 100MM 4&quot; BRIDA&#47;FLANGE; INSTALACION DE BOMBA ROVATTI NUEVA &#45;&#45;&#45;&#45; RETIRA SR JAVIER MU&deg;OZ
114,INSTALACION DE BOMBA ROVATTI NUEVA,&#45;&#45;&#45;&#45; RETIRA SR JAVIER MU&deg;OZ,ENTRE RIEGOS DEL SUR SPA,"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N.",COMPRAS,DTE_033_000000017185_766379990.xml,17185,GOMA ACOPLAMIENTO VALVOLINE MOTOBOMBA; EMPAQUETADURA PLANA 100MM 4&quot; BRIDA&#47;FLANGE; MANO DE OBRA RETIRO DE BOMBA VIEJA E; INSTALACION DE BOMBA ROVATTI NUEVA &#45;&#45;&#45;&#45; RETIRA SR JAVIER MU&deg;OZ
115,Copla Compresión 40mm Irritec,,SERVICIOS PUELCHE SPA,OBRAS MENORES ESTRUCTURAS Y RECUBRIMIENTOS PLÁSTICOS,COMPRAS,DTE_033_000000017921_761751565.xml,17921,Copla Compresión 50mm Arangül
116,Copla Compresión 50mm Arangül,,SERVICIOS PUELCHE SPA,OBRAS MENORES ESTRUCTURAS Y RECUBRIMIENTOS PLÁSTICOS,COMPRAS,DTE_033_000000017921_761751565.xml,17921,Copla Compresión 40mm Irritec
118,EFFECT 60 LTS.,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000023230_761757865.xml,23230,FULLDIP 5000 PROMOCION 230 KG; ZINICIN 70 KGS.; FILTRO LECHE JUMBO 100 UND 150 X 800 MM
124,PIOLA PERLON 4MM DE ALTA RESISTENCIA,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000023337_761757865.xml,23337,PIOLA PERLON RETIRADOR (NEGRA)/ MT
131,SENSOR FLOTADOR CPL. U/F,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000023400_761757865.xml,23400,SERVICIO EMERGENCIA AL; SERVICIO EMERGENCIA FV; VIAJE TECNICO
136,TAPA FRONTAL METATRON S21,,GEA Farm Technologies Osorno Ltda.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL",COMPRAS,DTE_033_000000023433_761757865.xml,23433,VIAJE TECNICO; SERVICIO EMERGENCIA FA
