row_id,source_file,period,folio,nro_lin_det,direction,item_text,description,provider,amount,unit_price,audit_rationale
310,DTE_033_000000551719_969183005.xml,2025-01,551719,14,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
312,DTE_033_000000553382_969183005.xml,2025-01,553382,2,COMPRAS,FORD F150 LARIAT PKSR-82 130473 09/01/2025 10:03 726731,A@FORD F150 LARIAT PKSR-82 130473 09/01/2025 10:03 726731,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
313,DTE_033_000000553382_969183005.xml,2025-01,553382,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
314,DTE_033_000000553382_969183005.xml,2025-01,553382,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
315,DTE_033_000000553382_969183005.xml,2025-01,553382,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
317,DTE_033_000000553382_969183005.xml,2025-01,553382,7,COMPRAS,"SCO-MO 13? REVISI?N DE MANTENCI?N, CAMBIAR PLUM","A@SCO-MO 13? REVISI?N DE MANTENCI?N, CAMBIAR PLUM",DIFOR CHILE S.A.,0,,workshop_request_note
318,DTE_033_000000553382_969183005.xml,2025-01,553382,8,COMPRAS,SCO-MO CAMBIAR ESPEJO RETROVISOR DERECHO,A@SCO-MO CAMBIAR ESPEJO RETROVISOR DERECHO,DIFOR CHILE S.A.,0,,workshop_request_note
319,DTE_033_000000553382_969183005.xml,2025-01,553382,9,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
320,DTE_033_000000553382_969183005.xml,2025-01,553382,10,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
321,DTE_033_000000553382_969183005.xml,2025-01,553382,11,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
322,DTE_033_000000553382_969183005.xml,2025-01,553382,12,COMPRAS,233605 52048 33009 2192 92874,2@233605 52048 33009 2192 92874,DIFOR CHILE S.A.,0,,printed_numeric_summary
323,DTE_033_000000553382_969183005.xml,2025-01,553382,13,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
324,DTE_033_000000553382_969183005.xml,2025-01,553382,14,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
325,DTE_033_000000553382_969183005.xml,2025-01,553382,15,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
328,DTE_033_000000622975_990120005.xml,2025-01,622975,3,COMPRAS,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,0,,billing_reference
1032,DTE_033_000000558367_969183005.xml,2025-02,558367,2,COMPRAS,FORD RANGER XL 4X PSSS-88 160565 11/02/2025 17:36 734734,A@FORD RANGER XL 4X PSSS-88 160565 11/02/2025 17:36 734734,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
1033,DTE_033_000000558367_969183005.xml,2025-02,558367,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1034,DTE_033_000000558367_969183005.xml,2025-02,558367,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
1035,DTE_033_000000558367_969183005.xml,2025-02,558367,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1037,DTE_033_000000558367_969183005.xml,2025-02,558367,7,COMPRAS,SCO-MO REVISAR SISTEMA DE DIRECCION,A@SCO-MO REVISAR SISTEMA DE DIRECCION,DIFOR CHILE S.A.,0,,workshop_request_note
1038,DTE_033_000000558367_969183005.xml,2025-02,558367,8,COMPRAS,SCO-MO 16? REVISI?N DE MANTENCI?N,A@SCO-MO 16? REVISI?N DE MANTENCI?N,DIFOR CHILE S.A.,0,,workshop_request_note
1039,DTE_033_000000558367_969183005.xml,2025-02,558367,9,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
1040,DTE_033_000000558367_969183005.xml,2025-02,558367,10,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
1041,DTE_033_000000558367_969183005.xml,2025-02,558367,11,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1042,DTE_033_000000558367_969183005.xml,2025-02,558367,12,COMPRAS,193375 78432 1360 11192 69559,2@193375 78432 1360 11192 69559,DIFOR CHILE S.A.,0,,printed_numeric_summary
1043,DTE_033_000000558367_969183005.xml,2025-02,558367,13,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
1044,DTE_033_000000558367_969183005.xml,2025-02,558367,14,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
1045,DTE_033_000000558367_969183005.xml,2025-02,558367,15,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
1047,DTE_033_000000561426_969183005.xml,2025-02,561426,2,COMPRAS,FORD RANGER XL 4X RZGC-45 109461 27/02/2025 18:11 738483,A@FORD RANGER XL 4X RZGC-45 109461 27/02/2025 18:11 738483,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
1048,DTE_033_000000561426_969183005.xml,2025-02,561426,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1049,DTE_033_000000561426_969183005.xml,2025-02,561426,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
1050,DTE_033_000000561426_969183005.xml,2025-02,561426,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1052,DTE_033_000000561426_969183005.xml,2025-02,561426,7,COMPRAS,SCO-MO REVISAR VIBRACION RUEDA DELANTERA IZQUIE,A@SCO-MO REVISAR VIBRACION RUEDA DELANTERA IZQUIE,DIFOR CHILE S.A.,0,,workshop_request_note
1053,DTE_033_000000561426_969183005.xml,2025-02,561426,8,COMPRAS,SCO-MO MANTENCION 110.000KMS,A@SCO-MO MANTENCION 110.000KMS,DIFOR CHILE S.A.,0,,workshop_request_note
1054,DTE_033_000000561426_969183005.xml,2025-02,561426,9,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
1055,DTE_033_000000561426_969183005.xml,2025-02,561426,10,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
1056,DTE_033_000000561426_969183005.xml,2025-02,561426,11,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1057,DTE_033_000000561426_969183005.xml,2025-02,561426,12,COMPRAS,165710 60842 1390 11441 71105,2@165710 60842 1390 11441 71105,DIFOR CHILE S.A.,0,,printed_numeric_summary
1058,DTE_033_000000561426_969183005.xml,2025-02,561426,13,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
1059,DTE_033_000000561426_969183005.xml,2025-02,561426,14,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
1060,DTE_033_000000561426_969183005.xml,2025-02,561426,15,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
1063,DTE_033_000000628741_990120005.xml,2025-02,628741,3,COMPRAS,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,0,,billing_reference
1686,DTE_033_000000565825_969183005.xml,2025-03,565825,2,COMPRAS,FORD RANGER XLT 4 TJXC-63 48335 28/03/2025 18:03 744974,A@FORD RANGER XLT 4 TJXC-63 48335 28/03/2025 18:03 744974,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
1687,DTE_033_000000565825_969183005.xml,2025-03,565825,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1688,DTE_033_000000565825_969183005.xml,2025-03,565825,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
1689,DTE_033_000000565825_969183005.xml,2025-03,565825,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1691,DTE_033_000000565825_969183005.xml,2025-03,565825,7,COMPRAS,SCO-MO REVISAR BOCINA,A@SCO-MO REVISAR BOCINA,DIFOR CHILE S.A.,0,,workshop_request_note
1692,DTE_033_000000565825_969183005.xml,2025-03,565825,8,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
1693,DTE_033_000000565825_969183005.xml,2025-03,565825,9,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
1694,DTE_033_000000565825_969183005.xml,2025-03,565825,10,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
1695,DTE_033_000000565825_969183005.xml,2025-03,565825,11,COMPRAS,181691 57593 26895 11441 91421,2@181691 57593 26895 11441 91421,DIFOR CHILE S.A.,0,,printed_numeric_summary
1696,DTE_033_000000565825_969183005.xml,2025-03,565825,12,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
1697,DTE_033_000000565825_969183005.xml,2025-03,565825,13,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
1698,DTE_033_000000565825_969183005.xml,2025-03,565825,14,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
1703,DTE_033_000000633520_990120005.xml,2025-03,633520,3,COMPRAS,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,0,,billing_reference
2183,DTE_033_000000024183_766002048.xml,2025-04,24183,2,COMPRAS,OBSERVACIONES,TRANSFERENCIA ELECTRONICA Cotización valida por 10 días.,BOBINADOS INDUSTRIALES LONCOMILLA SPA,0,,observations_note
2185,DTE_033_000000024184_766002048.xml,2025-04,24184,2,COMPRAS,OBSERVACIONES,TRANSFERENCIA ELECTRONICA Contacto: ( mantencion@bobinadosloncomilla.cl - serviciotecnico@bobinadosloncomilla.cl ) Teléfono: +56 85012109 / (64) 2 24350,BOBINADOS INDUSTRIALES LONCOMILLA SPA,0,,observations_note
2315,DTE_033_000000567514_969183005.xml,2025-04,567514,2,COMPRAS,FORD F150 LARIAT TBZL-91 50838 10/03/2025 12:32 740387,A@FORD F150 LARIAT TBZL-91 50838 10/03/2025 12:32 740387,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
2316,DTE_033_000000567514_969183005.xml,2025-04,567514,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2317,DTE_033_000000567514_969183005.xml,2025-04,567514,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
2318,DTE_033_000000567514_969183005.xml,2025-04,567514,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2320,DTE_033_000000567514_969183005.xml,2025-04,567514,7,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
2321,DTE_033_000000567514_969183005.xml,2025-04,567514,8,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
2322,DTE_033_000000567514_969183005.xml,2025-04,567514,9,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2323,DTE_033_000000567514_969183005.xml,2025-04,567514,10,COMPRAS,272729 47111 1393 11461 106994,2@272729 47111 1393 11461 106994,DIFOR CHILE S.A.,0,,printed_numeric_summary
2324,DTE_033_000000567514_969183005.xml,2025-04,567514,11,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
2325,DTE_033_000000567514_969183005.xml,2025-04,567514,12,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
2326,DTE_033_000000567514_969183005.xml,2025-04,567514,13,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
2328,DTE_033_000000569101_969183005.xml,2025-04,569101,2,COMPRAS,FORD AJE5 / NEW R TYLD-93 16099 16/04/2025 16:54 749192,A@FORD AJE5 / NEW R TYLD-93 16099 16/04/2025 16:54 749192,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
2329,DTE_033_000000569101_969183005.xml,2025-04,569101,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2330,DTE_033_000000569101_969183005.xml,2025-04,569101,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
2331,DTE_033_000000569101_969183005.xml,2025-04,569101,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2333,DTE_033_000000569101_969183005.xml,2025-04,569101,7,COMPRAS,"SCO-MO REVISAR AUDIO, PANTALLA, CAMARA. SE DESC","A@SCO-MO REVISAR AUDIO, PANTALLA, CAMARA. SE DESC",DIFOR CHILE S.A.,0,,workshop_request_note
2334,DTE_033_000000569101_969183005.xml,2025-04,569101,8,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
2335,DTE_033_000000569101_969183005.xml,2025-04,569101,9,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
2336,DTE_033_000000569101_969183005.xml,2025-04,569101,10,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2337,DTE_033_000000569101_969183005.xml,2025-04,569101,11,COMPRAS,172531 39996 1360 11192 79496,2@172531 39996 1360 11192 79496,DIFOR CHILE S.A.,0,,printed_numeric_summary
2338,DTE_033_000000569101_969183005.xml,2025-04,569101,12,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
2339,DTE_033_000000569101_969183005.xml,2025-04,569101,13,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
2340,DTE_033_000000569101_969183005.xml,2025-04,569101,14,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
2343,DTE_033_000000571282_969183005.xml,2025-04,571282,2,COMPRAS,FORD F150 LARIAT PKSR-82 138698 28/04/2025 14:36 751484,A@FORD F150 LARIAT PKSR-82 138698 28/04/2025 14:36 751484,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
2344,DTE_033_000000571282_969183005.xml,2025-04,571282,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2345,DTE_033_000000571282_969183005.xml,2025-04,571282,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
2346,DTE_033_000000571282_969183005.xml,2025-04,571282,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2348,DTE_033_000000571282_969183005.xml,2025-04,571282,7,COMPRAS,SCO-MO INSTALAR TAPA ESCALERA,A@SCO-MO INSTALAR TAPA ESCALERA,DIFOR CHILE S.A.,0,,workshop_request_note
2349,DTE_033_000000571282_969183005.xml,2025-04,571282,8,COMPRAS,SCO-MO 14? REVISI?N DE MANTENCI?N,A@SCO-MO 14? REVISI?N DE MANTENCI?N,DIFOR CHILE S.A.,0,,workshop_request_note
2350,DTE_033_000000571282_969183005.xml,2025-04,571282,9,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
2351,DTE_033_000000571282_969183005.xml,2025-04,571282,10,COMPRAS,MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,AUTO2@MO elec Mec Repuestos Accesorios Servicios LubricacionTrabajos Fue,DIFOR CHILE S.A.,0,,printed_service_columns
2352,DTE_033_000000571282_969183005.xml,2025-04,571282,11,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
2353,DTE_033_000000571282_969183005.xml,2025-04,571282,12,COMPRAS,246076 78943 11878 10571 98678 15300,2@246076 78943 11878 10571 98678 15300,DIFOR CHILE S.A.,0,,printed_numeric_summary
2354,DTE_033_000000571282_969183005.xml,2025-04,571282,13,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
2355,DTE_033_000000571282_969183005.xml,2025-04,571282,14,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
2356,DTE_033_000000571282_969183005.xml,2025-04,571282,15,COMPRAS,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,0,,workshop_reminder
2384,DTE_033_000000638229_990120005.xml,2025-04,638229,3,COMPRAS,RUTCOBRANZA 96685810,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,0,,billing_reference
2654,DTE_033_000027409247_995200007.xml,2025-04,27409247,1,COMPRAS,Fecha-Guía,04.04.25-29771090*,COPEC S.A.,0,,fuel_delivery_reference
2655,DTE_033_000027409247_995200007.xml,2025-04,27409247,2,COMPRAS,Total,"GASOLINA SP 93 OCTANOS NU 1203| 94,146|Litro",COPEC S.A.,0,,zero_fuel_summary
2657,DTE_033_000027477406_995200007.xml,2025-04,27477406,1,COMPRAS,Fecha-Guía,27.04.25-29894218*,COPEC S.A.,0,,fuel_delivery_reference
2658,DTE_033_000027477406_995200007.xml,2025-04,27477406,2,COMPRAS,Total,"GASOLINA SP 93 OCTANOS NU 1203| 105,953|Litro",COPEC S.A.,0,,zero_fuel_summary
2660,DTE_033_000027477945_995200007.xml,2025-04,27477945,1,COMPRAS,Fecha-Guía,27.04.25-30150984*,COPEC S.A.,0,,fuel_delivery_reference
2661,DTE_033_000027477945_995200007.xml,2025-04,27477945,2,COMPRAS,Total,"GASOLINA SP 93 OCTANOS NU 1203| 63,687|Litro",COPEC S.A.,0,,zero_fuel_summary
3095,DTE_033_000000024625_766002048.xml,2025-05,24625,2,COMPRAS,OBSERVACIONES,PAGO TRANSFERENCIA EQUIPO CON PUESTA EN MARCHA,BOBINADOS INDUSTRIALES LONCOMILLA SPA,0,,observations_note
3098,DTE_033_000000024627_766002048.xml,2025-05,24627,3,COMPRAS,OBSERVACIONES,PAGO : TRANSFERENCIA ELECTRONICA 28/05/2025 EQUIPO CON PUESTA EN MARCHA / PROBADO EN LOCAL,BOBINADOS INDUSTRIALES LONCOMILLA SPA,0,,observations_note
3278,DTE_033_000000572916_969183005.xml,2025-05,572916,2,COMPRAS,FORD F150 PLATINI TJXC-64 32185 08/05/2025 10:30 753467,A@FORD F150 PLATINI TJXC-64 32185 08/05/2025 10:30 753467,DIFOR CHILE S.A.,0,,vehicle_work_order_metadata
3279,DTE_033_000000572916_969183005.xml,2025-05,572916,3,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
3280,DTE_033_000000572916_969183005.xml,2025-05,572916,4,COMPRAS,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,DIFOR CHILE S.A.,0,,printed_column_header
3281,DTE_033_000000572916_969183005.xml,2025-05,572916,5,COMPRAS,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
3283,DTE_033_000000572916_969183005.xml,2025-05,572916,7,COMPRAS,SCO-MO PISADERA DERECHA COPILOTO NO SIEMPRE BAJ,A@SCO-MO PISADERA DERECHA COPILOTO NO SIEMPRE BAJ,DIFOR CHILE S.A.,0,,workshop_request_note
3284,DTE_033_000000572916_969183005.xml,2025-05,572916,8,COMPRAS,SCO-MO PUERTA LADO CHOFER CRUJE SIEMPRE,A@SCO-MO PUERTA LADO CHOFER CRUJE SIEMPRE,DIFOR CHILE S.A.,0,,workshop_request_note
3285,DTE_033_000000572916_969183005.xml,2025-05,572916,9,COMPRAS,SCO-MO COTIZAR MOLDURA DE PLASTICO,A@SCO-MO COTIZAR MOLDURA DE PLASTICO,DIFOR CHILE S.A.,0,,workshop_request_note
3286,DTE_033_000000572916_969183005.xml,2025-05,572916,10,COMPRAS,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,DIFOR CHILE S.A.,0,,printed_totals_header
3287,DTE_033_000000572916_969183005.xml,2025-05,572916,11,COMPRAS,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,DIFOR CHILE S.A.,0,,printed_service_columns
3288,DTE_033_000000572916_969183005.xml,2025-05,572916,12,COMPRAS,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,DIFOR CHILE S.A.,0,,separator
3289,DTE_033_000000572916_969183005.xml,2025-05,572916,13,COMPRAS,172310 104949 1405 11566 71978,2@172310 104949 1405 11566 71978,DIFOR CHILE S.A.,0,,printed_numeric_summary
3290,DTE_033_000000572916_969183005.xml,2025-05,572916,14,COMPRAS,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,0,,broken_template_field
3291,DTE_033_000000572916_969183005.xml,2025-05,572916,15,COMPRAS,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,0,,workshop_footer
