rows,reason,prediction,prediction_name,direction,normalized_item,example_item,example_description,example_provider,mean_top1
22,low_confidence,EXP-15.5,Servicios Agricolas,COMPRAS,recarga agua purificada,Recarga Agua Purificada,,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,0.3327
19,liquidacion_dte43_requires_client_category,EXP-4.3,Bolos Heno,COMPRAS,vaca gorda,VACA GORDA,CAB NEG EXP 8*,Tattersall Ganado S.A.,0.5493
17,low_confidence,EXP-14.4,Mantencion Instalaciones,COMPRAS,mantencion extintores,MANTENCION EXTINTORES,MANTENCION EXTINTOR PQS DE 04 KG,COMERCIAL V&P LIMITADA,0.3496
17,low_confidence,EXP-15.4,Arriendo Maquinaria y Vehiculos,COMPRAS,pago arriendo operacion,PAGO ARRIENDO OPERACION:,PAGO ARRIENDO OPERACION:,Santander - Chile,0.3131
15,liquidacion_dte43_requires_client_category,EXP-4.3,Bolos Heno,COMPRAS,vaca engorda,VACA ENGORDA,NE/JER/6D/EXP,Tattersall Ganado S.A.,0.5692
15,liquidacion_dte43_requires_client_category,EXP-4.3,Bolos Heno,COMPRAS,vaquilla engorda,VAQUILLA ENGORDA,YERS/2,Tattersall Ganado S.A.,0.5898
15,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,transito,TRANSITO,,SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,0.6356
15,low_confidence,EXP-10.3,Detergentes e higenizantes,COMPRAS,oracid 60 l,ORACID 60 L,,GEA Farm Technologies Osorno Ltda.,0.6274
15,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,g93,G93,G93,DANIEL VILLAR Y CIA LTDA,0.3912
14,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,filtro leche jumbo 100 und 150 x 800 mm,FILTRO LECHE JUMBO 100 UND 150 X 800 MM,,GEA Farm Technologies Osorno Ltda.,0.59
14,low_confidence,EXP-15.4,Arriendo Maquinaria y Vehiculos,COMPRAS,arriendo de televia,Arriendo de Televía,,SOC CONCESIONARIA AUTOPISTA CENTRAL S A,0.5838
14,low_confidence,EXP-15.4,Arriendo Maquinaria y Vehiculos,COMPRAS,arriendo fundo pelleco,ARRIENDO FUNDO PELLECO,LOTE A ROL 2230-12 MES DE ENERO 2025,SOC INMOBILIARIA PROGRESO ROLANDO EGON ACUÑA SCHEEL E.I.R.L.,0.5907
13,low_confidence,ADM-2.2,Seguros Trabajadores,COMPRAS,seguro colectivo poliza nro 12799,Seguro Colectivo. Poliza Nro. 12799,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,0.6675
12,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,cemento oferta especial,CEMENTO OFERTA ESPECIAL -@,CEMENTO OFERTA ESPECIAL -@,DORIS IVONNE CASTILLO KANTER,0.3277
12,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,movilizacion de equipos de refrigeracion,MOVILIZACION DE EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,0.3598
12,low_confidence,EXP-12.2,Analisis Animales,COMPRAS,brucelosis rosa de bengala,BRUCELOSIS (ROSA DE BENGALA),,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.3501
12,low_confidence,EXP-12.2,Analisis Animales,COMPRAS,leucosis elisa suero pool 10 muestras,LEUCOSIS ELISA SUERO POOL 10 MUESTRAS,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.3764
12,low_confidence,EXP-14.1,Mantencion Caminos,COMPRAS,viajes tag del periodo,Viajes TAG del Periodo,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,0.4042
12,low_confidence,EXP-15.5,Servicios Agricolas,COMPRAS,botellon 20 litros,Botellon 20 litros,,Manantial S.A,0.3805
11,liquidacion_dte43_requires_client_category,EXP-4.3,Bolos Heno,COMPRAS,vaca carnaza,VACA CARNAZA,CAB YER EXPO 8*,Tattersall Ganado S.A.,0.547
11,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,servicio emergencia fa,SERVICIO EMERGENCIA FA,,GEA Farm Technologies Osorno Ltda.,0.4099
11,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,servicio emergencia lh,SERVICIO EMERGENCIA LH,,GEA Farm Technologies Osorno Ltda.,0.4346
11,weak_class,EXP-5.3,Concentrado Otros Animales,COMPRAS,clavo de 4 kg,CLAVO DE 4 KG -@,CLAVO DE 4 KG -@,DORIS IVONNE CASTILLO KANTER,0.2422
10,low_confidence,EXP-13.1,Mantencion Maquinaria,COMPRAS,dsl,Dsl,Dsl,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,0.3609
9,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,otros cobros y descuentos,OTROS COBROS Y DESCUENTOS,,Empresa Nacional de Telecomunicaciones S.A.,0.6826
9,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe copla compresion 32mm,HDPE-COPLA COMPRESION 32MM -@,HDPE-COPLA COMPRESION 32MM -@,DORIS IVONNE CASTILLO KANTER,0.1468
9,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,intereses por mora,INTERESES_POR_MORA,,SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,0.5102
9,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,hora tecnica fa,HORA TECNICA FA,,GEA Farm Technologies Osorno Ltda.,0.4923
9,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,hora tecnica jm,HORA TECNICA JM,,GEA Farm Technologies Osorno Ltda.,0.4924
9,low_confidence,EXP-11.4,Bencina,COMPRAS,gasolina 95,GASOLINA 95,Retira: ANTILLANCA SPA{Impuesto base combustible: 13728{Impuesto variable combustible: 249,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.648
9,low_confidence,EXP-12.2,Analisis Animales,COMPRAS,cuota control lechero oficial,CUOTA CONTROL LECHERO OFICIAL,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.5319
9,low_confidence,EXP-13.3,Mantencion Vehiculos,COMPRAS,dsl,Dsl,Dsl,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,0.3642
9,low_confidence,EXP-14.1,Mantencion Caminos,COMPRAS,servicios,SERVICIOS,FLETE MAICILLO,GEO PARTNER SPA,0.5344
9,low_confidence,EXP-14.4,Mantencion Instalaciones,COMPRAS,mantencion extintor pqs,MANTENCION EXTINTOR PQS,,EXTINT0RES ALFA VALDIVIA SPA,0.6925
9,low_confidence,EXP-2.5,Otros Medicamentos,COMPRAS,nitrofix ntx n21 5 l,NITROFIX NTX N21% 5 L,,COAGRA S.A.,0.2726
9,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,k l copla 40 mm,K-L COPLA 40 MM,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.4462
9,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,vacas en control,VACAS EN CONTROL,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.3137
9,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,extintor certificado,EXTINTOR CERTIFICADO,"EXTINTOR NUEVO PQS DE 4 KG AL 75% - D,S 44 cotización n°36346",COMERCIAL V&P LIMITADA,0.1436
8,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe terminal he 32mm x 1p compresion,HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,DORIS IVONNE CASTILLO KANTER,0.1689
8,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe terminal hi compresion 32mm x 1,HDPE-TERMINAL HI COMPRESION 32MM X 1-@,HDPE-TERMINAL HI COMPRESION 32MM X 1-@,DORIS IVONNE CASTILLO KANTER,0.1449
8,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,niple he he 3 4,-NIPLE HE-HE 3 4 -@,-NIPLE HE-HE 3 4 -@,DORIS IVONNE CASTILLO KANTER,0.2584
8,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,union hdpe 32mm,UNION HDPE 32MM,,COMERCIAL CLIMENT SPA,0.283
8,low_confidence,EXP-10.3,Detergentes e higenizantes,COMPRAS,tri pfan 200 lts,TRI-PFAN 200 LTS,,GEA Farm Technologies Osorno Ltda.,0.3492
8,low_confidence,EXP-12.2,Analisis Animales,COMPRAS,agua pabco 1,AGUA PABCO 1,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.6166
8,low_confidence,EXP-13.3,Mantencion Vehiculos,COMPRAS,g93,G93,G93,DISTRIBUIDORA COMERCIAL P Y G LIMITADA,0.2595
8,low_confidence,EXP-15.4,Arriendo Maquinaria y Vehiculos,COMPRAS,arriendo maquinaria,ARRIENDO MAQUINARIA,EXCAVADORA,GEO PARTNER SPA,0.4304
8,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,servicio emergencia cal,SERVICIO EMERGENCIA CAL,,GEA Farm Technologies Osorno Ltda.,0.4369
8,weak_class,EXP-4.3,Bolos Heno,COMPRAS,disco de corte hemic 115x1x22 23mm,DISCO DE CORTE HEMIC 115x1x22 23mm -@,DISCO DE CORTE HEMIC 115x1x22 23mm -@,DORIS IVONNE CASTILLO KANTER,0.3034
7,client_examples_conflict_with_glove_taxonomy,EXP-16.1,Ropa y Herramientas de Trabajo,COMPRAS,guante ordena nitrilo soflo bio largo talla l caja 100u,Guante Ordeña Nitrilo Soflo Bio Largo Talla L (Caja 100u),,SOCIEDAD COMERCIAL SOFLO SPA,0.5519
7,generic_item_name_requires_review,EXP-14.4,Mantencion Instalaciones,COMPRAS,mano de obra,MANO DE OBRA,MEJORAMIENTO HABITACIONAL,ALEJANDRO RICARDO CARRASCO AGUILAR,0.6412
7,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe tee compresion 32mm,HDPE-TEE COMPRESION 32MM -@,HDPE-TEE COMPRESION 32MM -@,DORIS IVONNE CASTILLO KANTER,0.1599
7,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,paratuberculosis elisa suero,PARATUBERCULOSIS ELISA SUERO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.1061
7,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,effect 60 lts,EFFECT 60 LTS.,,GEA Farm Technologies Osorno Ltda.,0.3812
7,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,filtro leche 75 mm 800 se 200 un,FILTRO LECHE 75 MM * 800 SE - 200 UN,,GEA Farm Technologies Osorno Ltda.,0.546
7,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,hora tecnica cal,HORA TECNICA CAL,,GEA Farm Technologies Osorno Ltda.,0.4993
7,low_confidence,EXP-11.3,Petroleo,COMPRAS,diesel b,DIESEL B,,ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L.,0.7461
7,low_confidence,EXP-13.2,Mantencion Motos,COMPRAS,limpieza de foso,Limpieza de foso,,DERIVA SPA,0.4856
7,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,gall gretel,GALL GRETEL,UN 0003,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.208
7,low_confidence,EXP-4.2,Bolos Silo,COMPRAS,confeccion de bolos,Confección de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,0.5019
7,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,piola perlon retirador negra mt,PIOLA PERLON RETIRADOR (NEGRA)/ MT,,GEA Farm Technologies Osorno Ltda.,0.4827
7,weak_class,EXP-5.3,Concentrado Otros Animales,COMPRAS,clavo de 3 kg,CLAVO DE 3 KG -@,CLAVO DE 3 KG -@,DORIS IVONNE CASTILLO KANTER,0.2409
6,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,larga distancia internacional,Larga Distancia Internacional,,Entel PCS Telecomunicaciones S.A.,0.7154
6,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,brocha condecora 4 cerda gris m madera,BROCHA CONDECORA 4 CERDA GRIS M MADERA -@,BROCHA CONDECORA 4 CERDA GRIS M MADERA -@,DORIS IVONNE CASTILLO KANTER,0.2327
6,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,clarificador piscina 1lt quimica universal,CLARIFICADOR PISCINA 1LT QUIMICA UNIVERSAL -@,CLARIFICADOR PISCINA 1LT QUIMICA UNIVERSAL -@,DORIS IVONNE CASTILLO KANTER,0.1909
6,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,heliflex liviana c anillo 3 75mm,"HELIFLEX LIVIANA C/ANILLO 3"" (75MM)",,COMERCIAL CLIMENT SPA,0.3084
6,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,niple he he 1,-NIPLE HE-HE 1 -@,-NIPLE HE-HE 1 -@,DORIS IVONNE CASTILLO KANTER,0.2999
6,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,emergencia equipos de refrigeracion,EMERGENCIA EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,0.2391
6,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,intereses exentos,Intereses Exentos,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.",0.7183
6,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,servicio emergencia jm,SERVICIO EMERGENCIA JM,,GEA Farm Technologies Osorno Ltda.,0.4304
6,low_confidence,EXP-12.2,Analisis Animales,COMPRAS,servicio prestado por el servicio agricola y ganadero,Servicio prestado por el Servicio Agricola y Ganadero.,,SERVICIO AGRICOLA Y GANADERO,0.1677
6,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,blm,Blm,Blm,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,0.1429
6,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,cinta teflon genebre 50 mts x 19 mm,CINTA TEFLON GENEBRE 50 MTS X 19 MM -@,CINTA TEFLON GENEBRE 50 MTS X 19 MM -@,DORIS IVONNE CASTILLO KANTER,0.2488
6,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,hdpe terminal he 25mmx3 4 compresion,HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,DORIS IVONNE CASTILLO KANTER,0.1382
6,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,uht entera 200,UHT ENTERA 200,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.313
6,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,servicios programa cambio,Servicios programa cambio,de hábitos mes de mayo 2025,HÁBITOS Y SISTEMAS SPA,0.3196
6,weak_class,EXP-15.1,Servicios Agronomicos,COMPRAS,000370017,000370017,REGULACION Y LIMPIEZA DE FRENOS C.O.: 910,CRUZ Y CIA. LTDA,0.5051
5,generic_item_name_requires_review,EXP-9.2,Otros Gastos Riego,COMPRAS,servicio,servicio,mantencion de riego irripod mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,0.8524
5,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,tvzc tornillo volcanita zinc 1 5 8 cj 100un,TVZC TORNILLO VOLCANITA ZINC 1 5 8 CJ 100UN -@,TVZC TORNILLO VOLCANITA ZINC 1 5 8 CJ 100UN -@,DORIS IVONNE CASTILLO KANTER,0.288
5,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,tvzc tornillo volcanita zinc 2 1 2 cj 100un,TVZC TORNILLO VOLCANITA ZINC 2 1 2 CJ 100UN -@,TVZC TORNILLO VOLCANITA ZINC 2 1 2 CJ 100UN -@,DORIS IVONNE CASTILLO KANTER,0.2687
5,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,tvzc tornillo volcanita zinc 2 cj 100un,TVZC TORNILLO VOLCANITA ZINC 2 CJ 100UN -@,TVZC TORNILLO VOLCANITA ZINC 2 CJ 100UN -@,DORIS IVONNE CASTILLO KANTER,0.196
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,cialde exquisit gr 7 150,CIALDE EXQUISIt GR 7 *150,,IMPORTADORA SOMAGEL SPA,0.3428
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,cloro piscina liquido bidon 5 lts quimica universal,CLORO PISCINA LIQUIDO BIDON 5 LTS QUIMICA UNIVERSAL -@,CLORO PISCINA LIQUIDO BIDON 5 LTS QUIMICA UNIVERSAL -@,DORIS IVONNE CASTILLO KANTER,0.199
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe copla compresion 50mm,HDPE-COPLA COMPRESION 50MM -@,HDPE-COPLA COMPRESION 50MM -@,DORIS IVONNE CASTILLO KANTER,0.1619
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,mano de obra servicio tecnico giltrap,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,0.2893
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,par alcayata plana 8p gris mutel,PAR ALCAYATA PLANA 8P GRIS MUTEL -@,PAR ALCAYATA PLANA 8P GRIS MUTEL -@,DORIS IVONNE CASTILLO KANTER,0.3257
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,t1 tuerca hilo corriente 1 2,T1 TUERCA HILO-CORRIENTE 1 2 -@,T1 TUERCA HILO-CORRIENTE 1 2 -@,DORIS IVONNE CASTILLO KANTER,0.1267
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,t1 tuerca hilo corriente 3 8,T1 TUERCA HILO-CORRIENTE 3 8 -@,T1 TUERCA HILO-CORRIENTE 3 8 -@,DORIS IVONNE CASTILLO KANTER,0.1329
5,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,valvula compacta hi 3 4 60893,VALVULA COMPACTA HI 3/4 60893 -@,VALVULA COMPACTA HI 3/4 60893 -@,DORIS IVONNE CASTILLO KANTER,0.3732
5,low_confidence,EXP-10.3,Detergentes e higenizantes,COMPRAS,espuma clorada 2 0 20 kg,ESPUMA CLORADA 2.0 20 KG.,,QUIMILAB HT S.A.,0.4864
5,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,union hdpe 32 x 1hi,UNION HDPE 32 X 1HI,,COMERCIAL CLIMENT SPA,0.1647
5,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,bushing reduccion he hi 1 x 3 4,-BUSHING REDUCCION HE-HI 1 X 3 4 -@,-BUSHING REDUCCION HE-HI 1 X 3 4 -@,DORIS IVONNE CASTILLO KANTER,0.1458
5,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,manga palpacion roja soflo vpro,Manga Palpación Roja Soflo VPRO,,SOCIEDAD COMERCIAL SOFLO SPA,0.3047
5,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,roundup controlmax 15 kg by,ROUNDUP CONTROLMAX (15 KG) BY,,MARTINEZ Y VALDIVIESO S.A,0.2392
5,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,tordon maiten,TORDON-MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,0.5493
5,low_confidence,EXP-8.1,Pradera Perenne,COMPRAS,semilla ballica colun 4x5 x 25 kg,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.4909
5,low_confidence,EXP-8.1,Pradera Perenne,COMPRAS,semilla ballica tama cte des x 25 kg,SEMILLA BALLICA TAMA CTE DES X 25 KG,SEMILLA BALLICA TAMA CTE DES,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.5261
5,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,perfil hepatico bovino,PERFIL HEPATICO BOVINO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.2683
5,weak_class,EXP-10.2,Diping,COMPRAS,cow guard barrera 210kg,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO YUTRECO,BIOGENESIS ANIMAL HEALTH SPA,0.8766
5,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,vaso metatron cpl,VASO METATRON CPL,,GEA Farm Technologies Osorno Ltda.,0.4727
5,weak_class,EXP-4.3,Bolos Heno,COMPRAS,clavo de techo x bolsa,CLAVO DE TECHO X BOLSA -@,CLAVO DE TECHO X BOLSA -@,DORIS IVONNE CASTILLO KANTER,0.3635
5,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,kg soldadura 6011 1 8 indura,KG SOLDADURA 6011 1 8 INDURA -@,KG SOLDADURA 6011 1 8 INDURA -@,DORIS IVONNE CASTILLO KANTER,0.1818
5,weak_class,EXP-5.1,Concentrado Vacas,COMPRAS,pallet de madera 1 00 x 1 20 4 entradas,"PALLET DE MADERA 1,00 X 1,20; 4 ENTRADAS",,AGROCOMERCIAL IANSA S.A.,0.4213
5,weak_class,EXP-6.4,Guano,COMPRAS,aplicacion kg guano tebbe,APLICACION KG GUANO TEBBE,APLICACION KG GUANO TEBBE,Servicios Bergström Limitada,0.7861
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,abrazadera c perno t 510 62 67,ABRAZADERA C/PERNO T-510 (62-67),,COMERCIAL CLIMENT SPA,0.3751
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,alguicida bidon 5lts,ALGUICIDA BIDON 5LTS -@,ALGUICIDA BIDON 5LTS -@,DORIS IVONNE CASTILLO KANTER,0.3337
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,brocha hela 1 2 x4 c gris mango madera,BROCHA HELA 1 2 X4 C GRIS MANGO MADERA -@,BROCHA HELA 1 2 X4 C GRIS MANGO MADERA -@,DORIS IVONNE CASTILLO KANTER,0.1502
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,caffe en grano exquisit kg 1,CAFFE EN GRANO EXQUISIT KG. 1,,IMPORTADORA SOMAGEL SPA,0.1791
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,carros de purin,CARROS DE PURIN,,GONBAR SPA,0.6253
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,elevador acople rapido 3 4,"ELEVADOR ACOPLE RAPIDO 3/4""",,COMERCIAL CLIMENT SPA,0.3121
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,fu codo 20mm ppr,FU-CODO 20MM PPR -@,FU-CODO 20MM PPR -@,DORIS IVONNE CASTILLO KANTER,0.1437
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,habitaciones 1,Habitaciones ( 1),,TALBOT HOTELS S A,0.7468
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe copla compresion 25mm,HDPE-COPLA COMPRESION 25MM -@,HDPE-COPLA COMPRESION 25MM -@,DORIS IVONNE CASTILLO KANTER,0.1245
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe terminal he 63 x 2,HDPE-TERMINAL HE 63 X 2 -@,HDPE-TERMINAL HE 63 X 2 -@,DORIS IVONNE CASTILLO KANTER,0.1856
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,hdpe terminal hi compresion 25mm x 3 4,HDPE-TERMINAL HI COMPRESION 25MM X 3/4 -@,HDPE-TERMINAL HI COMPRESION 25MM X 3/4 -@,DORIS IVONNE CASTILLO KANTER,0.1522
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,mano de obra servicio tecnico gallagher,MANO DE OBRA SERVICIO TECNICO GALLAGHER,MANO DE OBRA SERVICIO TECNICO GALLAGHER,GALLAGHER CHILE SPA,0.3484
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,n codo sanitario gris 40mm,Ñ-CODO SANITARIO GRIS 40MM -@,Ñ-CODO SANITARIO GRIS 40MM -@,DORIS IVONNE CASTILLO KANTER,0.3581
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,pasta soldar 100 gr,PASTA SOLDAR 100 GR -@,PASTA SOLDAR 100 GR -@,DORIS IVONNE CASTILLO KANTER,0.1269
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,tee hdpe 32mm,TEE HDPE 32MM,,COMERCIAL CLIMENT SPA,0.345
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,teflon maestro 3 4,"TEFLON MAESTRO 3/4""",,COMERCIAL CLIMENT SPA,0.3611
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,union hdpe 50mm,UNION HDPE 50MM.,,COMERCIAL CLIMENT SPA,0.2803
4,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,adh ceram muro flexible 15kgt,ADH CERAM MURO FLEXIBLE 15KGT,,SODIMAC S.A.,0.471
4,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,separador oficio 6 divis color torre,SEPARADOR OFICIO 6 DIVIS COLOR TORRE,,PROVEEDORES INTEGRALES DEL SUR S.A.,0.3898
4,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,set 3 trapero doble c o 50x45,SET 3 TRAPERO DOBLE C/O 50X45,,SODIMAC S.A.,0.4839
