rows,reason,prediction,prediction_name,direction,normalized_item,example_item,example_description,example_provider,mean_top1
9,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,otros cobros y descuentos,OTROS COBROS Y DESCUENTOS,,Empresa Nacional de Telecomunicaciones S.A.,0.193
9,low_confidence,ADM-1.4,Movilizacion,COMPRAS,comision de uso mensual nro documento 474150001425,COMISION DE USO MENSUAL (Nro. Documento: 474150001425),,BANCO BICE,0.2872
9,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,extintor certificado,EXTINTOR CERTIFICADO,"EXTINTOR NUEVO PQS DE 4 KG AL 75% - D,S 44 cotización n°36346",COMERCIAL V&P LIMITADA,0.1627
9,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,hora tecnica fa,HORA TECNICA FA,,GEA Farm Technologies Osorno Ltda.,0.6321
9,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,hora tecnica jm,HORA TECNICA JM,,GEA Farm Technologies Osorno Ltda.,0.7126
9,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,piola perlon retirador negra mt,PIOLA PERLON RETIRADOR (NEGRA)/ MT,,GEA Farm Technologies Osorno Ltda.,0.6927
9,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,servicio emergencia lh,SERVICIO EMERGENCIA LH,,GEA Farm Technologies Osorno Ltda.,0.5779
9,low_confidence,EXP-13.1,Mantencion Maquinaria,COMPRAS,mantencion extintor pqs,MANTENCION EXTINTOR PQS,,EXTINT0RES ALFA VALDIVIA SPA,0.3008
9,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,hdpe copla compresion 32mm,HDPE-COPLA COMPRESION 32MM -@,HDPE-COPLA COMPRESION 32MM -@,DORIS IVONNE CASTILLO KANTER,0.2414
9,low_confidence,EXP-15.5,Servicios Agricolas,COMPRAS,intereses por mora,INTERESES_POR_MORA,,SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,0.2826
9,low_confidence,EXP-15.5,Servicios Agricolas,COMPRAS,servicio de purines,servicio de purines,,SILVOAGROPECUARIO YERKO VERA CAMPOS EMPRESA INDIVIDUAL DE RESPONSABILI,0.4213
9,low_confidence,EXP-16.2,Otros Gastos Campo,COMPRAS,nitrogeno liquido,Nitrogeno liquido,,ABS CHILE LIMITADA,0.1441
9,low_confidence,EXP-2.5,Otros Medicamentos,COMPRAS,nitrofix ntx n21 5 l,NITROFIX NTX N21% 5 L,,COAGRA S.A.,0.2572
9,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,cuota control lechero oficial,CUOTA CONTROL LECHERO OFICIAL,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.1254
9,unfamiliar_for_predicted_class,ADM-1.4,Movilizacion,COMPRAS,vuelo tasas y o impuestos,Vuelo Tasas y/o impuestos,Vuelo Tasas y/o impuestos,LATAM AIRLINES GROUP SA,0.8215
9,weak_class,EXP-2.1,Terapias Secado,COMPRAS,vacas en control,VACAS EN CONTROL,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.1515
8,generic_item_name_requires_review,EXP-10.1,Mantencion Sala,COMPRAS,item,Item,FILTRO ACEITE MOTOR ** Oferta **,SALINAS Y FABRES S.A.,0.2906
8,liquidacion_dte43_requires_client_category,EXP-10.1,Mantencion Sala,COMPRAS,vaca engorda,VACA ENGORDA,YERZ-EXP-RYA-LOM,Tattersall Ganado S.A.,0.2268
8,low_confidence,EXP-13.1,Mantencion Maquinaria,COMPRAS,disco de corte hemic 115x1x22 23mm,DISCO DE CORTE HEMIC 115x1x22 23mm -@,DISCO DE CORTE HEMIC 115x1x22 23mm -@,DORIS IVONNE CASTILLO KANTER,0.3132
8,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,hdpe terminal he 32mm x 1p compresion,HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,HDPE-TERMINAL HE 32MM X 1P COMPRESION -@,DORIS IVONNE CASTILLO KANTER,0.2954
8,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,hdpe terminal hi compresion 32mm x 1,HDPE-TERMINAL HI COMPRESION 32MM X 1-@,HDPE-TERMINAL HI COMPRESION 32MM X 1-@,DORIS IVONNE CASTILLO KANTER,0.2699
8,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,union hdpe 32mm,UNION HDPE 32MM,,COMERCIAL CLIMENT SPA,0.6712
8,low_confidence,EXP-4.2,Bolos Silo,COMPRAS,confeccion de bolos,Confección de bolos,,HECTOR ADRIAN VALENZUELA PAREDES,0.6836
8,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,niple he he 3 4,-NIPLE HE-HE 3 4 -@,-NIPLE HE-HE 3 4 -@,DORIS IVONNE CASTILLO KANTER,0.2408
8,weak_class,EXP-6.3,Cal,COMPRAS,servicio emergencia cal,SERVICIO EMERGENCIA CAL,,GEA Farm Technologies Osorno Ltda.,0.3565
7,client_examples_conflict_with_glove_taxonomy,EXP-16.1,Ropa y Herramientas de Trabajo,COMPRAS,guante ordena nitrilo soflo bio largo talla l caja 100u,Guante Ordeña Nitrilo Soflo Bio Largo Talla L (Caja 100u),,SOCIEDAD COMERCIAL SOFLO SPA,0.6798
7,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,gall gretel,GALL GRETEL,UN 0003,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.3959
7,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,hdpe tee compresion 32mm,HDPE-TEE COMPRESION 32MM -@,HDPE-TEE COMPRESION 32MM -@,DORIS IVONNE CASTILLO KANTER,0.1914
7,low_confidence,EXP-10.3,Detergentes e higenizantes,COMPRAS,effect 60 lts,EFFECT 60 LTS.,,GEA Farm Technologies Osorno Ltda.,0.6451
7,low_confidence,EXP-14.1,Mantencion Caminos,COMPRAS,peaje autopista vespucio norte,Peaje Autopista Vespucio Norte,,Sociedad Concesionaria Vespucio Norte Express S.A.,0.2086
7,low_confidence,EXP-15.4,Arriendo Maquinaria y Vehiculos,COMPRAS,arriendo televia,Arriendo Televía,,Sociedad Concesionaria Vespucio Norte Express S.A.,0.6013
7,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,clavo de 3 kg,CLAVO DE 3 KG -@,CLAVO DE 3 KG -@,DORIS IVONNE CASTILLO KANTER,0.2129
7,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,hora tecnica cal,HORA TECNICA CAL,,GEA Farm Technologies Osorno Ltda.,0.4211
7,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,limpieza de foso,Limpieza de foso,,DERIVA SPA,0.2772
6,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,servicios programa cambio,Servicios programa cambio,de hábitos mes de mayo 2025,HÁBITOS Y SISTEMAS SPA,0.3406
6,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,cinta teflon genebre 50 mts x 19 mm,CINTA TEFLON GENEBRE 50 MTS X 19 MM -@,CINTA TEFLON GENEBRE 50 MTS X 19 MM -@,DORIS IVONNE CASTILLO KANTER,0.2364
6,low_confidence,ADM-1.7,Otros Gastos Administracion,COMPRAS,intereses exentos,Intereses Exentos,,"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.",0.7261
6,low_confidence,ADM-2.1,Seguros Vehiculos,COMPRAS,000370017,000370017,REGULACION Y LIMPIEZA DE FRENOS C.O.: 910,CRUZ Y CIA. LTDA,0.3968
6,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,emergencia equipos de refrigeracion,EMERGENCIA EQUIPOS DE REFRIGERACION,,SOCIEDAD COMERCIAL SERLAC CHILE S.A.,0.5732
6,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,vaso metatron cpl,VASO METATRON CPL,,GEA Farm Technologies Osorno Ltda.,0.5509
6,low_confidence,EXP-13.1,Mantencion Maquinaria,COMPRAS,brocha condecora 4 cerda gris m madera,BROCHA CONDECORA 4 CERDA GRIS M MADERA -@,BROCHA CONDECORA 4 CERDA GRIS M MADERA -@,DORIS IVONNE CASTILLO KANTER,0.3227
6,low_confidence,EXP-14.2,Mantencion Cercos,COMPRAS,heliflex liviana c anillo 3 75mm,"HELIFLEX LIVIANA C/ANILLO 3"" (75MM)",,COMERCIAL CLIMENT SPA,0.2698
6,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,hdpe terminal he 25mmx3 4 compresion,HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,HDPE-TERMINAL HE 25MMX3 4 COMPRESION -@,DORIS IVONNE CASTILLO KANTER,0.2772
6,low_confidence,EXP-15.5,Servicios Agricolas,COMPRAS,servicio prestado por el servicio agricola y ganadero,Servicio prestado por el Servicio Agricola y Ganadero.,,SERVICIO AGRICOLA Y GANADERO,0.1727
6,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,uht entera 200,UHT ENTERA 200,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.2631
6,unfamiliar_for_predicted_class,EXP-6.2,Nitrogeno,COMPRAS,smart blue bramadero,SMART BLUE - BRAMADERO,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,0.7748
6,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,blm,Blm,Blm,SOC DE TRANSPORTES STEUER HOLMGREN Y COM,0.2187
6,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,clarificador piscina 1lt quimica universal,CLARIFICADOR PISCINA 1LT QUIMICA UNIVERSAL -@,CLARIFICADOR PISCINA 1LT QUIMICA UNIVERSAL -@,DORIS IVONNE CASTILLO KANTER,0.6875
6,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,niple he he 1,-NIPLE HE-HE 1 -@,-NIPLE HE-HE 1 -@,DORIS IVONNE CASTILLO KANTER,0.2858
6,weak_class,EXP-10.4,Otros Gastos Lecheria,COMPRAS,servicio emergencia fa,SERVICIO EMERGENCIA FA,,GEA Farm Technologies Osorno Ltda.,0.3411
5,generic_item_name_requires_review,EXP-9.2,Otros Gastos Riego,COMPRAS,servicio,servicio,mantencion de riego irripod mas materiales,HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,0.8032
5,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,asesorias informaticas,Asesorías Informáticas,"Servicio de Asesorías Informáticas - Abril 2025 Total HH: 50 Valor HH: $1,1 UF Monto a Facturar: $55 UF + IVA Tipo de Cambio UF $38.899,12 del día 01-04-2025",SERVICIOS Y SOLUCIONES LINKEDTIC SPA,0.2037
5,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,tvzc tornillo volcanita zinc 1 5 8 cj 100un,TVZC TORNILLO VOLCANITA ZINC 1 5 8 CJ 100UN -@,TVZC TORNILLO VOLCANITA ZINC 1 5 8 CJ 100UN -@,DORIS IVONNE CASTILLO KANTER,0.5818
5,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,tvzc tornillo volcanita zinc 2 1 2 cj 100un,TVZC TORNILLO VOLCANITA ZINC 2 1 2 CJ 100UN -@,TVZC TORNILLO VOLCANITA ZINC 2 1 2 CJ 100UN -@,DORIS IVONNE CASTILLO KANTER,0.5942
5,low_confidence,ADM-1.2,Comunicaciones e Internet,COMPRAS,tvzc tornillo volcanita zinc 2 cj 100un,TVZC TORNILLO VOLCANITA ZINC 2 CJ 100UN -@,TVZC TORNILLO VOLCANITA ZINC 2 CJ 100UN -@,DORIS IVONNE CASTILLO KANTER,0.6137
5,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,valvula compacta hi 3 4 60893,VALVULA COMPACTA HI 3/4 60893 -@,VALVULA COMPACTA HI 3/4 60893 -@,DORIS IVONNE CASTILLO KANTER,0.3188
5,low_confidence,EXP-10.1,Mantencion Sala,COMPRAS,servicio emergencia jm,SERVICIO EMERGENCIA JM,,GEA Farm Technologies Osorno Ltda.,0.6464
5,low_confidence,EXP-10.3,Detergentes e higenizantes,COMPRAS,espuma clorada 2 0 20 kg,ESPUMA CLORADA 2.0 20 KG.,,QUIMILAB HT S.A.,0.6502
5,low_confidence,EXP-10.3,Detergentes e higenizantes,COMPRAS,tri pfan 60 lts,TRI-PFAN 60 LTS.,,GEA Farm Technologies Osorno Ltda.,0.5189
5,low_confidence,EXP-13.1,Mantencion Maquinaria,COMPRAS,cialde exquisit gr 7 150,CIALDE EXQUISIt GR 7 *150,,IMPORTADORA SOMAGEL SPA,0.2901
5,low_confidence,EXP-13.1,Mantencion Maquinaria,COMPRAS,mano de obra servicio tecnico giltrap,MANO DE OBRA SERVICIO TECNICO GILTRAP,MANO DE OBRA SERVICIO TECNICO GILTRAP,GALLAGHER CHILE SPA,0.298
5,low_confidence,EXP-14.1,Mantencion Caminos,COMPRAS,traslado terneras,TRASLADO TERNERAS,DESDE MAITEN A BRAMADERO,LUIS ANTONIO TORRES JARAMILLO,0.2066
5,low_confidence,EXP-14.2,Mantencion Cercos,COMPRAS,pallet de madera 1 00 x 1 20 4 entradas,"PALLET DE MADERA 1,00 X 1,20; 4 ENTRADAS",,AGROCOMERCIAL IANSA S.A.,0.2761
5,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,hdpe copla compresion 50mm,HDPE-COPLA COMPRESION 50MM -@,HDPE-COPLA COMPRESION 50MM -@,DORIS IVONNE CASTILLO KANTER,0.1794
5,low_confidence,EXP-14.3,Mantencion Agua y Purines,COMPRAS,union hdpe 32 x 1hi,UNION HDPE 32 X 1HI,,COMERCIAL CLIMENT SPA,0.6137
5,low_confidence,EXP-3.1,Inseminacion Artificial,COMPRAS,perfil hepatico bovino,PERFIL HEPATICO BOVINO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.2698
5,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,roundup controlmax 15 kg by,ROUNDUP CONTROLMAX (15 KG) BY,,MARTINEZ Y VALDIVIESO S.A,0.5837
5,low_confidence,EXP-7.0,AGROQUIMICOS,COMPRAS,servicio emergencia fa,SERVICIO EMERGENCIA FA,,HGS DAIRY SOLUTIONS SPA,0.2649
5,low_confidence,EXP-8.1,Pradera Perenne,COMPRAS,semilla ballica colun 4x5 x 25 kg,SEMILLA BALLICA COLUN 4X5 X 25 KG,SEMILLA BALLICA COLUN 4X5 AGRICOTE,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.6037
5,low_confidence,EXP-8.1,Pradera Perenne,COMPRAS,semilla ballica tama cte des x 25 kg,SEMILLA BALLICA TAMA CTE DES X 25 KG,SEMILLA BALLICA TAMA CTE DES,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,0.6578
5,low_confidence,EXP-9.2,Otros Gastos Riego,COMPRAS,tordon maiten,TORDON-MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,0.1721
5,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,bushing reduccion he hi 1 x 3 4,-BUSHING REDUCCION HE-HI 1 X 3 4 -@,-BUSHING REDUCCION HE-HI 1 X 3 4 -@,DORIS IVONNE CASTILLO KANTER,0.1687
5,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,clavo de techo x bolsa,CLAVO DE TECHO X BOLSA -@,CLAVO DE TECHO X BOLSA -@,DORIS IVONNE CASTILLO KANTER,0.6432
5,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,cloro piscina liquido bidon 5 lts quimica universal,CLORO PISCINA LIQUIDO BIDON 5 LTS QUIMICA UNIVERSAL -@,CLORO PISCINA LIQUIDO BIDON 5 LTS QUIMICA UNIVERSAL -@,DORIS IVONNE CASTILLO KANTER,0.2127
5,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,kg soldadura 6011 1 8 indura,KG SOLDADURA 6011 1 8 INDURA -@,KG SOLDADURA 6011 1 8 INDURA -@,DORIS IVONNE CASTILLO KANTER,0.1162
5,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,manga palpacion roja soflo vpro,Manga Palpación Roja Soflo VPRO,,SOCIEDAD COMERCIAL SOFLO SPA,0.4359
5,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,par alcayata plana 8p gris mutel,PAR ALCAYATA PLANA 8P GRIS MUTEL -@,PAR ALCAYATA PLANA 8P GRIS MUTEL -@,DORIS IVONNE CASTILLO KANTER,0.3868
5,weak_class,EXP-1.1,Otros Gastos RRHH,COMPRAS,t1 tuerca hilo corriente 1 2,T1 TUERCA HILO-CORRIENTE 1 2 -@,T1 TUERCA HILO-CORRIENTE 1 2 -@,DORIS IVONNE CASTILLO KANTER,0.2498
5,weak_class,EXP-10.2,Diping,COMPRAS,cow guard barrera 210kg,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO YUTRECO,BIOGENESIS ANIMAL HEALTH SPA,0.9283
5,weak_class,EXP-5.2,Concentrado Crianza,COMPRAS,t1 tuerca hilo corriente 3 8,T1 TUERCA HILO-CORRIENTE 3 8 -@,T1 TUERCA HILO-CORRIENTE 3 8 -@,DORIS IVONNE CASTILLO KANTER,0.246
5,weak_class,EXP-6.4,Guano,COMPRAS,aplicacion kg guano tebbe,APLICACION KG GUANO TEBBE,APLICACION KG GUANO TEBBE,Servicios Bergström Limitada,0.9374
4,generic_item_name_requires_review,EXP-14.1,Mantencion Caminos,COMPRAS,traslado,TRASLADO,,TRANSPORTES OJEDA SPA,0.5517
4,item_name_carries_no_classifiable_text,EXP-13.1,Mantencion Maquinaria,COMPRAS,61849994,61849994,43820,HDI SEGUROS S.A.,0.491
4,liquidacion_dte43_requires_client_category,ADM-1.4,Movilizacion,COMPRAS,vaca carnaza,VACA CARNAZA,CAB YER EXPO 8*,Tattersall Ganado S.A.,0.133
4,liquidacion_dte43_requires_client_category,EXP-1.1,Otros Gastos RRHH,COMPRAS,vaca engorda,VACA ENGORDA,NE/JER/6D/EXP,Tattersall Ganado S.A.,0.1853
4,liquidacion_dte43_requires_client_category,EXP-14.1,Mantencion Caminos,COMPRAS,vaca gorda,VACA GORDA,YERS/CABR/8 EXPO,Tattersall Ganado S.A.,0.171
4,low_confidence,ADM-1.4,Movilizacion,COMPRAS,servicios externos computacionales,SERVICIOS EXTERNOS COMPUTACIONALES,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,0.1411
4,low_confidence,ADM-1.4,Movilizacion,COMPRAS,venta de asiento,Venta de asiento,Venta de asiento,LATAM AIRLINES GROUP SA,0.6815
4,low_confidence,ADM-1.5,Colacion y Alojamiento,COMPRAS,habitaciones 1,Habitaciones ( 1),,TALBOT HOTELS S A,0.4211
4,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,galleta costa fiesta chocochips 125 g,GALLETA COSTA FIESTA CHOCOCHIPS 125 G,,CENCOSUD RETAIL S.A.,0.6999
4,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,galleta costa limon 140 grs,GALLETA COSTA LIMON 140 GRS,,COMERCIAL AMAR HNOS. Y CIA. LTDA,0.638
4,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,galleta costa tuareg coco 120 grs,GALLETA COSTA TUAREG COCO 120 GRS,,COMERCIAL AMAR HNOS. Y CIA. LTDA,0.5359
4,low_confidence,ADM-1.6,Utiles y gastos de oficina.,COMPRAS,galletas don,GALLETAS DON,UN 0003,ADMIN. DE SUPERMERCADOS HIPER LIMITADA,0.2959
