supplier,folio,item,amount,decision,source,top1_score,predicted,top3,accountant_categories,top1_matches_ledger,doc_has_single_account
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30444573,GASOLINA 93,17909,review_required,model,0.6979,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30307448,PETROLEO DIESEL ULTRA,52849,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
DORIS IVONNE CASTILLO KANTER,262291,PLANCHA DIAMANTADA 2 5MM X 1000 X 3000 MM -@,70527,review_required,model,0.7148,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262291,TIRA PERFIL CUADRADO 30 X 30 X 2 -@,60768,review_required,model,0.6728,EXP-14.3,EXP-14.3|EXP-14.4|EXP-10.4,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262291,TIRA CANAL 250X50X4MM -@,144920,review_required,model,0.6706,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262291,TIRA CAÑERIA ISO NEGRA 1 1 4 -@,58563,review_required,model,0.674,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
DORIS IVONNE CASTILLO KANTER,262291,TIRA PERFIL CUADRADO 50 X 50 X 2 -@,37108,review_required,model,0.6336,EXP-14.3,EXP-14.3|EXP-14.4|EXP-14.2,EXP-14.4,False,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,DESARMADO Y ARMADO SILO,240000,review_required,model,0.4466,EXP-14.4,EXP-14.4|EXP-10.4|EXP-14.1,EXP-14.4,True,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,GENERADOR,48000,review_required,model,0.6473,EXP-14.4,EXP-14.4|EXP-10.4|EXP-10.1,EXP-14.4,True,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,ROSCO,280000,auto_accept,model,0.7892,EXP-14.4,EXP-14.4|EXP-14.1|EXP-10.1,EXP-14.4,True,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,CAMION GRANEL,480000,review_required,model,0.2501,EXP-14.4,EXP-14.4|EXP-14.1|EXP-13.3,EXP-14.4,True,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,TRASLADO EQUIPO,264000,review_required,model,0.4627,EXP-14.1,EXP-14.1|EXP-10.1|EXP-10.4,EXP-14.4,False,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,LAVADO SILO YUTRECO 33,380000,review_required,model,0.4437,EXP-14.4,EXP-14.4|EXP-10.4|EXP-14.1,EXP-14.4,True,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,PERNO CON SELLO,55800,review_required,model,0.3675,EXP-14.1,EXP-14.1|EXP-14.4|EXP-10.4,EXP-14.4,False,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,CAMBIO PERNO Y PINTURA,135000,review_required,model,0.666,EXP-14.4,EXP-14.4|EXP-13.1|EXP-10.1,EXP-14.4,True,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,TRASLADOS,202000,review_required,model,0.5289,EXP-14.1,EXP-14.1|ADM-1.7|EXP-10.1,EXP-14.4,False,True
MANTENCION INDUSTRIAL DEL SUR LIMITADA,303,LAVADO SILO MAITEN 45,620000,review_required,model,0.3372,EXP-14.4,EXP-14.4|EXP-4.1|EXP-10.4,EXP-14.4,True,True
SOC DE TRANSPORTES STEUER HOLMGREN Y COM,574784,Gasolina 93,55435,review_required,model,0.7593,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689610,BALANZA COLGANTE KAMER 212529 SHOOF,228690,review_required,model,0.4331,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1,True,True
MAXIMUS S Y S SPA,144,vidrio de 500 x 900 mm,37815,review_required,model,0.2701,EXP-9.2,EXP-9.2|EXP-10.4|EXP-14.4,EXP-14.4,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30614587,PETROLEO DIESEL ULTRA,31701,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
FERIA GANADEROS OSORNO S.A.,193427,007 VACA(S) EXPORT. PAR CLA SM PAR,5301000,review_required,model,0.9602,AF-1.1,AF-1.1|EXP-15.2|EXP-2.3,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193427,002 VAQ.(S) ENG. CAB A,1066500,review_required,model,0.9647,AF-1.1,AF-1.1|EXP-15.2|EXP-2.3,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193427,005 VACA(S) EXPORT. CAB . LOMO,3850500,review_required,model,0.9721,AF-1.1,AF-1.1|EXP-15.2|EXP-2.3,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193427,005 VACA(S) EXPORT. NEG CAB SM CAB,3585300,review_required,model,0.964,AF-1.1,AF-1.1|EXP-15.2|EXP-2.3,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193427,006 VACA(S) EXPORT. JER CLA - LOMO,3894400,review_required,model,0.9676,AF-1.1,AF-1.1|EXP-15.2|EXP-2.3,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193427,005 VACA(S) EXPORT. CAB /\ LOMO,3435300,review_required,model,0.9696,AF-1.1,AF-1.1|EXP-15.2|EXP-2.3,"|?Impuestos, comisiones, multas",False,True
FERIA GANADEROS OSORNO S.A.,193427,005 VAC(S) CARN. EXPORT. CAB + LOMO,2290200,review_required,model,0.9297,AF-1.1,AF-1.1|EXP-2.3|EXP-15.2,"|?Impuestos, comisiones, multas",False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,PINTURA CELO TELL TAIL AMARILLO 1 LT,79650,review_required,model,0.5968,EXP-2.6,EXP-2.6|EXP-13.1|EXP-2.2,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,CALFODEX 500 CC.,169848,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,MAGNEKAL X 100 CC.,70440,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,VIVEFORT 3 AMPOLLAS X 10 ML,91680,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,COFORTA 100 CC.,222900,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,TRIPLE VITAMINICO X 3 AMP X 5 ML,103500,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,INTRA REPIDERMA X 250 CC,10521,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,VIGANTOL ADE 100 CC.,195500,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,RIMADYL X 50 ML,88830,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,LIDOCALM X 50 ML,113500,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,OXITOCINA FCO. 100 CC RECALCINE,23252,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,DUPLALIM DESINF. X 5 LT.,106342,auto_accept,product_lookup,1,EXP-10.3,EXP-10.3,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,REHSAL - VET X 25 SOB,56300,auto_accept,product_lookup,1,EXP-2.4,EXP-2.4,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694901,BUZO GETPRO BLANCO LINE 1120 TALLA XL,10630,auto_accept,model,0.8386,EXP-16.1,EXP-16.1|EXP-2.6|EXP-13.1,EXP-10.3|EXP-16.1|EXP-2.4|EXP-2.5|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30614533,GASOLINA 93,26448,review_required,model,0.6368,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
DISTRIBUIDORA COMERCIAL P Y G LIMITADA,632562,Gasolina 93,57688,review_required,model,0.7703,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
GALLAGHER CHILE SPA,22015,ACEITE Y MATERIALES DE LIMPIEZA. PERNOS Y GOLILLAS,49218,review_required,model,0.5025,EXP-13.1,EXP-13.1|EXP-14.2|EXP-14.4,EXP-10.1,False,True
GALLAGHER CHILE SPA,22015,MASA DELANTERA ESTRIADA ARREADOR,70723,review_required,model,0.1105,EXP-16.2,EXP-16.2|EXP-14.4|EXP-8.3,EXP-10.1,False,True
GALLAGHER CHILE SPA,22015,OTROS INSUMOS. CONECCION EN MAESTRANZA DE EJE RUEDA Y ESPACIADORES TECHNYL.,124285,review_required,model,0.1594,EXP-14.2,EXP-14.2|ADM-1.6|ADM-1.10,EXP-10.1,False,True
GALLAGHER CHILE SPA,22015,MANO DE OBRA SERVICIO TECNICO GALLAGHER,147000,review_required,model,0.7337,EXP-1.1,EXP-1.1|EXP-6.4|ADM-1.6,EXP-10.1,False,True
ORLANDO RICARDO BERTIN MONSALVE,971,VIAJE DE 40 VAQUILLAS,300000,review_required,model,0.6609,AF-1.1,AF-1.1|EXP-15.3|EXP-15.2,EXP-15.3,False,True
ORLANDO RICARDO BERTIN MONSALVE,971,VIAJE 37 VAQUILLAS,300000,auto_accept,model,0.8017,AF-1.1,AF-1.1|EXP-15.2|EXP-15.3,EXP-15.3,False,True
ORLANDO RICARDO BERTIN MONSALVE,971,VIAJE 28 VACAS,160000,review_required,model,0.7118,AF-1.1,AF-1.1|EXP-15.2|EXP-15.3,EXP-15.3,False,True
Tattersall Ganado S.A.,2530204,FACTURA RECUPERACION DECOMISO - LIQUIDACION 760331,678137,review_required,model,0.5373,EXP-14.4,EXP-14.4|EXP-10.4|ADM-1.6,EXP-16.2,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30307331,PETROLEO DIESEL ULTRA,37087,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5320816,SAL MIN COOPRINSEM ANIONICA 25 kG,187680,review_required,model,0.31,EXP-2.4,EXP-2.4|EXP-8.4|EXP-5.5,EXP-2.4,True,True
INVERSIONES ENEX S.A.,6019923,Gasolina 93 octanos sin plomo,67221,review_required,model,0.5572,EXP-11.4,EXP-11.4|ADM-1.4|EXP-16.2,ADM-1.4,False,True
"IMPORTADORA, EXPORTADORA Y COMERCIALIZADORA PING XI XI SPA",915,Sticky mouse trap,20151,review_required,model,0.8624,EXP-13.1,EXP-13.1|EXP-13.3|EXP-10.4,EXP-16.2,False,True
JUAN ANGEL ANIBAL VERGARA OBANDO,121,Traslado de animales,50000,review_required,model,0.6378,EXP-15.3,EXP-15.3|EXP-14.1|EXP-15.5,EXP-15.3,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30731284,ESCOBILLA ESTANQUE 988.801-15 ALFA/LAVAL,42841,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30731284,SULFATO DE COBRE X 25 KL.,155625,auto_accept,product_lookup,1,EXP-16.2,EXP-16.2,EXP-16.1|EXP-2.6,False,False
COOPERATIVA AGRICOLA LECHERA STGO.,2634034,MISTRAL X 25 KILOS,2068800,auto_accept,product_lookup,1,EXP-10.3,EXP-10.3,EXP-10.3,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689638,CABESTRILLO CUNA 210065 SHOOF,58424,review_required,model,0.4604,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1,True,True
SOCIEDAD PRESTACIÓN DE SERVICIOS AGRÍCOLA MYO SPA,123,arrriendo excavadora,7000000,review_required,model,0.5418,EXP-15.4,EXP-15.4|EXP-14.1|EXP-14.4,EXP-15.4,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30307429,PETROLEO DIESEL ULTRA,37087,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
COVEPA SpA,5318934,LINTERNA ENERGIZER HARD-CASE 1000 LUM,55874,review_required,model,0.4632,EXP-2.4,EXP-2.4|EXP-10.1|EXP-14.4,EXP-14.2|EXP-16.1,False,False
COVEPA SpA,5318934,MANIJA AISLADA NARANJA G73730 X UN,17185,review_required,model,0.4693,EXP-14.2,EXP-14.2|EXP-13.1|AF-2.1,EXP-14.2|EXP-16.1,True,False
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30614701,ADBLUE GRANEL X L,11085,auto_accept,product_lookup,1,EXP-13.1,EXP-13.1,EXP-11.3,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30614506,PETROLEO DIESEL ULTRA,35232,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,BUZO VETERINARIO 1 PIEZA TALLA 52 (XXL),34500,review_required,model,0.7302,EXP-16.1,EXP-16.1|EXP-2.6|EXP-16.2,EXP-16.1|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,BALDE ALIMENTADOR PARA 10 TERNERO,169500,review_required,model,0.1062,EXP-16.2,EXP-16.2|EXP-2.2|EXP-2.6,EXP-16.1|EXP-2.6,False,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,CHUPETE TERNERO P/BALDE PEACH TEAT ROSAD,194550,review_required,model,0.249,EXP-16.1,EXP-16.1|EXP-16.2|EXP-2.6,EXP-16.1|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,LAZOS OBSTETRICOS,42000,auto_accept,product_lookup,1,EXP-2.6,EXP-2.6,EXP-16.1|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,BUZO PILOTO VARIOS COLORES TALLA XL,11638,auto_accept,product_lookup,1,EXP-16.1,EXP-16.1,EXP-16.1|EXP-2.6,True,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,TAPA ROSCA CHUPO ALIMENT PCAPS STALLION,16720,review_required,model,0.4473,EXP-5.1,EXP-5.1|EXP-16.2|EXP-8.1,EXP-16.1|EXP-2.6,False,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,BIBERON TERNERO (ENV. 2 LITROS),9383,review_required,model,0.2031,EXP-16.2,EXP-16.2|AF-2.1|EXP-5.1,EXP-16.1|EXP-2.6,False,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,JARRO GRADUADO 1 LITRO PJ100,5793,review_required,model,0.3043,EXP-2.2,EXP-2.2|EXP-2.6|EXP-13.1,EXP-16.1|EXP-2.6,False,False
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,5323409,JARRO GRADUADO 2 LITROS PJ201,8124,review_required,model,0.1854,EXP-13.1,EXP-13.1|EXP-2.6|EXP-16.2,EXP-16.1|EXP-2.6,False,False
BANCO BICE,3844578,Comisión por Transferencia Electrónica d,13474,review_required,model,0.9382,ADM-3.1,ADM-3.1|ADM-1.7|EXP-10.4,"|?Impuestos, comisiones, multas",False,True
COMER DE COMBUSTIBLES M&D LTD,79098,Krynex Limpia Parabrisas 1L,5025,review_required,model,0.1259,EXP-9.2,EXP-9.2|EXP-13.1|EXP-13.3,EXP-13.3,False,True
COPEC S.A.,32152638,Fecha-Guía,0,review_required,model,0.5762,EXP-10.4,EXP-10.4|EXP-13.3|EXP-14.1,ADM-1.4,False,True
COPEC S.A.,32152638,Total,0,review_required,model,0.8366,EXP-11.4,EXP-11.4|ADM-1.4|EXP-11.5,ADM-1.4,False,True
COPEC S.A.,32152638,DETALLE,55079,review_required,business_rule,1,ADM-1.4,ADM-1.4,ADM-1.4,True,True
SOC DE TRANSPORTES STEUER HOLMGREN Y COM,574272,Gasolina 93,95433,auto_accept,business_rule,1,ADM-1.4,ADM-1.4,ADM-1.4,True,True
AGROCOMERCIAL IANSA S.A.,76538,BIOLACT TERNERO INICIAL,3369600,auto_accept,product_lookup,1,EXP-5.2,EXP-5.2,EXP-5.2,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30694651,MOBIL FLUID 424 X 19 LT.,67475,auto_accept,model,0.837,EXP-13.1,EXP-13.1|EXP-13.3|EXP-16.2,EXP-13.1,True,True
DORIS IVONNE CASTILLO KANTER,263225,MANGUERA JARDIN RAYADA ECONOMICA 3 4 -@,15075,review_required,model,0.6767,EXP-14.3,EXP-14.3|EXP-14.4|EXP-10.4,EXP-14.3,True,True
SOC INMOBILIARIA PROGRESO ROLANDO EGON ACUÑA SCHEEL E.I.R.L.,1620,ARRIENDO FUNDO PELLECO,2775219,review_required,model,0.9451,EXP-15.7,EXP-15.7|EXP-15.3|EXP-14.1,|?Arriendo Otros Predios,False,True
COOPERATIVA AGRICOLA LECHERA STGO.,2632515,LIDOCALM X 50 CC.,453500,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
BIOGENESIS ANIMAL HEALTH SPA,11040,COW GUARD BARRERA 210KG,840000,review_required,model,0.9683,EXP-10.2,EXP-10.2|EXP-2.4|EXP-15.2,EXP-10.2,True,True
COMERCIAL DOMINGOS LIMITADA,175,Trabajo máquina,90000,review_required,model,0.2253,EXP-13.1,EXP-13.1|EXP-10.1|EXP-14.4,EXP-15.5,False,True
COMERCIAL DOMINGOS LIMITADA,175,Traslado,48000,review_required,model,0.3638,EXP-15.3,EXP-15.3|ADM-1.7|EXP-10.1,EXP-15.5,False,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30690117,PETROLEO DIESEL ULTRA (DISTRIBUCION),1055188,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
Comercial Climent SpA,752590,CALEFONT SPLENDID 7 LTS. IONIZADO (600074520D),107554,review_required,model,0.2892,EXP-14.4,EXP-14.4|ADM-1.6|EXP-14.2,EXP-14.4,True,True
HGS DAIRY SOLUTIONS SPA,27771,MANGA ESPIRAL 50 MM. (MT),192661,review_required,model,0.6692,EXP-10.1,EXP-10.1|EXP-14.4|EXP-9.2,EXP-10.4,False,True
PATRICIO SANTIAGO CAREY BRIONES,298373,Gasolina 93,31636,review_required,model,0.7638,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
PATRICIO SANTIAGO CAREY BRIONES,297792,Diesel,52523,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30307650,GASOLINA 93,38543,review_required,model,0.6368,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
INVERSIONES ENEX S.A.,6033139,Petroleo Diesel G-B,40922,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689570,AZOVETRIL X 5 LT.,146514,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689570,ADVOCIN 180 X 50 CC,332415,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689570,LIQUAMICINA LA 250 CC.,152296,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689570,TERRACORTRIL 125 CC SPRAY QUERATITIS,40328,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,30689570,BAYTRIL MAX X 100 CC,231100,auto_accept,product_lookup,1,EXP-2.5,EXP-2.5,EXP-2.5,True,True
SOCIEDAD AGUAS BUENAS SPA,7084,CHUZO 1.64mts,26000,review_required,model,0.271,EXP-14.4,EXP-14.4|EXP-14.2|EXP-10.1,EXP-16.1,False,True
Santander - Chile,56546219,COMISION DE MANTENCION DE PLAN,20760,review_required,model,0.5441,ADM-1.7,ADM-1.7|EXP-14.1|EXP-14.4,"|?Impuestos, comisiones, multas",False,True
COOPERATIVA AGRICOLA LECHERA STGO.,2630930,PEDEROL SPRAY X 250 ML,160200,auto_accept,model,0.7809,EXP-2.5,EXP-2.5|EXP-2.2|EXP-3.1,EXP-2.5,True,True
MULTIMOTOS OSORNO SPA,1704,REPARACION MOTO HONDA,624370,auto_accept,model,0.9725,EXP-13.2,EXP-13.2|EXP-13.3|AF-2.1,EXP-13.2,True,True
BANCO BICE,3847761,Renta de Arrendamiento Nº2 del contrato Nº38722-1,1328236,auto_accept,model,0.9874,EXP-15.8,EXP-15.8|EXP-15.4|ADM-1.5,|?DEUDAS LEASING LARGO PLAZO,False,True
SALINAS Y FABRES S.A.,5337827,Item,215399,review_required,model,0.2078,EXP-10.4,EXP-10.4|EXP-14.4|EXP-13.1,EXP-13.1,False,True
DISTRIBUIDORA ENTRETECHO SPA,113509,Petroleo Diesel G-B,59752,auto_accept,product_lookup,1,EXP-11.3,EXP-11.3,EXP-11.3,True,True
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,30307306,GASOLINA 93,34718,review_required,model,0.6368,ADM-1.4,ADM-1.4|EXP-11.4|EXP-16.2,EXP-11.4,False,True
HGS DAIRY SOLUTIONS SPA,27755,TRI-PFAN 60 LTS.,458129,auto_accept,model,0.7855,EXP-10.3,EXP-10.3|EXP-10.1|EXP-10.4,EXP-10.3|EXP-10.4,True,False
HGS DAIRY SOLUTIONS SPA,27755,ORACID 60 L,131438,auto_accept,model,0.9141,EXP-10.3,EXP-10.3|EXP-2.2|EXP-3.1,EXP-10.3|EXP-10.4,True,False
