row_id,item_text,provider,exact_rule_truth,ml_prediction_with_rule_bypassed,top1,margin,correct_where_exact_truth_exists
12016,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999646,0.999412,True
12017,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999639,0.999395,True
12018,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999645,0.999411,True
12019,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998452,0.997827,True
12020,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998323,0.997661,True
12021,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998414,0.997794,True
12022,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998427,0.99783,True
12023,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.997594,0.996365,True
12024,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998351,0.997708,True
12025,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998379,0.997762,True
12026,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.99842,0.997817,True
12027,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998384,0.997753,True
12028,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998311,0.997652,True
12029,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998453,0.997826,True
12030,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998414,0.997802,True
12031,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998347,0.99772,True
12032,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998347,0.997687,True
12033,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998236,0.997534,True
12034,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998268,0.997585,True
12035,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.956279,0.912949,True
12036,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998276,0.997614,True
12037,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998397,0.997781,True
12038,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998378,0.997757,True
12039,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998244,0.997555,True
12040,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.99847,0.997885,True
12041,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998222,0.997518,True
12042,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.997594,0.996365,True
12043,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998278,0.997609,True
12044,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998463,0.997869,True
12045,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998419,0.997801,True
12046,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999663,0.999435,True
12047,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999684,0.999478,True
12048,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999632,0.999388,True
12049,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998372,0.997733,True
12050,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998323,0.997667,True
12051,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.92083,0.842091,True
12052,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998293,0.997612,True
12053,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998217,0.997515,True
12054,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.92083,0.842091,True
12055,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998324,0.997654,True
12056,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998234,0.997548,True
12057,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.997594,0.996365,True
12058,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998407,0.997795,True
12059,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998233,0.997542,True
12060,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998247,0.997557,True
12061,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.949181,0.898838,True
12062,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.997594,0.996365,True
12063,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998363,0.997738,True
12064,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999657,0.999431,True
12065,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999628,0.999382,True
12066,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999651,0.99942,True
12067,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999655,0.999428,True
12068,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.949181,0.898838,True
12069,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.951208,0.902887,True
12070,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.99828,0.997597,True
12071,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998411,0.997804,True
12072,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.947915,0.896354,True
12073,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.953754,0.907947,True
12074,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.99841,0.997786,True
12075,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998474,0.997859,True
12076,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999643,0.999408,True
12077,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999662,0.99944,True
12078,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999648,0.999418,True
12079,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999643,0.999407,True
12080,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.957421,0.915265,True
12081,OTROS INGRESOS,ANTILLANCA SPA,,ING-0.3,0.717895,0.603767,
12082,VENTA CAMIONETA,ANTILLANCA SPA,,ING-0.3,0.459379,0.139043,
12083,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.950809,0.90209,True
12084,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999669,0.999452,True
12085,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999662,0.999439,True
12086,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999662,0.999439,True
12087,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999651,0.999421,True
12088,VENTA DE VACAS,ANTILLANCA SPA,ING-0.2,ING-0.2,0.951158,0.902781,True
12089,VENTA CAMIONETA,ANTILLANCA SPA,,ING-0.4,0.603876,0.380119,
12090,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.99827,0.997598,True
12091,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999655,0.99943,True
12092,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999607,0.999349,True
12093,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999636,0.999395,True
12094,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99965,0.999419,True
12095,maquinaria,ANTILLANCA SPA,,ING-0.3,0.435629,0.126097,
12096,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999665,0.999444,True
12097,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99965,0.999418,True
12098,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999661,0.999437,True
12099,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999635,0.999392,True
12100,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999648,0.999415,True
12101,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.999648,0.999417,True
12102,VENTA DE LECHE,ANTILLANCA SPA,ING-0.1,ING-0.1,0.99966,0.999435,True
12103,VENTAS TERNEROS,ANTILLANCA SPA,ING-0.4,ING-0.4,0.998406,0.997793,True
