PROVEEDOR,Cód de Material,Descripción,Un/Medida,CODIGO,CUENTA,SUBCUENTA,FACTURA,UPLOADED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPRINSEM,10000923,TUBERCULINA CZV PPD BOVINA 50 DS.,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.04.2026,10:56:21
COOPRINSEM,10000950,VACUNA CATTLEMASTER GOLD 25 DOSIS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.04.2026,10:56:21
COOPRINSEM,10000953,VACUNA CLOSTRIBAC 9P 50 DOSIS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.04.2026,9:38:09
COOPRINSEM,10000956,VACUNA CLOSTRIBAC-8 GOLD 50 DOSIS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01.04.2026,9:41:58
COOPRINSEM,10000969,VACUNA FORTRESS 50 DS BORGPETERSENIL HAR,UN,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01.04.2026,9:41:58
COOPRINSEM,10001000,VACUNA VISION-8 100 ML. (50 DOSIS),UN,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03.2026,11:52:16
COOPRINSEM,10001028,VITAMINA E + SELENIO 100 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03.2026,11:52:16
COOPRINSEM,10001118,KET-10  50 CC. BOVINO (KETOPROFENO),UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS MEDICAMENTOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03.2026,11:52:16
COOPRINSEM,10001184,CIPIOSYN 50 CC (CIPIONATO ESTRADIOL),UN,GASTOS EXPLOTACION,REPRODUCCION,INSEMINACION ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03.2026,11:52:16
COOPRINSEM,10001558,VACUNA LEPTOFERM 5 50 DOSIS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03.2026,12:37:33
COOPRINSEM,10001598,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,VACUNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03.2026,12:37:33
COOPRINSEM,11000046,AGUJA DESECHABLE (C/PLAST) 18 G x 1,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.02.2026,8:24:41
COOPRINSEM,11000085,ALLFLEX MAXI(H)-BOTON(M) ESTAMPADO,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02.2026,16:25:19
COOPRINSEM,11000086,ALLFLEX MAXI(H)-BOTON(M) S/EST AMARILLO,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.02.2026,16:56:15
COOPRINSEM,11000229,BANDA MARCADORA ADHESIVA 50MMx10M   ROJO,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.02.2026,10:31:59
COOPRINSEM,11000244,BANDA PATA O COLA 10 MTS ROJA     204273,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.02.2026,10:31:59
COOPRINSEM,11000355,BOTAS BEKINA STEPLITE-X P.A.#42,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.02.2026,10:31:59
COOPRINSEM,11000356,BOTAS BEKINA STEPLITE-X P.A.#43,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01.2026,9:47:09
COOPRINSEM,11000726,CORTA PEZUNAS D-ACCION ECONOMI 203641,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01.2026,9:47:09
COOPRINSEM,11001011,GUANTE NITRIL GRUESO LARGO-XL 50U 209080,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.01.2026,9:38:41
COOPRINSEM,11001016,GUANTE NITRIL SHOOF CORTO-L 100UN 204631,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.01.2026,11:09:28
COOPRINSEM,11001017,GUANTE NITRIL SHOOF CORTO-M 100UN 204632,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.01.2026,11:09:28
COOPRINSEM,11001019,GUANTE NITRIL SHOOF CORTO-XL 100U 204634,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01.2026,8:58:19
COOPRINSEM,11001109,INYECTORAS CALCIO DESECHABLE,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01.2026,8:58:19
COOPRINSEM,11001172,JERINGAS DESECHABLES   3 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01.2026,9:02:48
COOPRINSEM,11001173,JERINGAS DESECHABLES   5 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.01.2026,11:51:32
COOPRINSEM,11001174,JERINGAS DESECHABLES  10 CC.,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.01.2026,11:11:40
COOPRINSEM,11001202,LAPIZ ALLFLEX GRANDE (NEGRO),UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.01.2026,10:30:25
COOPRINSEM,11001211,LAZOS OBSTETRICOS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.01.2026,10:30:25
COOPRINSEM,11001215,LEVANTADOR DE VACAS STANDARD      201613,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.01.2026,10:30:25
COOPRINSEM,11001274,MANGA ORDENO VERDE,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06.01.2026,10:30:25
COOPRINSEM,11001459,PINTURA FIL C/APLICADOR LT AZUL 213868,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.12.2025,8:32:46
COOPRINSEM,11002094,TIJERA CORTADORA COLAS         205606,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.12.2025,8:32:46
COOPRINSEM,11002247,VENOJECT VIDRIO 10 CC TAPA ROJA VT*100,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12.2025,8:58:51
COOPRINSEM,11002577,BUZO PILOTO VARIOS COLORES TALLA S,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12.2025,8:23:44
COOPRINSEM,11002648,AGUJA DESECHABLE (C/PLAST) 18 G x 1 1/2,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12.2025,8:23:44
COOPRINSEM,11002651,AGUJA DESECHABLE (C/PLAST) 26 G x 1/2,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.11.2025,13:34:41
COOPRINSEM,11002652,AGUJA DESECHABLE (C/PLAST) 21 G x 1,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.11.2025,13:34:36
COOPRINSEM,11002654,AGUJA DESECHABLE (C/PLAST) 16 G x 1/2,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.11.2025,11:42:11
COOPRINSEM,11002655,AGUJA DESECHABLE (C/PLAST) 16 G x 1 1/2,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.11.2025,11:15:40
COOPRINSEM,11002656,AGUJA DESECHABLE (C/PLAST) 25 G x 5/8,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11.2025,12:31:38
COOPRINSEM,11003072,PINTACAL X 25 KILOS  SOPROCAL,T,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07.11.2025,9:00:08
COOPRINSEM,11003304,RUBBER BLOCK UNIDAD,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04.11.2025,10:12:00
COOPRINSEM,11003348,VENDA PRODETECT,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.10.2025,11:13:23
COOPRINSEM,11003349,PINT DETECTAR CELOS DONAGHYS LT AZUL,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10.2025,12:17:50
COOPRINSEM,11003350,PINT DETECTAR CELOS DONAGHYS LT AMARILLA,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10.2025,12:17:50
COOPRINSEM,11003352,PINT DETECTAR CELOS DONAGHYS LT VERDE,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10.2025,12:17:50
COOPRINSEM,11003424,TACO MADERA NATIVA 10 UNIDADES,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10.2025,12:17:50
COOPRINSEM,11003425,REFRACTOMETRO BRIX 0 - 32 %,UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.10.2025,16:05:41
COOPRINSEM,11003493,PINTURA SPRAY 500 CC DONAGHYS AZUL,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.10.2025,10:22:55
COOPRINSEM,11003662,BOVIBOND 210 ML C/10 BOQUILLAS,UN,GASTOS EXPLOTACION,SALUD ANIMAL,OTROS GASTOS SALUD ANIMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09.10.2025,13:10:05
COOPRINSEM,12000541,C-B SURALIM TERNERO  INICIAL   25 KG,T,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,CONCENTRADO CRIANZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.10.2025,8:08:10
COOPRINSEM,13000232,SUST.  EUROLAC BLUE  25 KGS.      SCHILS,T,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,SUSTITUTO LACTEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.10.2025,8:08:10
COOPRINSEM,13000237,SUST.  KALMILAC PLUS 25 KGS       SCHILS,T,GASTOS EXPLOTACION,ALIMENTOS COMPRADOS,SUSTITUTO LACTEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09.2025,14:43:44
COOPRINSEM,21000019,TORDON 101 ( 4 L.),L,GASTOS EXPLOTACION,AGROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09.2025,8:21:45
COOPRINSEM,21000039,LONTREL 3A ( 1 L.),L,GASTOS EXPLOTACION,AGROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09.2025,16:01:13
COOPRINSEM,21000056,CAIMAN 70 WG ( 1 KG.),KG,GASTOS EXPLOTACION,AGROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09.2025,16:01:13
COOPRINSEM,21000138,HEAT (150 G.),KG,GASTOS EXPLOTACION,AGROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.09.2025,14:37:55
COOPRINSEM,21000144,STARANE XTRA ( 1 L.),L,GASTOS EXPLOTACION,AGROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.09.2025,15:22:27
COOPRINSEM,21000491,KARATE ZEON (SYNGEN) ( 1 L.),L,GASTOS EXPLOTACION,AGROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.09.2025,11:09:06
COOPRINSEM,21000797,SILWET ( 1 L.),L,GASTOS EXPLOTACION,AGROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09.2025,12:42:38
COOPRINSEM,22000183,SEMILLA ARVEJA PERFECT FREEZER  (  1 KG.,UN,GASTOS EXPLOTACION,PRADERA,OTROS CULTIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.09.2025,10:56:11
COOPRINSEM,22000374,SEM.AVENA URANO CERT.,KG,GASTOS EXPLOTACION,PRADERA,OTROS CULTIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05.09.2025,15:10:40
COOPRINSEM,22000536,SEM.RAPS FORR.SPITFIRE DES.     CTE,KG,GASTOS EXPLOTACION,PRADERA,OTROS CULTIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05.09.2025,12:09:28
COOPRINSEM,22000793,SEM. RAPS FORR. PILLAR IMP.CTE. DES,KG,GASTOS EXPLOTACION,PRADERA,OTROS CULTIVOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03.09.2025,15:52:48
COOPRINSEM,23000345,"TRANCA METALICA GALVANIZADA 4,2 MT",UN,GASTOS EXPLOTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08.2025,8:39:29
COOPRINSEM,23000447,CORDON BUNGY ROLLO 50M - GAL,UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08.2025,8:39:29
COOPRINSEM,23000554,"ALAMBRE SUBTE. AGRI-FENCE 2,5 MM 50 MT",UN,GASTOS EXPLOTACION,REPARACIONES Y MANTENCIONES ,MANTENCION CERCOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08.2025,8:39:29
COOPRINSEM,25001457,BOTAS BEKINA STEPLITE-X P.A.#38,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.08.2025,8:39:29
COOPRINSEM,25001463,BOTAS BEKINA STEPLITE-X P.A.#44,UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.08.2025,11:24:32
COOPRINSEM,25001464,BOTAS DUNLOP THERMO+ # 37-38     (-40 C),UN,GASTOS EXPLOTACION,GASTOS GENERALES CAMPO,ROPA Y HERRAMIENTAS DE TRABAJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.08.2025,11:19:07
