gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,direction_evidence,raw_row_id
RG-00026,EXP-2.3,Vacunas,client_product_rule,VACUNA CLOSTRIBAC 9P 50 DOSIS,10000953,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00027,EXP-2.3,Vacunas,client_product_rule,VACUNA CLOSTRIBAC-8 GOLD 50 DOSIS,10000956,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00028,EXP-2.3,Vacunas,client_product_rule,VACUNA FORTRESS 50 DS BORGPETERSENIL HAR,10000969,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00029,EXP-2.3,Vacunas,client_product_rule,VACUNA VISION-8 100 ML. (50 DOSIS),10001000,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00030,EXP-2.5,Otros Medicamentos,client_product_rule,VITAMINA E + SELENIO 100 CC.,10001028,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00031,EXP-2.5,Otros Medicamentos,client_product_rule,KET-10 50 CC. BOVINO (KETOPROFENO),10001118,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00032,EXP-3.1,Inseminacion Artificial,client_product_rule,CIPIOSYN 50 CC (CIPIONATO ESTRADIOL),10001184,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00033,EXP-2.3,Vacunas,client_product_rule,VACUNA LEPTOFERM 5 50 DOSIS,10001558,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00034,EXP-2.3,Vacunas,client_product_rule,VACUNA CATTLEMASTER GOLD FP5 L5 25 DOSIS,10001598,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00035,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 18 G x 1,11000046,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00036,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALLFLEX MAXI(H)-BOTON(M) ESTAMPADO,11000085,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00037,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,ALLFLEX MAXI(H)-BOTON(M) S/EST AMARILLO,11000086,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00038,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BANDA MARCADORA ADHESIVA 50MMx10M ROJO,11000229,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00039,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BANDA PATA O COLA 10 MTS ROJA 204273,11000244,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00040,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#42,11000355,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00041,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#43,11000356,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00042,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,CORTA PEZUNAS D-ACCION ECONOMI 203641,11000726,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00043,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL GRUESO LARGO-XL 50U 209080,11001011,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00044,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-L 100UN 204631,11001016,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00045,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-M 100UN 204632,11001017,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00046,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,GUANTE NITRIL SHOOF CORTO-XL 100U 204634,11001019,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00047,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,INYECTORAS CALCIO DESECHABLE,11001109,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00048,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 3 CC.,11001172,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00049,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 5 CC.,11001173,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00050,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGAS DESECHABLES 10 CC.,11001174,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00051,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,LAZOS OBSTETRICOS,11001211,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00052,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA ORDENO VERDE,11001274,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00053,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINTURA FIL C/APLICADOR LT AZUL 213868,11001459,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00054,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,TIJERA CORTADORA COLAS 205606,11002094,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00055,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,VENOJECT VIDRIO 10 CC TAPA ROJA VT*100,11002247,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00056,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA S,11002577,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00057,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 18 G x 1 1/2,11002648,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00058,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 26 G x 1/2,11002651,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00059,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 21 G x 1,11002652,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00060,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 16 G x 1/2,11002654,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00061,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 16 G x 1 1/2,11002655,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00062,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,AGUJA DESECHABLE (C/PLAST) 25 G x 5/8,11002656,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00063,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,RUBBER BLOCK UNIDAD,11003304,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00064,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,VENDA PRODETECT,11003348,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00065,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINT DETECTAR CELOS DONAGHYS LT AZUL,11003349,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00066,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINT DETECTAR CELOS DONAGHYS LT AMARILLA,11003350,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00067,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINT DETECTAR CELOS DONAGHYS LT VERDE,11003352,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00068,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,TACO MADERA NATIVA 10 UNIDADES,11003424,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00069,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PINTURA SPRAY 500 CC DONAGHYS AZUL,11003493,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00070,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,BOVIBOND 210 ML C/10 BOQUILLAS,11003662,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00071,EXP-5.2,Concentrado Crianza,client_product_rule,C-B SURALIM TERNERO INICIAL 25 KG,12000541,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00072,EXP-5.5,Sustituto Lacteo,client_product_rule,SUST. EUROLAC BLUE 25 KGS. SCHILS,13000232,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00073,EXP-5.5,Sustituto Lacteo,client_product_rule,SUST. KALMILAC PLUS 25 KGS SCHILS,13000237,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00074,EXP-8.4,Otros Cultivos,client_product_rule,SEMILLA ARVEJA PERFECT FREEZER ( 1 KG.,22000183,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00075,EXP-8.4,Otros Cultivos,client_product_rule,SEM.AVENA URANO CERT.,22000374,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00076,EXP-14.2,Mantencion Cercos,client_product_rule,CORDON BUNGY ROLLO 50M - GAL,23000447,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00077,EXP-14.2,Mantencion Cercos,client_product_rule,"ALAMBRE SUBTE. AGRI-FENCE 2,5 MM 50 MT",23000554,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00078,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#38,25001457,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00079,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS BEKINA STEPLITE-X P.A.#44,25001463,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00080,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 37-38 (-40 C),25001464,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00081,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 39-40 (-40 C),25001465,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00082,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 41 (-40 C),25001466,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00083,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 42 (-40 C),25001467,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00084,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 43 (-40 C),25001468,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00085,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTAS DUNLOP THERMO+ # 44-45 (-40 C),25001469,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00086,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA XXL,25001470,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00087,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,FILTRO (PAR) 3M # 6003 VAP.ORGANIC/GASES,25001473,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00088,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,"TRAJE AGUA POLIURETANO 0,55MM T-L",25001501,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00089,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,"TRAJE AGUA POLIURETANO 0,55MM T-XL",25001502,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00090,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO PILOTO VARIOS COLORES TALLA XL,25001533,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00091,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 50,25001537,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00092,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 52,25001538,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00093,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 56,25001539,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00094,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO CANVAS AZUL 240 GRS X M2 TALLA M,25001571,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00095,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO CANVAS AZUL 240 GRS X M2 TALLA XL,25001573,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00096,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO CANVAS AZUL 240 GRS X M2 TALLA XXL,25001574,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00097,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BOTA DUNLOP PUROFORT + FULLSAFETY # 36,25001623,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00098,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,BUZO VETERINARIO 1 PIEZA TALLA 54,25001718,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00099,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,ESCOBILLON # 101 MUNIC MAD ESPERANZA-OSO,25001767,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00100,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,ESCOBILLON # 103 MUNICIPAL CHICO MADERA,25001769,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00101,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MASCARILLA SILICONA 3M MOD # 7503 T-L,25001884,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00102,EXP-3.1,Inseminacion Artificial,client_product_rule,HORM. CIDR BOVINO APLICADOR,30000579,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00103,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA DESECHABLE GIA POLYSEM,30001646,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00104,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA DESECHABLE INSEM. SUPER SENSITIVE,30001648,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00105,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,MANGA ORDENO AZUL,43000072,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00106,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PM ESCOBILLA ESTANQUE,43000323,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00107,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PM ESCOBILLA MANGO P/ EST.,43000326,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00108,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PM ESCOB. MANGO LAR. 410MM,43001116,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00109,EXP-2.2,Medicamentos Mastitis,client_product_rule,PM CMT REACTIVO 1 LT.,43001521,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00110,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,PM CMT PALETA,43001678,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00111,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,CAJA TOALLA PAPEL INTERFOLIADA 20720,43001802,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00112,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PECHERA AJUSTABLE AZUL REVERSIBLE,43003710,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00113,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,COMBO ORDEï¾‘ADOR (PECHERA MANGAS),43004493,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00114,EXP-16.1,Ropa y Herramientas de Trabajo,client_product_rule,PECHERA ORDENO AZUL 2150021187,43004596,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00115,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,RESMA HOJA CARTA PARA IMPRESORA,60000801,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00116,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,BATERIA HP ORIGINAL HT03XL,60001018,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00117,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,CABLE TIPO-C A HDMI 1.8M TM-100539,60003677,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00118,ADM-1.6,Utiles y gastos de oficina.,client_product_rule,SERVICIOS + OFFICE,61000020,COOPRINSEM,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00119,EXP-2.6,Otros Gastos Salud Animal,client_product_rule,JERINGA DESECHABLE 3 ML C/AGUJA (L.L.),7600833,COLUN,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
RG-00120,EXP-11.3,Petroleo,client_product_rule,PETROLEO DIESEL ULTRA (DISTRIBUCION),7602487,COLUN,,Client-confirmed product-to-category mapping.,,COMPRAS,taxonomy_income_vs_expense_family,
