gold_id,category_code,leaf,source,item_text,description,provider,farm,audit_reason,verify_flag,direction,raw_row_id
SA-00609,EXP-13.3,Mantencion Vehiculos,file_audit,VIM : undefined,2@VIM : undefined,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00610,EXP-13.3,Mantencion Vehiculos,file_audit,Taller Ford Osorno.,2@Taller Ford Osorno.,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00611,EXP-13.3,Mantencion Vehiculos,file_audit,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,DIFOR CHILE S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00652,ADM-1.4,Movilizacion,file_audit,DETALLE,GASOLINA NU 1203| 81.390|L,COPEC S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00672,ADM-1.6,Utiles y gastos de oficina.,file_audit,AZUCAR GRANULADA IANSA 1 KG,4.0 x 1 UN $1450 Bruto/$1218.5 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00675,ADM-1.6,Utiles y gastos de oficina.,file_audit,"GALLETA DONUTS COSTA 100 GR, BITTER",2.0 x 1 UN $1340 Bruto/$1126.5 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00676,ADM-1.6,Utiles y gastos de oficina.,file_audit,"GALLETA TUAREG COSTA 120 GR, ORIGINAL",2.0 x 1 UN $720 Bruto/$605.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00677,ADM-1.6,Utiles y gastos de oficina.,file_audit,GALLETA GRETEL PIE DE LIMON COSTA 85 GR,2.0 x 1 UN $1390 Bruto/$1168.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00678,ADM-1.6,Utiles y gastos de oficina.,file_audit,GALLETA CHAMPANA GULLON 200 GR,1.0 x 1 UN $2890 Bruto/$2429.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00679,ADM-1.6,Utiles y gastos de oficina.,file_audit,GALLETA CHAMPANA ORIGINAL TENTO 100 GR,1.0 x 1 UN $1190 Bruto/$1000.0 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00681,ADM-1.6,Utiles y gastos de oficina.,file_audit,"GALLETA COSTA 125 GR, CHOCO CHIPS",2.0 x 1 UN $950 Bruto/$798.5 Neto,RENDIC HERMANOS S.A.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00706,EXP-4.3,Bolos Heno,file_audit,TRASLADO BOLOS CORTE ALTO,Distancia 112km viaje dos vueltas camin con carro,SERVICIOS AGRICOLAS CORPAL SPA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00707,EXP-9.2,Otros Gastos Riego,file_audit,HI PLANZA 11/2,,RICARDO FRANCISCO WULFF MULLER,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00708,EXP-9.2,Otros Gastos Riego,file_audit,ABRAZADERAS MET,,RICARDO FRANCISCO WULFF MULLER,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00710,EXP-9.1,Energia Electrica Riego,file_audit,"Cargo mensual por demanda mxima leida de potencia en horas de punta ( 0,040 )",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00711,EXP-9.1,Energia Electrica Riego,file_audit,"Cargo mensual por D. Max de potencia suministrada ( 56,860 )",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00722,EXP-11.1,Electricidad Lecheria,file_audit,Electricidad consumida 8640 KwH,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00723,EXP-11.1,Electricidad Lecheria,file_audit,Demanda maxima potencia leida 24.0 x $ 29050.541666666668,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00724,EXP-11.1,Electricidad Lecheria,file_audit,Demanda maxima suministrada 39.21 x $ 18186.99311400153,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00725,EXP-11.1,Electricidad Lecheria,file_audit,Perdida por transformacion,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00726,EXP-11.1,Electricidad Lecheria,file_audit,Uso del sistema de transmision,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00727,EXP-11.1,Electricidad Lecheria,file_audit,(R.M.E.),,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00728,EXP-11.1,Electricidad Lecheria,file_audit,Cargo fondo de estabilizacion ley 21.472,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00729,EXP-11.1,Electricidad Lecheria,file_audit,Electricidad consumida ( 17.960 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00730,EXP-11.1,Electricidad Lecheria,file_audit,"Cargo mensual por demanda mxima leida de potencia en horas de punta ( 56,480 )",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00731,EXP-11.1,Electricidad Lecheria,file_audit,"Cargo mensual por D. Max de potencia suministrada ( 70,650 )",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00732,EXP-11.1,Electricidad Lecheria,file_audit,Transporte de Electricidad ( 17.960 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00733,EXP-11.1,Electricidad Lecheria,file_audit,"Multa por consumo reactivo (Recargo por consumo reactivo) ( 0,900 )",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00734,EXP-11.1,Electricidad Lecheria,file_audit,"Recargo lectura de BT de consumos de cliente en AT(E) 3,5%",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00736,EXP-11.1,Electricidad Lecheria,file_audit,Cargo por servicio publico Base ( 17.960 kWh) (Ex. IVA),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00737,EXP-11.1,Electricidad Lecheria,file_audit,Cargo Fondo de Estabilizacion Ley 21.472 ( 17.960 kWh) (Ex. IVA),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00738,EXP-11.1,Electricidad Lecheria,file_audit,Administracin del Servicio,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00739,EXP-11.1,Electricidad Lecheria,file_audit,Transporte de Electricidad,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00740,EXP-11.1,Electricidad Lecheria,file_audit,Electricidad Consumida,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00741,EXP-11.1,Electricidad Lecheria,file_audit,Cargo mensual por demanda mxima de Potencia Leda,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00742,EXP-11.1,Electricidad Lecheria,file_audit,Cargo mensual por demanda mxima de Potencia Leda Hora Punta,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00743,EXP-11.1,Electricidad Lecheria,file_audit,Cargo por Servicio Pblico,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00744,EXP-11.1,Electricidad Lecheria,file_audit,Cargo Fondo de Estabilizacin Ley 21.472,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00745,EXP-11.1,Electricidad Lecheria,file_audit,"Ajuste para facilitar el pago en efectivo, mes actual",,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00746,EXP-11.1,Electricidad Lecheria,file_audit,"Ajuste para facilitar el pago en efectivo, mes anterior",,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00747,EXP-11.1,Electricidad Lecheria,file_audit,Inters por mora Energa,,CIA ELECTRICA OSORNO S A,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00749,EXP-11.2,Electricidad Casas e Instalaciones,file_audit,Electricidad consumida ( 458 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00750,EXP-11.2,Electricidad Casas e Instalaciones,file_audit,Transporte de Electricidad ( 458 kWh),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00751,EXP-11.2,Electricidad Casas e Instalaciones,file_audit,Cargo por servicio publico Base ( 458 kWh) (Ex. IVA),,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00754,ADM-1.6,Utiles y gastos de oficina.,file_audit,Recarga Agua Purificada,Fundo Raices,PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,,[folder-audit] client filed under this category; item consistent with client description,,,
SA-00909,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura junio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,,,
SA-00920,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura julio 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,,,
SA-00933,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura agosto 2025,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,,,
SA-00939,EXP-5.4,Bolos,silver_audit,Maxxifardos Trigo,,SERVICIOS AGRICOLAS MECANIZADOS SPA,,ollama classify + claude audit vs description,,,
SA-00940,EXP-5.4,Bolos,silver_audit,Maxxifardos,,SERVICIOS AGRICOLAS MECANIZADOS SPA,,ollama classify + claude audit vs description,,,
SA-00985,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura enero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,,,
SA-00990,ADM-2.3,Seguros Otros,silver_audit,Periodo de Cobertura febrero 2026,,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,,ollama classify + claude audit vs description,,,
RG-01026,EXP-1.1,Otros Gastos RRHH,file_audit,EMPANADAS DE HORNO,,MINERVA RUTH ARELLANO VASQUEZ,,"Folder audit (newest_example_folders); folder ""OTROS GASTOS RRHH"" matches taxonomy for EXP-1.1.",,,
RG-01027,EXP-11.1,Electricidad Lecheria,file_audit,AdministraciÃ³n del Servicio,,CIA ELECTRICA OSORNO S A,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01028,EXP-11.1,Electricidad Lecheria,file_audit,Cargo Fondo de EstabilizaciÃ³n Ley 21.472,,CIA ELECTRICA OSORNO S A,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01029,EXP-11.1,Electricidad Lecheria,file_audit,Cargo mensual por demanda mÃ¡xima de Potencia LeÃ­da,,CIA ELECTRICA OSORNO S A,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01030,EXP-11.1,Electricidad Lecheria,file_audit,Cargo mensual por demanda mÃ¡xima de Potencia LeÃ­da Hora Punta,,CIA ELECTRICA OSORNO S A,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01031,EXP-11.1,Electricidad Lecheria,file_audit,"Cargo mensual por demanda mÃ¡xima leida de potencia en horas de punta ( 56,480 )",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01032,EXP-11.1,Electricidad Lecheria,file_audit,Cargo por Servicio PÃºblico,,CIA ELECTRICA OSORNO S A,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01033,EXP-11.1,Electricidad Lecheria,file_audit,InterÃ©s por mora EnergÃ­a,,CIA ELECTRICA OSORNO S A,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01034,EXP-11.1,Electricidad Lecheria,file_audit,Pago de cuenta fuera de plazo,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01035,EXP-11.1,Electricidad Lecheria,file_audit,Servicio publico,,COOPERATIVA RURAL ELECT.R.BUENO LTDA.,,"Folder audit (newest_example_folders); folder ""ELECTRICIDAD LECHERIA"" matches taxonomy for EXP-11.1.",,,
RG-01075,EXP-9.1,Energia Electrica Riego,file_audit,"Cargo mensual por demanda mÃ¡xima leida de potencia en horas de punta ( 0,040 )",,COOPERATIVA ELECTRICA PAILLACO LIMITADA,,"Folder audit (newest_example_folders); folder ""ENERGIA ELECTRICA RIEGO"" matches taxonomy for EXP-9.1.",,,
RG-01099,EXP-1.1,Otros Gastos RRHH,file_audit,BANANO ALICANTE CAFE,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01100,EXP-1.1,Otros Gastos RRHH,file_audit,BOLSA,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01101,EXP-1.1,Otros Gastos RRHH,file_audit,CAVERMANOS,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01102,EXP-1.1,Otros Gastos RRHH,file_audit,CUNO,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01103,EXP-1.1,Otros Gastos RRHH,file_audit,DIARIO,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01104,EXP-1.1,Otros Gastos RRHH,file_audit,ESTAMPADO ANTILLANCA,POLERA EN BRAZO PAGA POR TRANSFERENCIA,SMRCHILE LIMITADA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01105,EXP-1.1,Otros Gastos RRHH,file_audit,ESTAMPADO CORPORACION,RURAL POLERA LADO IZQUIERDO PECHO,SMRCHILE LIMITADA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01106,EXP-1.1,Otros Gastos RRHH,file_audit,GRABADO LOGO,,KALEUCHE SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01107,EXP-1.1,Otros Gastos RRHH,file_audit,HARRY POTTER 1 Y LA PIEDRA FILOSOFAL,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01108,EXP-1.1,Otros Gastos RRHH,file_audit,HUMBERTO EL VALIENTE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01109,EXP-1.1,Otros Gastos RRHH,file_audit,JUDY MOODY SE VUELVE FAMOSA,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01110,EXP-1.1,Otros Gastos RRHH,file_audit,JUDY MOODY Y STINK EL HUESO DE LOS DESEO,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01111,EXP-1.1,Otros Gastos RRHH,file_audit,KYLIE JEAN REINA DE LA TECNOLOGIA,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01112,EXP-1.1,Otros Gastos RRHH,file_audit,"MUSICA DE LAS MONTAÃAS, LA",,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01113,EXP-1.1,Otros Gastos RRHH,file_audit,NÃMEROS MUNDO DE CARTON,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01114,EXP-1.1,Otros Gastos RRHH,file_audit,"NIÃA DE LA CALAVERA,LA",,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01115,EXP-1.1,Otros Gastos RRHH,file_audit,NINA TORBELLINA 2,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01116,EXP-1.1,Otros Gastos RRHH,file_audit,NINA TORBELLINA1 EL PLAN DEL CAMPAMENTO,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01117,EXP-1.1,Otros Gastos RRHH,file_audit,PAPELUCHO MI HERMANA JI,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01118,EXP-1.1,Otros Gastos RRHH,file_audit,PILLA PANDILLAS,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01119,EXP-1.1,Otros Gastos RRHH,file_audit,RATITA MARITA,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01120,EXP-1.1,Otros Gastos RRHH,file_audit,STINK. EL INCREÃBLE NIÃO MENGUANTE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01121,EXP-1.1,Otros Gastos RRHH,file_audit,STINK Y LA MARCHA ZOMBI A LA MEDIANOCHE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
RG-01122,EXP-1.1,Otros Gastos RRHH,file_audit,UNA SONRISA RELUCENTE,,Ainilebu SPA,,Folder audit (newest_example_folders); RRHH regalias/staff-gift invoice item (folder OTROS GASTOS RRHH).,,,
