row_id,item_text,description,provider,silver_label,model_prediction,top1,top3
1842,INTERES MORA MAYOR PLAZO,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,ADM-1.7,EXP-15.5,0.321751,"client uses ['EXP-12.2', 'EXP-2.3', 'EXP-5.5', 'EXP-8.4'] for this supplier"
2127,BATERIA,,MULTIMOTOS OSORNO SPA,EXP-13.2,EXP-16.2,0.46663,EXP-16.2:0.4666;EXP-14.1:0.0985;EXP-10.1:0.0855
3839,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,ADM-1.4,ADM-1.7,0.729444,ADM-1.7:0.7294;EXP-15.1:0.0663;ADM-1.5:0.0624
3840,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,ADM-1.4,ADM-1.7,0.729444,ADM-1.7:0.7294;EXP-15.1:0.0663;ADM-1.5:0.0624
3849,DEVOLUCION DE PRIMA CUOTA 9,300440510,REALE CHILE SEGUROS GENERALES S.A.,ADM-2.3,ADM-1.6,0.078423,ADM-1.6:0.0784;EXP-1.1:0.0699;EXP-13.3:0.0636
4252,PF SALERO P/NOVILLOS C/CUBIERTA -____,____,FEROSOR AGRICOLA S.A.,EXP-5.3,EXP-5.3,0.448878,"client uses ['EXP-11.3', 'EXP-13.3', 'EXP-16.1', 'EXP-2.2', 'EXP-2.4', 'EXP-2.5', 'EXP-5.2'] for this supplier"
4254,PF SALERO P/NOVILLOS C/CUBIERTA -____,____,FEROSOR AGRICOLA S.A.,EXP-5.3,EXP-5.3,0.448878,"client uses ['EXP-11.3', 'EXP-13.3', 'EXP-16.1', 'EXP-2.2', 'EXP-2.4', 'EXP-2.5', 'EXP-5.2'] for this supplier"
4499,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,ADM-1.4,ADM-1.7,0.729444,ADM-1.7:0.7294;EXP-15.1:0.0663;ADM-1.5:0.0624
4566,VIAJES BOLOS,DESDE FDO BRAMADERO HASTA YUTRECO GUIAS 1449 1450,SERGIO FABIAN RODRIGUEZ DELGADO,EXP-15.3,EXP-15.3,0.474456,client uses ['EXP-4.2'] for this supplier
5491,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,EXP-10.1,EXP-10.1,0.511092,"client uses ['EXP-11.3', 'EXP-11.4', 'EXP-12.2', 'EXP-13.1', 'EXP-14.2', 'EXP-14.3', 'EXP-16.1', 'EXP-16.2', 'EXP-2.1', 'EXP-2.2', 'EXP-2.3', 'EXP-2.4', 'EXP-2.5', 'EXP-2.6', 'EXP-3.1', 'EXP-4.1', 'EXP-5.2', 'EXP-5.3', 'EXP-5.5', 'EXP-6.2', 'EXP-7.0', 'EXP-8.1', 'EXP-8.2'] for this supplier"
5816,VIAJE CON 39 BOLOS DESDE,BRAMADERO HASTA FDO YUTRECO,SERGIO FABIAN RODRIGUEZ DELGADO,EXP-15.3,EXP-15.3,0.800732,client uses ['EXP-4.2'] for this supplier
6372,REPUESTOS MANTENCION ESTANQUE PREDIAL,REPUESTOS MANTENCION ESTANQUE PREDIAL,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,EXP-10.1,EXP-10.1,0.511092,"client uses ['EXP-11.3', 'EXP-11.4', 'EXP-12.2', 'EXP-13.1', 'EXP-14.2', 'EXP-14.3', 'EXP-16.1', 'EXP-16.2', 'EXP-2.1', 'EXP-2.2', 'EXP-2.3', 'EXP-2.4', 'EXP-2.5', 'EXP-2.6', 'EXP-3.1', 'EXP-4.1', 'EXP-5.2', 'EXP-5.3', 'EXP-5.5', 'EXP-6.2', 'EXP-7.0', 'EXP-8.1', 'EXP-8.2'] for this supplier"
6655,BALON GAS 450 GR PROVIDUS+ CUN,,SODIMAC S.A.,EXP-11.5,EXP-11.5,0.904024,client uses ['ADM-1.6'] for this supplier
6725,PELLECO FERTILIZANTE,RIEGO FERTILIZANTE VITRAMAG 150 K/HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.5,0.916623,"client uses ['EXP-15.5', 'EXP-4.2', 'EXP-4.3'] for this supplier"
6726,PELLECO FERTILIZANTE,UREA S-MART BLUE 100 Y 150 K/HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.5,0.435306,"client uses ['EXP-15.5', 'EXP-4.2', 'EXP-4.3'] for this supplier"
6727,YUTRECO FERTILIZANTE,RIEGO FERTILIZANTE UREA S-MART BLUE 50 K/HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.5,0.635222,"client uses ['EXP-15.5', 'EXP-4.2', 'EXP-4.3'] for this supplier"
7556,SIEMBRA VEGA 1- MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-8.1,EXP-8.3,0.114021,EXP-8.3:0.1140;EXP-10.4:0.0902;ADM-1.6:0.0740
7557,SIEMBRA SALA - MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-8.2,EXP-14.4,0.142119,EXP-14.4:0.1421;EXP-5.5:0.1085;EXP-1.1:0.0833
8548,SIEMBRA - MAITEN,,PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,EXP-8.4,EXP-8.3,0.128632,EXP-8.3:0.1286;EXP-8.2:0.1033;EXP-10.4:0.0844
8589,CHAPILCAHUIN FERTILIZANTE,APLICACION DE FERTILIZANTE TRIPLE 97 HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.5,0.673342,"client uses ['EXP-15.5', 'EXP-4.2', 'EXP-4.3'] for this supplier"
8590,CHAPILCAHUIN FERTILIZANTE,APLICACION UREA SMART BLUE 100 HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.2,0.482027,"client uses ['EXP-15.5', 'EXP-4.2', 'EXP-4.3'] for this supplier"
8591,YUTRECO,APLICACION FERTILIZANTE VITRAMAC 200 HA,SERVICIOS AGRICOLAS CORPAL SPA,EXP-6.5,EXP-6.5,0.70343,"client uses ['EXP-15.5', 'EXP-4.2', 'EXP-4.3'] for this supplier"
9448,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,ADM-1.4,ADM-1.7,0.729444,ADM-1.7:0.7294;EXP-15.1:0.0663;ADM-1.5:0.0624
9584,SERVICIO DE EMERGENCIA (FIN DE SEMANA OFERIADO),,COMERCIAL SERVIFEED SPA,EXP-13.1,EXP-2.1,0.10865,EXP-2.1:0.1087;EXP-14.1:0.1019;EXP-5.2:0.0922
10193,MUESTREO FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-12.1,EXP-12.1,0.639108,"client uses ['EXP-12.2', 'EXP-2.3', 'EXP-5.5', 'EXP-8.4'] for this supplier"
10198,MUESTREO FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-12.1,EXP-12.1,0.639108,"client uses ['EXP-12.2', 'EXP-2.3', 'EXP-5.5', 'EXP-8.4'] for this supplier"
10199,.,"Servicios revision tableros electricos, reparaciones, puesta",COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-9.2,EXP-11.1,0.508577,"client uses ['EXP-12.2', 'EXP-2.3', 'EXP-5.5', 'EXP-8.4'] for this supplier"
10502,Intereses Exentos,,SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,ADM-1.4,ADM-1.7,0.729444,ADM-1.7:0.7294;EXP-15.1:0.0663;ADM-1.5:0.0624
11031,V-POWER Gasolina 97 octanos sp,IE Base: 418.5060 - IE Variable: 68.1328,INVERSIONES ENEX S.A.,EXP-11.4,EXP-11.4,0.213911,client uses ['EXP-11.3'] for this supplier
11647,.,"Servicio electricos, regulacion frecuencia vdf,cambio rele y",COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-9.2,EXP-11.1,0.492066,"client uses ['EXP-12.2', 'EXP-2.3', 'EXP-5.5', 'EXP-8.4'] for this supplier"
11648,.,Servicios revision y puesta en marcha fertiriego y cambio re,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-9.2,ADM-1.5,0.095824,"client uses ['EXP-12.2', 'EXP-2.3', 'EXP-5.5', 'EXP-8.4'] for this supplier"
11913,CAMION,,MANTENCION INDUSTRIAL DEL SUR LIMITADA,EXP-14.4,EXP-14.1,0.709361,EXP-14.1:0.7094;EXP-13.1:0.0742;EXP-13.3:0.0663
