row_id,item_text,description,provider,model_prediction,applied_label,top1,review_reason,evidence_tier
9503,BOLOS YUTRECO,Total bolos 120 bolos en 19H: 6 bolos por ha valor ha : 135.,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.2,EXP-4.3,0.550691,low_confidence,silver_audit
9680,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
9683,Nitrogeno liquido,,ABS CHILE LIMITADA,EXP-16.2,EXP-3.1,0.144139,low_confidence,client_evidence
10127,SULFATO COBRE 25 KG. -____,____,FEROSOR AGRICOLA S.A.,EXP-2.4,EXP-7.0,0.259254,low_confidence,manually_audited_near_identical
10192,NIRS ENSILAJE PRADERA FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-1.1,EXP-12.1,0.22524,weak_class,manually_audited_near_identical
10197,NIRS ENSILAJE PRADERA FORRAJE,,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,EXP-1.1,EXP-12.1,0.22524,weak_class,manually_audited_near_identical
10556,BOLOS YUTRECO,177 bolos en 37 ha 5 bolos por ha 177x 18.500: 3.274.500 + 3,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.2,EXP-4.3,0.46618,low_confidence,silver_audit
10558,BOLOS RAICES,Confeccion arriendo 18ha 63bolosy sala A2 5Ha 19 bolos total,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.2,EXP-4.3,0.417661,low_confidence,silver_audit
10665,MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD,MTD CUCHILLO MULCHING 42PULGADAS 1 UNIDAD,LIDIA ANGELICA SANHUEZA FUENTES,EXP-16.1,EXP-13.1,0.706261,low_confidence,manually_audited_near_identical
10814,- Revision Tecnica Maquinaria automotriz VPSJ99,,REVISIONES LOS LAGOS LTDA.,EXP-13.3,EXP-13.1,0.658377,ambiguous_vehicle_vs_machinery_inspection,client_evidence
11252,SERVICIO DE RETIRO Y,DISPOSICION FINAL DE RESIDUOS,SOCIEDAD COMERCIAL VITACYCLE LIMITADA,ADM-1.5,EXP-16.2,0.141633,low_confidence,client_evidence
11268,BOLOS PASTO SECO PELLECO,392 bolos pasto seco,SERVICIOS AGRICOLAS CORPAL SPA,EXP-4.2,EXP-4.3,0.484148,low_confidence,client_evidence
11360,CRECE ANUAL,20% DCTO PARTNER PROMOTOR NIVEL ENTRANTE - OREGON CONSULTING,CHIPAX SPA,ADM-1.6,ADM-1.10,0.144623,low_confidence,client_evidence
11617,FILTRO 3M 60923 MIXTO VAP-ORG- GAS-ACID,,COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,EXP-2.6,EXP-16.1,0.401958,low_confidence,client_evidence
