Time,Status,Model/creator,Provider,Cost,Input,Cache Read,Cache Write,Reasoning,Output,Video Count,Video Duration (s),Video Resolution,Video Aspect Ratio,Video FPS,Duration (ms),Billed by
2026-09-21 19:13:15,200,anthropic/claude-sonnet-5,claudeaws,0.0269318,2,54239,2576,817,147,0,0,,,0,11488,AI Gateway
2026-09-21 19:13:10,200,anthropic/claude-sonnet-5,claudeaws,0.1047598,2,50679,17444,4949,152,0,0,,,0,55824,AI Gateway
2026-09-21 19:13:05,200,anthropic/claude-sonnet-5,claudeaws,0.0225032,2,51821,2418,462,147,0,0,,,0,8083,AI Gateway
2026-09-21 19:12:56,200,anthropic/claude-sonnet-5,claudeaws,0.0172068,2,51339,482,426,147,0,0,,,0,7223,AI Gateway
2026-09-21 19:12:49,200,anthropic/claude-sonnet-5,claudeaws,0.0163925,2,50630,709,302,147,0,0,,,0,5131,AI Gateway
2026-09-21 19:12:39,200,anthropic/claude-sonnet-5,claudeaws,0.0177456,2,50258,372,529,147,0,0,,,0,7680,AI Gateway
2026-09-21 19:12:32,200,anthropic/claude-sonnet-5,claudeaws,0.0150165,2,49575,683,192,147,0,0,,,0,5489,AI Gateway
2026-09-21 19:12:25,200,anthropic/claude-sonnet-5,claudeaws,0.0195727,2,46956,2619,216,147,0,0,,,0,4507,AI Gateway
2026-09-21 19:12:18,200,anthropic/claude-sonnet-5,claudeaws,0.02122,2,54105,1598,0,640,0,0,,,0,8663,AI Gateway
2026-09-21 19:12:11,200,anthropic/claude-sonnet-5,claudeaws,0.1085265,2,51525,6231,5972,2292,0,0,,,0,74526,AI Gateway
2026-09-21 19:12:09,200,anthropic/claude-sonnet-5,claudeaws,0.0202499,2,53717,1697,0,526,0,0,,,0,7980,AI Gateway
2026-09-21 19:12:09,200,anthropic/claude-sonnet-5,claudeaws,0.2387832,2,40171,28842,12588,3276,0,0,,,0,159106,AI Gateway
2026-09-21 19:12:04,200,anthropic/claude-sonnet-5,claudeaws,0.0394887,2,48086,6019,0,1482,0,0,,,0,12486,AI Gateway
2026-09-21 19:11:52,200,anthropic/claude-sonnet-5,claudeaws,0.0391656,2,48283,5434,0,1592,0,0,,,0,14577,AI Gateway
2026-09-21 19:11:52,200,anthropic/claude-sonnet-5,claudeaws,0.0364811,2,46423,533,2439,147,0,0,,,0,27948,AI Gateway
2026-09-21 19:11:45,200,anthropic/claude-sonnet-5,claudeaws,0.0977575,2,49080,1599,6388,2006,0,0,,,0,80405,AI Gateway
2026-09-21 19:11:40,200,anthropic/claude-sonnet-5,claudeaws,0.0196729,2,44082,2341,353,147,0,0,,,0,6997,AI Gateway
2026-09-21 19:11:32,200,anthropic/claude-sonnet-5,claudeaws,0.0521378,2,40144,7942,2135,290,0,0,,,0,28125,AI Gateway
2026-09-21 19:11:31,200,anthropic/claude-sonnet-5,claudeaws,0.0447592,2,40301,7982,1362,312,0,0,,,0,19286,AI Gateway
2026-09-21 19:11:27,200,anthropic/claude-sonnet-5,claudeaws,0.0446729,2,40357,8723,1317,162,0,0,,,0,17165,AI Gateway
2026-09-21 19:11:26,200,anthropic/claude-sonnet-5,claudeaws,0.0184281,2,43683,399,722,147,0,0,,,0,10698,AI Gateway
2026-09-21 19:11:19,200,anthropic/claude-sonnet-5,claudeaws,0.0140566,2,42963,720,219,147,0,0,,,0,4278,AI Gateway
2026-09-21 19:11:11,200,anthropic/claude-sonnet-5,claudeaws,0.0919239,2,40162,11363,4787,761,0,0,,,0,58129,AI Gateway
2026-09-21 19:11:09,200,anthropic/claude-sonnet-5,claudeaws,0.0219089,2,40162,2801,540,147,0,0,,,0,8788,AI Gateway
2026-09-21 19:10:54,200,anthropic/claude-sonnet-5,claudeaws,0.0718632,2,24771,15586,2427,367,0,0,,,0,30009,AI Gateway
2026-09-21 19:10:53,200,anthropic/claude-sonnet-5,claudeaws,0.0530357,2,24771,15391,835,125,0,0,,,0,12769,AI Gateway
2026-09-21 19:10:51,200,anthropic/claude-sonnet-5,claudeaws,0.0619457,2,24771,15391,516,1335,0,0,,,0,14908,AI Gateway
2026-09-21 19:10:49,200,anthropic/claude-sonnet-5,claudeaws,0.0067699,2,24592,179,12,128,0,0,,,0,2929,AI Gateway
2026-09-21 19:10:49,200,anthropic/claude-sonnet-5,claudeaws,0.0821232,2,24771,15530,3286,548,0,0,,,0,39618,AI Gateway
2026-09-21 19:10:48,200,anthropic/claude-sonnet-5,claudeaws,0.1263382,2,24771,15400,5501,2787,0,0,,,0,73049,AI Gateway
2026-09-21 19:10:48,200,anthropic/claude-sonnet-5,claudeaws,0.0839907,2,24771,15373,3572,488,0,0,,,0,41793,AI Gateway
2026-09-21 19:10:45,200,anthropic/claude-sonnet-5,claudeaws,0.0068099,2,24592,179,16,128,0,0,,,0,2554,AI Gateway
2026-09-21 19:10:44,200,anthropic/claude-sonnet-5,claudeaws,0.0649415,2,0,24771,173,128,0,0,,,0,3868,AI Gateway
2026-09-21 19:10:44,200,anthropic/claude-sonnet-5,claudeaws,0.0633315,2,0,24771,12,128,0,0,,,0,2689,AI Gateway
2026-09-21 19:10:44,200,anthropic/claude-sonnet-5,claudeaws,0.0633715,2,0,24771,16,128,0,0,,,0,2817,AI Gateway
2026-09-21 19:10:43,200,anthropic/claude-sonnet-5,claudeaws,0.0633715,2,0,24771,16,128,0,0,,,0,2954,AI Gateway
2026-09-21 16:18:01,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,3000,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,2579,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,2664,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,4670,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,3154,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,2539,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,2787,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,2975,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,3837,AI Gateway
2026-09-21 16:18:00,200,anthropic/claude-sonnet-5,claudeaws,0.0633565,2,0,24773,12,130,0,0,,,0,3080,AI Gateway
2026-09-21 08:30:40,200,anthropic/claude-sonnet-5,claudeaws,0.007053,2,25770,454,0,76,0,0,,,0,2258,AI Gateway
2026-09-21 08:30:31,200,anthropic/claude-sonnet-5,claudeaws,0.0106878,2,25044,726,0,386,0,0,,,0,5841,AI Gateway
2026-09-21 08:30:28,200,anthropic/claude-sonnet-5,claudeaws,0.0068364,2,24712,332,26,80,0,0,,,0,1919,AI Gateway
2026-09-21 08:30:24,200,anthropic/claude-sonnet-5,claudeaws,0.0080548,2,24104,608,106,65,0,0,,,0,2956,AI Gateway
2026-09-21 08:28:48,200,anthropic/claude-sonnet-5,claudeaws,0.0093523,2,24654,1355,0,103,0,0,,,0,2420,AI Gateway
2026-09-21 08:28:30,200,anthropic/claude-sonnet-5,claudeaws,0.074479,2,0,24654,993,291,0,0,,,0,16542,AI Gateway
2026-09-21 08:11:20,200,anthropic/claude-sonnet-5,claudeaws,0.0104043,2,24789,1905,0,68,0,0,,,0,2351,AI Gateway
2026-09-21 08:11:00,200,anthropic/claude-sonnet-5,claudeaws,0.0240873,2,24104,685,1355,400,0,0,,,0,17969,AI Gateway
2026-09-21 08:08:49,200,anthropic/claude-sonnet-5,claudeaws,0.0067452,2,25281,246,0,107,0,0,,,0,2574,AI Gateway
2026-09-21 08:08:45,200,anthropic/claude-sonnet-5,claudeaws,0.0081588,2,24899,382,0,222,0,0,,,0,3836,AI Gateway
2026-09-21 08:08:38,200,anthropic/claude-sonnet-5,claudeaws,0.0086523,2,24104,795,54,130,0,0,,,0,3999,AI Gateway
2026-09-21 08:07:32,200,anthropic/claude-sonnet-5,claudeaws,0.019115,2,31805,2312,297,400,0,0,,,0,9522,AI Gateway
2026-09-21 08:07:03,200,anthropic/claude-sonnet-5,claudeaws,0.0298568,2,31539,266,1838,450,0,0,,,0,28228,AI Gateway
2026-09-21 08:06:56,200,anthropic/claude-sonnet-5,claudeaws,0.0090762,2,31111,428,0,178,0,0,,,0,3545,AI Gateway
2026-09-21 08:06:51,200,anthropic/claude-sonnet-5,claudeaws,0.0177249,2,27742,3369,0,375,0,0,,,0,5027,AI Gateway
2026-09-21 08:06:15,200,anthropic/claude-sonnet-5,claudeaws,0.0388819,2,26677,1065,2668,420,0,0,,,0,34862,AI Gateway
2026-09-21 08:06:11,200,anthropic/claude-sonnet-5,claudeaws,0.0117303,2,24894,1783,15,214,0,0,,,0,3000,AI Gateway
2026-09-21 08:05:52,200,anthropic/claude-sonnet-5,claudeaws,0.0230298,2,24104,790,1559,64,0,0,,,0,18891,AI Gateway
2026-09-21 08:04:02,200,anthropic/claude-sonnet-5,claudeaws,0.0105514,2,25112,1514,0,174,0,0,,,0,3523,AI Gateway
2026-09-21 08:03:41,200,anthropic/claude-sonnet-5,claudeaws,0.0197777,2,24981,131,1001,444,0,0,,,0,18137,AI Gateway
2026-09-21 08:03:38,200,anthropic/claude-sonnet-5,claudeaws,0.0069793,2,24664,317,58,67,0,0,,,0,2299,AI Gateway
2026-09-21 08:03:36,200,anthropic/claude-sonnet-5,claudeaws,0.0062895,2,24415,249,0,78,0,0,,,0,1679,AI Gateway
2026-09-21 08:03:33,200,anthropic/claude-sonnet-5,claudeaws,0.0064923,2,24104,311,25,64,0,0,,,0,2302,AI Gateway
2026-09-21 08:01:47,200,anthropic/claude-sonnet-5,claudeaws,0.0072562,2,25286,258,0,155,0,0,,,0,3215,AI Gateway
2026-09-21 08:01:40,200,anthropic/claude-sonnet-5,claudeaws,0.0082342,2,24976,310,0,246,0,0,,,0,3627,AI Gateway
2026-09-21 08:01:36,200,anthropic/claude-sonnet-5,claudeaws,0.064404,2,0,24976,68,128,0,0,,,0,3517,AI Gateway
2026-09-21 07:59:11,200,anthropic/claude-sonnet-5,claudeaws,0.0075123,2,26804,379,0,120,0,0,,,0,2824,AI Gateway
2026-09-21 07:59:04,200,anthropic/claude-sonnet-5,claudeaws,0.0131898,2,24654,2150,36,252,0,0,,,0,4784,AI Gateway
2026-09-21 07:58:40,200,anthropic/claude-sonnet-5,claudeaws,0.0270994,2,23852,802,1786,246,0,0,,,0,22083,AI Gateway
2026-09-21 07:57:57,200,anthropic/claude-sonnet-5,claudeaws,0.0068027,2,24856,247,0,121,0,0,,,0,2778,AI Gateway
2026-09-21 07:57:52,200,anthropic/claude-sonnet-5,claudeaws,0.0075809,2,24397,459,0,155,0,0,,,0,3022,AI Gateway
2026-09-21 07:57:47,200,anthropic/claude-sonnet-5,claudeaws,0.0095669,2,23852,545,126,217,0,0,,,0,4455,AI Gateway
2026-09-21 07:56:35,200,anthropic/claude-sonnet-5,claudeaws,0.0078988,2,24149,682,0,136,0,0,,,0,2703,AI Gateway
2026-09-21 07:56:25,200,anthropic/claude-sonnet-5,claudeaws,0.0664765,2,0,24149,346,264,0,0,,,0,8018,AI Gateway
2026-09-21 07:50:24,200,anthropic/claude-sonnet-5,claudeaws,0.0158958,2,31284,1650,0,551,0,0,,,0,7128,AI Gateway
2026-09-21 07:50:04,200,anthropic/claude-sonnet-5,claudeaws,0.02423,2,30480,804,983,629,0,0,,,0,17968,AI Gateway
2026-09-21 07:49:57,200,anthropic/claude-sonnet-5,claudeaws,0.0174489,2,27637,2843,216,265,0,0,,,0,5728,AI Gateway
2026-09-21 07:49:47,200,anthropic/claude-sonnet-5,claudeaws,0.0224052,2,24031,3606,491,367,0,0,,,0,8814,AI Gateway
2026-09-21 07:49:41,200,anthropic/claude-sonnet-5,claudeaws,0.0066219,2,23852,179,12,128,0,0,,,0,5048,AI Gateway
2026-09-21 07:46:51,200,anthropic/claude-sonnet-5,claudeaws,0.0088721,2,24803,1271,0,73,0,0,,,0,2415,AI Gateway
2026-09-21 07:46:34,200,anthropic/claude-sonnet-5,claudeaws,0.0174469,2,24602,201,844,358,0,0,,,0,15710,AI Gateway
2026-09-21 07:46:29,200,anthropic/claude-sonnet-5,claudeaws,0.0084194,2,23852,750,49,128,0,0,,,0,3431,AI Gateway
2026-09-21 07:45:42,200,anthropic/claude-sonnet-5,claudeaws,0.0088016,2,24613,1050,0,125,0,0,,,0,3140,AI Gateway
2026-09-21 07:45:29,200,anthropic/claude-sonnet-5,claudeaws,0.0164969,2,23852,761,684,298,0,0,,,0,11402,AI Gateway
2026-09-21 07:43:21,200,anthropic/claude-sonnet-5,claudeaws,0.0087032,2,25121,1246,0,56,0,0,,,0,2151,AI Gateway
2026-09-21 07:43:04,200,anthropic/claude-sonnet-5,claudeaws,0.0745465,2,0,25121,861,313,0,0,,,0,14931,AI Gateway
