rows,direction,normalized_text,example_item,example_description,providers,zero_reasons,verdict,rationale
1,COMPRAS,152745 88109 12508 10571 70393 16777 2 152745 88109 12508 10571 70393 16777,152745 88109 12508 10571 70393 16777,2@152745 88109 12508 10571 70393 16777,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,154690 70724 9698 10036 66834 15929 2 154690 70724 9698 10036 66834 15929,154690 70724 9698 10036 66834 15929,2@154690 70724 9698 10036 66834 15929,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,162120 63464 1345 12436 88329 19739 2 162120 63464 1345 12436 88329 19739,162120 63464 1345 12436 88329 19739,2@162120 63464 1345 12436 88329 19739,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,165710 60842 1390 11441 71105 2 165710 60842 1390 11441 71105,165710 60842 1390 11441 71105,2@165710 60842 1390 11441 71105,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,167375 55548 1363 11210 69762 17792 2 167375 55548 1363 11210 69762 17792,167375 55548 1363 11210 69762 17792,2@167375 55548 1363 11210 69762 17792,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,169847 203764 11181 2587 74505 2 169847 203764 11181 2587 74505,169847 203764 11181 2587 74505,2@169847 203764 11181 2587 74505,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,172310 104949 1405 11566 71978 2 172310 104949 1405 11566 71978,172310 104949 1405 11566 71978,2@172310 104949 1405 11566 71978,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,172531 39996 1360 11192 79496 2 172531 39996 1360 11192 79496,172531 39996 1360 11192 79496,2@172531 39996 1360 11192 79496,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,181691 57593 26895 11441 91421 2 181691 57593 26895 11441 91421,181691 57593 26895 11441 91421,2@181691 57593 26895 11441 91421,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,191765 80622 1237 11441 81263 18159 2 191765 80622 1237 11441 81263 18159,191765 80622 1237 11441 81263 18159,2@191765 80622 1237 11441 81263 18159,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,193375 78432 1360 11192 69559 2 193375 78432 1360 11192 69559,193375 78432 1360 11192 69559,2@193375 78432 1360 11192 69559,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,196374 43430 1271 10454 69615 16593 2 196374 43430 1271 10454 69615 16593,196374 43430 1271 10454 69615 16593,2@196374 43430 1271 10454 69615 16593,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,233605 52048 33009 2192 92874 2 233605 52048 33009 2192 92874,233605 52048 33009 2192 92874,2@233605 52048 33009 2192 92874,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,246076 78943 11878 10571 98678 15300 2 246076 78943 11878 10571 98678 15300,246076 78943 11878 10571 98678 15300,2@246076 78943 11878 10571 98678 15300,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,247986 78316 1237 11441 106805 18160 2 247986 78316 1237 11441 106805 18160,247986 78316 1237 11441 106805 18160,2@247986 78316 1237 11441 106805 18160,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,248625 70154 9747 2071 87713 2 248625 70154 9747 2071 87713,248625 70154 9747 2071 87713,2@248625 70154 9747 2071 87713,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,257195 61314 10558 2540 98618 2 257195 61314 10558 2540 98618,257195 61314 10558 2540 98618,2@257195 61314 10558 2540 98618,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,260550 73547 13975 12436 116092 19739 2 260550 73547 13975 12436 116092 19739,260550 73547 13975 12436 116092 19739,2@260550 73547 13975 12436 116092 19739,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,272729 47111 1393 11461 106994 2 272729 47111 1393 11461 106994,272729 47111 1393 11461 106994,2@272729 47111 1393 11461 106994,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,274696 9203 2534 70920 2 274696 9203 2534 70920,274696 9203 2534 70920,2@274696 9203 2534 70920,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,280333 62778 1361 11192 104483 17765 2 280333 62778 1361 11192 104483 17765,280333 62778 1361 11192 104483 17765,2@280333 62778 1361 11192 104483 17765,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,401837 379915 12913 2568 25506 2 401837 379915 12913 2568 25506,401837 379915 12913 2568 25506,2@401837 379915 12913 2568 25506,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,651000 10571 a 651000 10571,651000 10571,A@651000 10571,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
1,COMPRAS,ano 2023,AÑO: 2023,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,capacidad de carga 968 kg,CAPACIDAD DE CARGA: 968 KG,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,chasis 1ftfw1e52nfb33530,CHASIS: 1FTFW1E52NFB33530,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,cilindrada 5000 cc,CILINDRADA: 5000 CC,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,color rojo metalico,COLOR: ROJO METALICO,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,comentarios comentarios,Comentarios:,Comentarios:,AUTOMOTRIZ TECNOCID LIMITADA,amount_zero,EXCLUDE_JUNK,comments_header
1,COMPRAS,condicion vehiculo usado,CONDICION VEHICULO: USADO,,Automotriz Cordillera S.A.,amount_zero,EXCLUDE_JUNK,vehicle_metadata
1,COMPRAS,confeccion de buje de bronce 45 45 45 45 trabajo solicitado por sr 46 javier mu deg oz,CONFECCION DE BUJE DE BRONCE,&#45;&#45;&#45;&#45; TRABAJO SOLICITADO POR SR&#46; JAVIER MU&deg;OZ,ENTRE RIEGOS DEL SUR SPA,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
1,COMPRAS,entrega inmediata 46 salvo venta previa 45 45 45 45 cancelada transferencia 23 45 01 45 2025,ENTREGA INMEDIATA&#46; SALVO VENTA PREVIA,&#45;&#45;&#45;&#45; CANCELADA TRANSFERENCIA 23&#45;01&#45;2025,ENTRE RIEGOS DEL SUR SPA,amount_zero,EXCLUDE_JUNK,delivery_payment_note
1,COMPRAS,fecha guia 01 05 25 30215827,Fecha-Guía,01.05.25-30215827*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 02 01 26 32327028,Fecha-Guía,02.01.26-32327028*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 02 01 26 32342852,Fecha-Guía,02.01.26-32342852*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 02 05 25 30219620,Fecha-Guía,02.05.25-30219620*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 02 10 25 31116256,Fecha-Guía,02.10.25-31116256*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 04 04 25 29771090,Fecha-Guía,04.04.25-29771090*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 05 07 25 30756175,Fecha-Guía,05.07.25-30756175*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 06 11 25 31268508,Fecha-Guía,06.11.25-31268508*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 06 12 25 32110208,Fecha-Guía,06.12.25-32110208*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 08 08 25 30609987,Fecha-Guía,08.08.25-30609987*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 09 10 25 31116269,Fecha-Guía,09.10.25-31116269*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 10 08 25 31032019,Fecha-Guía,10.08.25-31032019*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 11 02 26 32708809,Fecha-Guía,11.02.26-32708809*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 11 02 26 32708810,Fecha-Guía,11.02.26-32708810*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 11 11 25 31866170,Fecha-Guía,11.11.25-31866170*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 14 01 26 32440234,Fecha-Guía,14.01.26-32440234*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 14 08 25 31071598,Fecha-Guía,14.08.25-31071598*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 15 06 25 30543474,Fecha-Guía,15.06.25-30543474*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 15 06 25 30595287,Fecha-Guía,15.06.25-30595287*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 15 08 25 31091020,Fecha-Guía,15.08.25-31091020*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 15 11 25 31899424,Fecha-Guía,15.11.25-31899424*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 15 11 25 31899869,Fecha-Guía,15.11.25-31899869*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 17 02 26 32754686,Fecha-Guía,17.02.26-32754686*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 17 02 26 32762256,Fecha-Guía,17.02.26-32762256*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 17 02 26 32762257,Fecha-Guía,17.02.26-32762257*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 17 08 25 31118646,Fecha-Guía,17.08.25-31118646*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 18 02 26 32754715,Fecha-Guía,18.02.26-32754715*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 18 06 25 30590791,Fecha-Guía,18.06.25-30590791*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 18 07 25 30850352,Fecha-Guía,18.07.25-30850352*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 19 05 25 30012745,Fecha-Guía,19.05.25-30012745*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 19 07 25 30435151,Fecha-Guía,19.07.25-30435151*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 19 10 25 31680569,Fecha-Guía,19.10.25-31680569*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 20 10 25 31639907,Fecha-Guía,20.10.25-31639907*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 22 10 25 31687725,Fecha-Guía,22.10.25-31687725*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 22 12 25 32262778,Fecha-Guía,22.12.25-32262778*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 24 08 25 31177637,Fecha-Guía,24.08.25-31177637*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 24 09 25 30944639,Fecha-Guía,24.09.25-30944639*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 24 09 25 31454511,Fecha-Guía,24.09.25-31454511*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 25 05 25 30418571,Fecha-Guía,25.05.25-30418571*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 25 08 25 31171176,Fecha-Guía,25.08.25-31171176*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 25 10 25 31722888,Fecha-Guía,25.10.25-31722888*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 27 04 25 29894218,Fecha-Guía,27.04.25-29894218*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 27 04 25 30150984,Fecha-Guía,27.04.25-30150984*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 27 06 25 30683018,Fecha-Guía,27.06.25-30683018*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 27 12 25 32215906,Fecha-Guía,27.12.25-32215906*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 28 02 26 32563119,Fecha-Guía,28.02.26-32563119*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 29 08 25 31213751,Fecha-Guía,29.08.25-31213751*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 30 11 25 32062728,Fecha-Guía,30.11.25-32062728*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 30 12 25 32308991,Fecha-Guía,30.12.25-32308991*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,fecha guia 31 05 25 30446614,Fecha-Guía,31.05.25-30446614*,COPEC S.A.,amount_zero,EXCLUDE_JUNK,fuel_delivery_reference
1,COMPRAS,ford aje5 new r tyld 93 16099 16 04 2025 16 54 749192 a ford aje5 new r tyld 93 16099 16 04 2025 16 54 749192,FORD AJE5 / NEW R TYLD-93 16099 16/04/2025 16:54 749192,A@FORD AJE5 / NEW R TYLD-93 16099 16/04/2025 16:54 749192,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford aje5 new r tyld 93 34046 04 09 2025 17 46 779364 a ford aje5 new r tyld 93 34046 04 09 2025 17 46 779364,FORD AJE5 / NEW R TYLD-93 34046 04/09/2025 17:46 779364,A@FORD AJE5 / NEW R TYLD-93 34046 04/09/2025 17:46 779364,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford aje5 new r tyld 93 48464 24 11 2025 12 12 796018 a ford aje5 new r tyld 93 48464 24 11 2025 12 12 796018,FORD AJE5 / NEW R TYLD-93 48464 24/11/2025 12:12 796018,A@FORD AJE5 / NEW R TYLD-93 48464 24/11/2025 12:12 796018,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford aje5 new r tyld 93 48464 24 11 2025 12 24 796022 a ford aje5 new r tyld 93 48464 24 11 2025 12 24 796022,FORD AJE5 / NEW R TYLD-93 48464 24/11/2025 12:24 796022,A@FORD AJE5 / NEW R TYLD-93 48464 24/11/2025 12:24 796022,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat jsfk 23 272011 14 02 2025 11 36 735499 a ford f150 lariat jsfk 23 272011 14 02 2025 11 36 735499,FORD F150 LARIAT JSFK-23 272011 14/02/2025 11:36 735499,A@FORD F150 LARIAT JSFK-23 272011 14/02/2025 11:36 735499,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat pksr 82 130473 09 01 2025 10 03 726731 a ford f150 lariat pksr 82 130473 09 01 2025 10 03 726731,FORD F150 LARIAT PKSR-82 130473 09/01/2025 10:03 726731,A@FORD F150 LARIAT PKSR-82 130473 09/01/2025 10:03 726731,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat pksr 82 138698 28 04 2025 14 36 751484 a ford f150 lariat pksr 82 138698 28 04 2025 14 36 751484,FORD F150 LARIAT PKSR-82 138698 28/04/2025 14:36 751484,A@FORD F150 LARIAT PKSR-82 138698 28/04/2025 14:36 751484,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat tbzl 91 41264 03 01 2025 14 58 725197 a ford f150 lariat tbzl 91 41264 03 01 2025 14 58 725197,FORD F150 LARIAT TBZL-91 41264 03/01/2025 14:58 725197,A@FORD F150 LARIAT TBZL-91 41264 03/01/2025 14:58 725197,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat tbzl 91 50838 10 03 2025 12 32 740387 a ford f150 lariat tbzl 91 50838 10 03 2025 12 32 740387,FORD F150 LARIAT TBZL-91 50838 10/03/2025 12:32 740387,A@FORD F150 LARIAT TBZL-91 50838 10/03/2025 12:32 740387,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat tbzl 91 61219 27 05 2025 15 18 757385 a ford f150 lariat tbzl 91 61219 27 05 2025 15 18 757385,FORD F150 LARIAT TBZL-91 61219 27/05/2025 15:18 757385,A@FORD F150 LARIAT TBZL-91 61219 27/05/2025 15:18 757385,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat tbzl 91 71285 06 08 2025 09 55 772922 a ford f150 lariat tbzl 91 71285 06 08 2025 09 55 772922,FORD F150 LARIAT TBZL-91 71285 06/08/2025 09:55 772922,A@FORD F150 LARIAT TBZL-91 71285 06/08/2025 09:55 772922,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat tbzl 91 81996 02 10 2025 09 41 785113 a ford f150 lariat tbzl 91 81996 02 10 2025 09 41 785113,FORD F150 LARIAT TBZL-91 81996 02/10/2025 09:41 785113,A@FORD F150 LARIAT TBZL-91 81996 02/10/2025 09:41 785113,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 lariat tbzl 91 93164 19 12 2025 16 47 801490 a ford f150 lariat tbzl 91 93164 19 12 2025 16 47 801490,FORD F150 LARIAT TBZL-91 93164 19/12/2025 16:47 801490,A@FORD F150 LARIAT TBZL-91 93164 19/12/2025 16:47 801490,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 platini tjxc 64 32185 08 05 2025 10 30 753467 a ford f150 platini tjxc 64 32185 08 05 2025 10 30 753467,FORD F150 PLATINI TJXC-64 32185 08/05/2025 10:30 753467,A@FORD F150 PLATINI TJXC-64 32185 08/05/2025 10:30 753467,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford f150 platini tjxc 64 48653 07 11 2025 17 31 792924 a ford f150 platini tjxc 64 48653 07 11 2025 17 31 792924,FORD F150 PLATINI TJXC-64 48653 07/11/2025 17:31 792924,A@FORD F150 PLATINI TJXC-64 48653 07/11/2025 17:31 792924,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
1,COMPRAS,ford ranger xl 4x psss 88 160565 11 02 2025 17 36 734734 a ford ranger xl 4x psss 88 160565 11 02 2025 17 36 734734,FORD RANGER XL 4X PSSS-88 160565 11/02/2025 17:36 734734,A@FORD RANGER XL 4X PSSS-88 160565 11/02/2025 17:36 734734,DIFOR CHILE S.A.,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
