direction,source_file,source_path,folio,line_number,provider_rut,provider,item_text,description,quantity,unit,unit_price,amount,discount_pct,discount_amount,normalized_text,zero_reason,audit_verdict,audit_rationale
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,8,96918300-5,DIFOR CHILE S.A.,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,,,,0,,,valores netos con descto incluido a valores netos con descto incluido,amount_zero,EXCLUDE_JUNK,printed_totals_header
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,9,96918300-5,DIFOR CHILE S.A.,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,,,,0,,,mo elec mec repuestos accesorios servicios lubricacion auto2 mo elec mec repuestos accesorios servicios lubricacion,amount_zero,EXCLUDE_JUNK,printed_service_columns
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,10,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,,,,0,,,2,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,11,96918300-5,DIFOR CHILE S.A.,248625 70154 9747 2071 87713,2@248625 70154 9747 2071 87713,,,,0,,,248625 70154 9747 2071 87713 2 248625 70154 9747 2071 87713,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,12,96918300-5,DIFOR CHILE S.A.,VIM : undefined,2@VIM : undefined,,,,0,,,vim undefined 2 vim undefined,amount_zero,EXCLUDE_JUNK,broken_template_field
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,13,96918300-5,DIFOR CHILE S.A.,Taller Ford Osorno.,2@Taller Ford Osorno.,,,,0,,,taller ford osorno 2 taller ford osorno,amount_zero,EXCLUDE_JUNK,workshop_footer
COMPRAS,DTE_033_000000551719_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000551719_969183005.xml,551719,14,96918300-5,DIFOR CHILE S.A.,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,,,,0,,,recuerde programar su proxima visita a servicio al numero 600 262 05 55 2 recuerde programar su proxima visita a servicio al numero 600 262 05 55,amount_zero,EXCLUDE_JUNK,workshop_reminder
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,2,96918300-5,DIFOR CHILE S.A.,FORD F150 LARIAT PKSR-82 130473 09/01/2025 10:03 726731,A@FORD F150 LARIAT PKSR-82 130473 09/01/2025 10:03 726731,,,,0,,,ford f150 lariat pksr 82 130473 09 01 2025 10 03 726731 a ford f150 lariat pksr 82 130473 09 01 2025 10 03 726731,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,3,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,4,96918300-5,DIFOR CHILE S.A.,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,,,,0,,,codigo descripcion a codigo descripcion,amount_zero,EXCLUDE_JUNK,printed_column_header
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,5,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,6,96918300-5,DIFOR CHILE S.A.,S-MD30 TERCERA MANTENCION,A@S-MD30 TERCERA MANTENCION,,,,0,,,s md30 tercera mantencion a s md30 tercera mantencion,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,7,96918300-5,DIFOR CHILE S.A.,"SCO-MO 13? REVISI?N DE MANTENCI?N, CAMBIAR PLUM","A@SCO-MO 13? REVISI?N DE MANTENCI?N, CAMBIAR PLUM",,,,0,,,sco mo 13 revisi n de mantenci n cambiar plum a sco mo 13 revisi n de mantenci n cambiar plum,amount_zero,EXCLUDE_JUNK,workshop_request_note
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,8,96918300-5,DIFOR CHILE S.A.,SCO-MO CAMBIAR ESPEJO RETROVISOR DERECHO,A@SCO-MO CAMBIAR ESPEJO RETROVISOR DERECHO,,,,0,,,sco mo cambiar espejo retrovisor derecho a sco mo cambiar espejo retrovisor derecho,amount_zero,EXCLUDE_JUNK,workshop_request_note
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,9,96918300-5,DIFOR CHILE S.A.,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,,,,0,,,valores netos con descto incluido a valores netos con descto incluido,amount_zero,EXCLUDE_JUNK,printed_totals_header
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,10,96918300-5,DIFOR CHILE S.A.,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,,,,0,,,mo elec mec repuestos accesorios servicios lubricacion auto2 mo elec mec repuestos accesorios servicios lubricacion,amount_zero,EXCLUDE_JUNK,printed_service_columns
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,11,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,,,,0,,,2,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,12,96918300-5,DIFOR CHILE S.A.,233605 52048 33009 2192 92874,2@233605 52048 33009 2192 92874,,,,0,,,233605 52048 33009 2192 92874 2 233605 52048 33009 2192 92874,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,13,96918300-5,DIFOR CHILE S.A.,VIM : undefined,2@VIM : undefined,,,,0,,,vim undefined 2 vim undefined,amount_zero,EXCLUDE_JUNK,broken_template_field
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,14,96918300-5,DIFOR CHILE S.A.,Taller Ford Osorno.,2@Taller Ford Osorno.,,,,0,,,taller ford osorno 2 taller ford osorno,amount_zero,EXCLUDE_JUNK,workshop_footer
COMPRAS,DTE_033_000000553382_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000553382_969183005.xml,553382,15,96918300-5,DIFOR CHILE S.A.,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,,,,0,,,recuerde programar su proxima visita a servicio al numero 600 262 05 55 2 recuerde programar su proxima visita a servicio al numero 600 262 05 55,amount_zero,EXCLUDE_JUNK,workshop_reminder
COMPRAS,DTE_033_000000622975_990120005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000000622975_990120005.xml,622975,3,99012000-5,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,RUTCOBRANZA 96685810,,,,,0,,,rutcobranza 96685810,amount_zero,EXCLUDE_JUNK,billing_reference
COMPRAS,DTE_033_000002853135_871611009.xml,Data/Raw_Data/dte_96685810_COMPRAS/202501/DTE_033_000002853135_871611009.xml,2853135,2,87161100-9,DIRECTV Chile TelevisiÃ³n Limitada,Decodificadores Adicionales,,,,,0,,,decodificadores adicionales,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000023618_77447370K.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000023618_77447370K.xml,23618,3,77447370-K,COMERCIAL E INVERSIONES SERVICID LTDA.,DEDUCIBLE,,1,UNID,,0,,,deducible,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000023618_77447370K.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000023618_77447370K.xml,23618,4,77447370-K,COMERCIAL E INVERSIONES SERVICID LTDA.,SEGURO,,1,Hora,,0,,,seguro,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,2,96918300-5,DIFOR CHILE S.A.,FORD RANGER XL 4X PSSS-88 160565 11/02/2025 17:36 734734,A@FORD RANGER XL 4X PSSS-88 160565 11/02/2025 17:36 734734,,,,0,,,ford ranger xl 4x psss 88 160565 11 02 2025 17 36 734734 a ford ranger xl 4x psss 88 160565 11 02 2025 17 36 734734,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,3,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,4,96918300-5,DIFOR CHILE S.A.,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,,,,0,,,codigo descripcion a codigo descripcion,amount_zero,EXCLUDE_JUNK,printed_column_header
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,5,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,6,96918300-5,DIFOR CHILE S.A.,S-MD60 SEXTA MANTENCION,A@S-MD60 SEXTA MANTENCION,,,,0,,,s md60 sexta mantencion a s md60 sexta mantencion,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,7,96918300-5,DIFOR CHILE S.A.,SCO-MO REVISAR SISTEMA DE DIRECCION,A@SCO-MO REVISAR SISTEMA DE DIRECCION,,,,0,,,sco mo revisar sistema de direccion a sco mo revisar sistema de direccion,amount_zero,EXCLUDE_JUNK,workshop_request_note
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,8,96918300-5,DIFOR CHILE S.A.,SCO-MO 16? REVISI?N DE MANTENCI?N,A@SCO-MO 16? REVISI?N DE MANTENCI?N,,,,0,,,sco mo 16 revisi n de mantenci n a sco mo 16 revisi n de mantenci n,amount_zero,EXCLUDE_JUNK,workshop_request_note
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,9,96918300-5,DIFOR CHILE S.A.,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,,,,0,,,valores netos con descto incluido a valores netos con descto incluido,amount_zero,EXCLUDE_JUNK,printed_totals_header
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,10,96918300-5,DIFOR CHILE S.A.,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,,,,0,,,mo elec mec repuestos accesorios servicios lubricacion auto2 mo elec mec repuestos accesorios servicios lubricacion,amount_zero,EXCLUDE_JUNK,printed_service_columns
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,11,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,,,,0,,,2,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,12,96918300-5,DIFOR CHILE S.A.,193375 78432 1360 11192 69559,2@193375 78432 1360 11192 69559,,,,0,,,193375 78432 1360 11192 69559 2 193375 78432 1360 11192 69559,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,13,96918300-5,DIFOR CHILE S.A.,VIM : undefined,2@VIM : undefined,,,,0,,,vim undefined 2 vim undefined,amount_zero,EXCLUDE_JUNK,broken_template_field
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,14,96918300-5,DIFOR CHILE S.A.,Taller Ford Osorno.,2@Taller Ford Osorno.,,,,0,,,taller ford osorno 2 taller ford osorno,amount_zero,EXCLUDE_JUNK,workshop_footer
COMPRAS,DTE_033_000000558367_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000558367_969183005.xml,558367,15,96918300-5,DIFOR CHILE S.A.,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,,,,0,,,recuerde programar su proxima visita a servicio al numero 600 262 05 55 2 recuerde programar su proxima visita a servicio al numero 600 262 05 55,amount_zero,EXCLUDE_JUNK,workshop_reminder
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,2,96918300-5,DIFOR CHILE S.A.,FORD RANGER XL 4X RZGC-45 109461 27/02/2025 18:11 738483,A@FORD RANGER XL 4X RZGC-45 109461 27/02/2025 18:11 738483,,,,0,,,ford ranger xl 4x rzgc 45 109461 27 02 2025 18 11 738483 a ford ranger xl 4x rzgc 45 109461 27 02 2025 18 11 738483,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,3,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,4,96918300-5,DIFOR CHILE S.A.,CODIGO DESCRIPCION,A@CODIGO DESCRIPCION,,,,0,,,codigo descripcion a codigo descripcion,amount_zero,EXCLUDE_JUNK,printed_column_header
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,5,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,A@---------------------------------------------------------------------------------,,,,0,,,a,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,6,96918300-5,DIFOR CHILE S.A.,S-MD10 PRIMERA MANTENCION,A@S-MD10 PRIMERA MANTENCION,,,,0,,,s md10 primera mantencion a s md10 primera mantencion,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,7,96918300-5,DIFOR CHILE S.A.,SCO-MO REVISAR VIBRACION RUEDA DELANTERA IZQUIE,A@SCO-MO REVISAR VIBRACION RUEDA DELANTERA IZQUIE,,,,0,,,sco mo revisar vibracion rueda delantera izquie a sco mo revisar vibracion rueda delantera izquie,amount_zero,EXCLUDE_JUNK,workshop_request_note
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,8,96918300-5,DIFOR CHILE S.A.,SCO-MO MANTENCION 110.000KMS,A@SCO-MO MANTENCION 110.000KMS,,,,0,,,sco mo mantencion 110 000kms a sco mo mantencion 110 000kms,amount_zero,EXCLUDE_JUNK,workshop_request_note
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,9,96918300-5,DIFOR CHILE S.A.,--------------------------Valores Netos con Descto. Incluido--------------------,A@--------------------------Valores Netos con Descto. Incluido--------------------,,,,0,,,valores netos con descto incluido a valores netos con descto incluido,amount_zero,EXCLUDE_JUNK,printed_totals_header
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,10,96918300-5,DIFOR CHILE S.A.,MO elec Mec Repuestos Accesorios Servicios Lubricacion,AUTO2@MO elec Mec Repuestos Accesorios Servicios Lubricacion,,,,0,,,mo elec mec repuestos accesorios servicios lubricacion auto2 mo elec mec repuestos accesorios servicios lubricacion,amount_zero,EXCLUDE_JUNK,printed_service_columns
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,11,96918300-5,DIFOR CHILE S.A.,--------------------------------------------------------------------------------,2@--------------------------------------------------------------------------------,,,,0,,,2,amount_zero,EXCLUDE_JUNK,separator
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,12,96918300-5,DIFOR CHILE S.A.,165710 60842 1390 11441 71105,2@165710 60842 1390 11441 71105,,,,0,,,165710 60842 1390 11441 71105 2 165710 60842 1390 11441 71105,amount_zero,EXCLUDE_JUNK,printed_numeric_summary
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,13,96918300-5,DIFOR CHILE S.A.,VIM : undefined,2@VIM : undefined,,,,0,,,vim undefined 2 vim undefined,amount_zero,EXCLUDE_JUNK,broken_template_field
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,14,96918300-5,DIFOR CHILE S.A.,Taller Ford Osorno.,2@Taller Ford Osorno.,,,,0,,,taller ford osorno 2 taller ford osorno,amount_zero,EXCLUDE_JUNK,workshop_footer
COMPRAS,DTE_033_000000561426_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000561426_969183005.xml,561426,15,96918300-5,DIFOR CHILE S.A.,RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,2@RECUERDE PROGRAMAR SU PROXIMA VISITA A SERVICIO AL NUMERO : 600 262 05 55.,,,,0,,,recuerde programar su proxima visita a servicio al numero 600 262 05 55 2 recuerde programar su proxima visita a servicio al numero 600 262 05 55,amount_zero,EXCLUDE_JUNK,workshop_reminder
COMPRAS,DTE_033_000000628741_990120005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000000628741_990120005.xml,628741,3,99012000-5,Cia de Seguros de Vida Consorcio Nacional de Seguros SA,RUTCOBRANZA 96685810,,,,,0,,,rutcobranza 96685810,amount_zero,EXCLUDE_JUNK,billing_reference
COMPRAS,DTE_033_000002865985_871611009.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000002865985_871611009.xml,2865985,2,87161100-9,DIRECTV Chile TelevisiÃ³n Limitada,Decodificadores Adicionales,,,,,0,,,decodificadores adicionales,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000004282243_969920301.xml,Data/Raw_Data/dte_96685810_COMPRAS/202502/DTE_033_000004282243_969920301.xml,4282243,1,96992030-1,Sociedad Concesionaria Vespucio Norte Express S.A.,Peaje Autopista Vespucio Norte,,1,,,0,,,peaje autopista vespucio norte,amount_zero,KEEP_GENUINE_OR_UNCERTAIN,"zero-value text may describe a real/free/bundled good, service, or correction; retain safely"
COMPRAS,DTE_033_000000565825_969183005.xml,Data/Raw_Data/dte_96685810_COMPRAS/202503/DTE_033_000000565825_969183005.xml,565825,2,96918300-5,DIFOR CHILE S.A.,FORD RANGER XLT 4 TJXC-63 48335 28/03/2025 18:03 744974,A@FORD RANGER XLT 4 TJXC-63 48335 28/03/2025 18:03 744974,,,,0,,,ford ranger xlt 4 tjxc 63 48335 28 03 2025 18 03 744974 a ford ranger xlt 4 tjxc 63 48335 28 03 2025 18 03 744974,amount_zero,EXCLUDE_JUNK,vehicle_work_order_metadata
